index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)c1ccccc1)C2', 'CC[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CN(C(=O)OC1CC2CCC(C1)[N+]2(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1ccccc1)c1ccccc1)C2', 'CN(Cc1ccccc1)C(=O)OC1CC2CCC(C1)[N+]2(C)C', 'C[N+]1(C)C2CCC1CC(OC(=O)c1ccsc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C1(c3ccccc3)CC1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1ccccc1)c1ccsc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1ccsc1)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)N(C)Cc1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(c1ccccc1)C(O)c1ccccc1)C2']","[-1.7115205526, -3.2054502964, -3.9468660355, -4.0867881775, -4.7503538132, -5.1368675232, -5.1656498909, -5.6630778313, -5.6670632362, -5.8185153008, -6.0931739807, -6.1109418869, -6.180949688, -6.4496803284, -6.7802810669, -6.8613843918]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(OCC2CO2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OCCCO)cc13', 'CCNC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OCC(O)COc2ccccc2)cc13', 'COc1ccccc1CNc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'COc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1', 'COc1cccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)c1', 'CCCCCCCCCCOc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'CCCCCCCCC(O)COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccc4c(c2)OCO4)cc13', 'COc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(CC2CC2)CC4)cc1', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccccc2)cc13', 'COc1ccc(CN(C)c2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1']","[-3.1811566353, -3.7600104809, -3.9170944691, -4.0313677788, -4.460495472, -4.4902963638, -4.540230751, -4.5537695885, -4.6246337891, -4.6707224846, -4.7651667595, -4.7930994034, -4.8447675705, -4.8519320488, -4.860311985, -5.0101675987, -5.0474033356, -5.3677148819]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['COc1ccc(C(=O)NC2=NC(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1', 'Cc1ccc(C(=O)NC2C(=O)Nc3ccc(Cl)cc32)cc1', 'CC(C(=O)NC1=NC(c2ccccc2)c2cc(Cl)ccc2NC1=O)c1ccc(O)cc1', 'Cc1ccc(C(=O)NC2=NC(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1', 'O=C(Cc1ccccc1)NC1C(=O)Nc2ccc(Cl)cc21', 'CC(C(=O)NC1=NC(c2ccccc2)c2cc(Cl)ccc2NC1=O)c1ccc(O)c(Br)c1', 'O=c1nc(-c2ccccc2)c2cc(Cl)ccc2[nH]1', 'CC(C(=O)NC1=NC(c2ccccc2)c2cc(Cl)ccc2NC1=O)c1ccccc1', 'CC(C(=O)NC1=NC(c2ccccc2)c2cc(Cl)ccc2NC1=O)c1ccc2ccccc2c1', 'CC(C(=O)NC1=NC(c2ccccc2)c2cc(Cl)ccc2NC1=O)c1ccc2c(c1)OCO2', 'Cc1ccc(C(=O)NC2=NC(c3ccccc3)C(=O)Nc3ccc(Cl)cc32)cc1', 'O=C(Cc1ccccc1)NC1C(=O)Nc2ccc(Cl)cc2C1=NC(c1ccccc1)c1ccccc1', 'CC(C(=O)NC1=NC(c2ccccc2)c2cc(Cl)ccc2NC1=O)c1ccc(Br)cc1', 'N#Cc1cccc(NC(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)c1', 'COc1ccc(C(=O)NC2=NC(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1OC', 'Cc1ccc(C(=O)NC2=NC(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1C', 'O=C(Nc1ccccc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'N#Cc1ccc(NC(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1', 'O=C(Nc1ccc(Br)cc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O']","[-5.7895145416, -5.9094624519, -6.0195975304, -6.0725984573, -6.3717222214, -6.5826840401, -6.7196354866, -7.0145173073, -7.0783557892, -7.5377469063, -7.5861730576, -7.8498678207, -7.8987908363, -7.964550972, -7.9798140526, -8.0938959122, -8.1295852661, -8.1298379898, -8.1343650818]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4(C)C(CCC4(O)C#C)C3CCC21', 'CC#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'CC#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4C(CCC4(O)C#CC)C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(N(C)C)ccc4C3CCC21C', 'C#CC1(O)CCC2C1CCC1(C)c3ccc(O)cc3CCC21', 'C#CC1(O)CCC2C1CCC1(C)c3ccc(OC)cc3CCC21']","[-3.3162362576, -4.1851887703, -4.479139328, -4.536948204, -5.6442198753, -5.6953697205, -5.776140213, -5.8243489265]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['CNCCC(Oc1cccc2ccccc12)c1ccccc1', 'NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNCCC(Oc1ccccc1C)c1ccccc1', 'CNCCC(Oc1ccc(Br)cc1)c1ccccc1', 'CNCCC(Oc1ccc(C#N)cc1)c1ccccc1', 'CNCCC(Oc1ccccc1Cl)c1ccccc1', 'NCC=C(F)COc1ccc(C(F)(F)F)cc1', 'FC(F)(F)c1ccc(OCCCN2CCC(N3CCCCC3)CC2)cc1', 'CNCCC(Oc1ccc(Cl)cc1Cl)c1ccccc1', 'CNCCC(Oc1ccc(Cl)cc1)c1ccccc1', 'FC(F)(F)c1ccc(OCCN2CCC(N3CCCCC3)CC2)cc1', 'FC(F)(F)c1ccc(OCCCN2CCN(c3ccccn3)CC2)cc1', 'CNCCC(Oc1ccc(OC)cc1)c1ccccc1', 'CNCCC(Oc1ccc(-c2ccccc2)cc1)c1ccccc1', 'FC(F)(F)c1ccc(OCCCN2CCN(c3ccccc3)CC2)cc1', 'FC(F)(F)c1ccc(OCCN2CCN(c3ccccn3)CC2)cc1', 'FC(F)(F)c1ccc(OCC(c2ccccc2)N2CCN(c3ccccc3)CC2)cc1', 'FC(F)(F)c1ccc(OCC(c2ccccc2)N2CCC(N3CCCCC3)CC2)cc1', 'FC(F)(F)c1ccc(OCC(c2ccccc2)N2CCC(N3CCCC3)CC2)cc1']","[-3.8226006031, -4.0848255157, -4.2582097054, -4.4477910995, -4.5776801109, -4.589662075, -4.6353034973, -4.6496109962, -4.7831053734, -4.8347449303, -4.9757709503, -5.0381584167, -5.1261224747, -5.1745834351, -5.7959342003, -6.5290708542, -6.9123225212, -7.1753721237, -7.7420129776]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCCCN1CCOCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCCOCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCCOCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCCCOCCCCCCCCCCCC', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCCCN1C(=O)C=CC1=O', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCCCN1CCCC1CCP(=O)(O)O']","[-1.9756368399, -2.1298036575, -3.3930466175, -3.5981824398, -4.6320543289, -4.7696614265, -4.8360686302, -4.9342956543, -5.5054912567, -6.0588922501, -6.0784950256, -6.0804200172, -6.1703705788, -6.2523131371, -6.4294428825, -6.6671323776, -6.7107987404, -7.0036540031]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC12CCC3c4cc(O)ccc4CCC3C1CCC2O', 'CC12CCC3c4cc(OCC(=O)O)ccc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCC(=O)O)cc4CCC3C1CCC2O', 'CC12CCC3c4cc(OCC(=O)NC5CC5)ccc4CCC3C1CCC2O', 'CC12CCC3c4cc(OCc5ccccc5)ccc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)CSc5ccccc5)cc4CCC3C1CCC2O', 'CC12CCC3c4cc(OC(=O)CSc5ccccc5)ccc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCc5ccccc5)cc4CCC3C1CCC2O', 'CC12CCC3c4cc(OC(=O)Nc5ccccc5)ccc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)Nc5ccccc5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCC(=O)NC5CC5)cc4CCC3C1CCC2O', 'CC12CCC3c4cc(OCC(=O)Nc5ccccc5)ccc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCC(=O)Nc5ccccc5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCC(=O)NC5CCCCC5)cc4CCC3C1CCC2O', 'CC12CCC3c4cc(OCC(=O)NC5CCCCC5)ccc4CCC3C1CCC2O', 'CC12CCC(O)C1CCc1cc(OC3CCC4(C)C(O)CCC34)ccc1C2', 'CC12Cc3ccc(OC4CCC5(C)C(O)CCC45)cc3CCC1CCC2O']","[-3.7136731148, -4.0198554993, -4.1885027885, -4.5628628731, -4.9141111374, -4.9159321785, -4.9354701042, -4.9781470299, -5.0019693375, -5.1413779259, -5.2026796341, -5.2331676483, -5.569357872, -5.77287817, -5.7829022408, -5.801715374, -5.8850297928, -6.0722780228]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CC(O)C1=C(C(=O)OCc2ccccc2)N2C(=O)C(C(C)O)SC12', 'CC(O)C1=C(C(=O)O)N2C(=O)C(C(C)O)SC2S1', 'CC(O)C1=C(C(=O)OCc2ccccc2)N2C(=O)C(C(C)O)SC2C1', 'CC(O)C1=C(C(=O)O)N2C(=O)C(C(C)O)SC12', 'C=CCOC(=O)C1=C(C(C)O)C2SC(C(C)O)C(=O)N12', 'CC(O)C1=C(C(=O)OCc2ccccc2)N2C(=O)C(C(C)O)C2S1', 'CC(O)C1=C(C(=O)OCC(=O)O)N2C(=O)C(C(C)O)SC12', 'C=CCOC(=O)C1=C(C(C)O)CC2SC(C(C)O)C(=O)N12', 'C=CCOC(=O)C1=C(C(C)O)N2C(=O)C(S)(C(C)O)C2S1', 'C=CCOC(=O)C1=C(C(C)O)SC2C(C(C)O)C(=O)N12', 'CC(O)C1=C(C(=O)O)N2C(=O)C(SC3CC[S+]([O-])C3)=C2SC1', 'C=CCOC(=O)C1=C(SC2CC[S+]([O-])C2)C(=O)N2C(C(=O)O)=C(C(C)O)C2S1', 'CC(O)C1=C(C(=O)O)N2C(=O)C(SC3CC[S+]([O-])C3)=C(C(=O)O)SC12', 'CCC(CC)C(=O)OCCOC(=O)C1=C(C(=O)O)N2C(=O)C(C(C)O)SC12']","[-5.1688728333, -5.2925024033, -5.3861279488, -5.5825214386, -5.6568865776, -5.6763577461, -5.7502570152, -6.3685083389, -6.3973932266, -6.483959198, -7.1188092232, -7.3808259964, -7.5476446152, -7.9686598778]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(OCC2CO2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'CCCCCCCCCCOc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccccc2)cc13', 'CCCCCCCCC(O)COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(OCC(O)COc2ccccc2)cc13', 'Nc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccccc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccccc2O)cc13', 'COc1cccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)c1', 'COc1ccccc1CNc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccc4c(c2)OCO4)cc13']","[-3.0962138176, -3.5499479771, -3.8958601952, -4.3301334381, -4.3961181641, -4.7459821701, -4.828119278, -4.9069972038, -4.9528717995, -4.985244751, -5.0074110031, -5.0451927185, -5.2029700279, -5.2619438171, -5.4444994926, -5.9581971169]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['O=C1CN=C(c2ccccc2)N1', 'O=c1nc(-c2ccccc2)c2cc(Cl)ccc2[nH]1', 'O=C1Nc2ccc(Cl)cc2C1c1ccccc1', 'O=C1CN=C(c2ccccc2)c2ccc(Cl)cc2N1']","[-4.9346694946, -4.9405007362, -5.0219945908, -5.0936479568]"
