index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['CC(C)[N+]1(C)C2CCC1CC(O)C2', 'CC(C)[N+]1(C)C2CCC1CC(O)(O)C2', 'CC(C)[N+]1([O-])C2CCC1CC(O)C2', 'O=C(O)C(CO)c1ccccc1', 'CC(C)N1C2CCC1CC(O)(O)C2', 'CC(C)[N+]1(C)C2CCC1CC(O)(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C2OC(C(=O)O)C(O)C(O)C2O)C2CCC1CC(O)C2', 'CC(C)[N+]1(C2OC(C(=O)O)C(O)C(O)C2O)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1([O-])C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]12CCC(N3CCCC3)CC1CC(O)C2', 'CC(C)[N+]1(C2OC(C(O)c3ccccc3)C(O)C(O)C2O)C2CCC1CC2', 'CC(CO)[N+]1(C)C2CCC1CC(O)C2', 'CN1C2CCC1CC(O)(O)C2', 'CN1C2CCC1CC(O)(C(=O)C(CO)c1ccccc1)C2', 'CC(C)N1C2CCC1CC(O)(OC(=O)C(CO)c1ccccc1)C2', 'CC(CO)c1ccccc1', 'CC(C)[N+]12CCC(N3C(O)CC4CC43)CC1CC(O)C2', 'CC(C)[N+]1(C)C2CCC1CC(O)(C(=O)C(CO)c1ccccc1)C2']","[-0.2929468155, -2.0087163448, -3.9392795563, -3.988963604, -4.2956519127, -4.5147633553, -4.6436853409, -4.6667351723, -5.8299865723, -6.0410428047, -6.3615918159, -6.3976359367, -6.6207485199, -6.6324763298, -6.645506382, -6.6717839241, -6.719935894, -6.827249527]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC1C2Cc1ccc(O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCCN3', 'CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'COc1cc2c(cc1O)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1cc(O)ccc13']","[-0.5029990673, -1.4382802248, -3.8163292408, -4.5164842606, -5.558754921, -5.8468351364, -6.0254807472, -6.4072341919, -6.4174313545]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O', 'O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C(O)C1=NC(c2ccccc2)=C(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)c(O)cc2NC1=O', 'O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(OC1OC(C(=O)O)C(O)C(O)C1O)c1nc(-c2ccccc2)nc2ccc(Cl)cc12', 'O=C(O)C1=NC(c2ccc(O)cc2)=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1=NC(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)c1nc(-c2ccccc2)nc2ccc(Cl)cc12', 'O=C(OC1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1C1=NC(C(=O)O)C(=O)Nc2ccc(Cl)cc21', 'Nc1ccc2c(c1)C(c1ccccc1)=NC(C(=O)O)C(=O)N2', 'O=C(O)C1N=C(c2cccc(O)c2)c2cc(Cl)ccc2NC1=O', 'O=C(OC1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1', 'O=C(O)C1=NC(c2ccccc2)c2cc(Cl)ccc2NC1=O']","[-1.3472673893, -1.5902587175, -1.6020190716, -2.4599897861, -2.8959712982, -3.7742021084, -4.3523850441, -4.3637909889, -4.4403748512, -4.8847389221, -5.0712490082, -5.270070076, -5.5138587952, -5.7148528099, -5.755466938, -5.7608385086, -5.8240232468, -5.9575462341]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3C(O)Cc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(O)ccc4C3CCC21C', 'C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CC(O)C2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(OS(=O)(=O)O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3C(O)Cc4cc(O)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(=O)c4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(OC)c4O)C3CCC21C', 'C#CC1(O)CCC2C3CC(=O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3C(CCc4cc(OC)ccc4C3O)CCC21C', 'C#CC1(O)CCC2C3CCc4ccc(O)cc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(O)cc5CCC4C3CCC21C', 'C#CC1(O)C(O)C2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)C2CCC3c4ccc(O)cc4CCC3C2CCC1(C)O', 'C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21']","[-0.3677366972, -1.6008191109, -3.4908053875, -3.7329800129, -3.793282032, -5.1799750328, -5.360440731, -5.8567647934, -5.857521534, -6.1110296249, -6.2861475945, -6.4414277077, -7.5569367409, -7.6170248985, -7.7631225586, -7.8026771545, -7.9887213707, -8.0302991867, -8.0517272949]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'OCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'O=C(O)C1OC(ONCCC(Oc2ccc(C(F)(F)F)cc2)c2ccccc2)C(O)C(O)C1O', 'Oc1ccc(C(F)(F)F)cc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(O)cc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1O)c1ccccc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1OC1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1OC1OC(O)C(O)C(O)C1O)c1ccccc1', 'C[N+](C)([O-])CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'O=C(NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)OC1OC(C(=O)O)C(O)C(O)C1O', 'CNCCC(Oc1ccc(C(F)(F)F)cc1O)c1ccc(O)cc1', 'CNCCC(Oc1ccc(C(F)(F)F)c(O)c1)c1ccccc1', 'OCNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1']","[-0.4309802949, -1.4008389711, -3.2986428738, -4.4565310478, -4.7033939362, -4.9094386101, -5.0336327553, -5.8814921379, -6.1447076797, -6.6029253006, -6.6543960571, -6.737827301, -7.1002364159, -7.1629562378]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCOCCCOP(=O)(O)O', 'Nc1ccn(CC(CO)OCP(=O)(O)OP(=O)(O)O)c(=O)n1', 'CCCCCCCCCCCCO', 'CCCCCCCCCCCCCO', 'CCCCCCCCCCCCOCCCOP(=O)(O)OC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCOCCCOP(=O)(O)O', 'CCCCCCCCCCCCCOP(=O)(O)O', 'Nc1ccn(CC(CO)OCP(=O)(O)OP(=O)(O)OCCCO)c(=O)n1', 'CCCCCCCCCCCCOCCCOP(=O)(O)OC(Cn1ccc(N)nc1=O)C(=O)O', 'CCCCCCCCCCCCCOCCC(=O)O', 'Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'CCCCCCCCCCCCCCOP(=O)(O)O', 'CCCCCCCCCCCCOP(=O)(O)O', 'CCCCCCCCCCCCOCCCOP(=O)(O)OC(CO)Cn1ccc(NC2OC(C(=O)O)C(O)C(O)C2O)nc1=O', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1', 'CCCCCCCCCCCCOCCC(=O)O', 'CC(O)CCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCOCCCOP(=O)(O)OC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCOCCCOP(=O)(O)OC(Cn1ccc(N)nc1=O)C(=O)O']","[-2.8959617615, -3.1111087799, -3.1738226414, -3.3734974861, -3.5006506443, -3.5409927368, -3.6151237488, -3.700961113, -3.7723827362, -3.926400423, -3.9841327667, -3.9854030609, -4.0282735825, -4.2162070274, -4.2259345055, -4.2943754196, -4.3920316696, -4.5514593124, -4.6022443771]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OS(=O)(=O)O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CC(O)C12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)CC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CC(O)C12', 'CC(=O)Oc1cc2c(cc1O)C1CCC3(C)C(O)CCC3C1CC2', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2C1CCC1CC(=O)CCC12C', 'CC(=O)Oc1ccc2c(c1)C(O)CC1C2CCC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)C(OC3OC(C(=O)O)C(O)C(O)C3O)CC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)CC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2C1CCC1CC(O)CCC12C', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)C1CCC3(C)C(OC4OC(C(=O)O)C(O)C(O)C4O)CCC3C1CC2', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)C(O)CC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CC(OC3OC(C(=O)O)C(O)C(O)C3O)C12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2C1CCC1=CC(=O)C=CC12C']","[-0.2660516798, -2.6988885403, -3.2399115562, -3.3313276768, -4.0284461975, -4.6810274124, -4.9768104553, -5.2464213371, -5.5757951736, -5.851275444, -6.056479454, -6.0568528175, -6.1114239693, -6.3039617538, -6.3167338371, -6.3426098824, -6.517021656, -6.5205430984, -6.6751527786]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CCC(CC)C(=O)O', 'CCC(CC)C(=O)OCO', 'CCC(C(=O)O)C(C)O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(O)C(=O)N12', 'CCC(C(=O)OCO)C(C)O', 'CCC(C(=O)O)C(=O)O', 'CCC(CC)C(=O)OC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C([S+]([O-])C2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(O)C(=O)N12)C(C)O', 'CCC(CC)C(=O)OC(O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12)C(C)O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)[S+]([O-])C2C(C(C)O)C(=O)N12', 'CCC(C(=O)O)C(=O)OCO', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)[S+]([O-])C2C(C(C)O)C(O)C(=O)N12', 'CCC(CC)C(=O)OC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)NC(=O)N12', 'CCC(CC)C(=O)OCOC(=O)c1c(SC2CC[S+]([O-])C2)oc2c(C(C)O)c(O)ccc12']","[-0.8411518931, -0.9480103254, -3.1047255993, -3.6441004276, -3.8177671432, -4.5300798416, -5.5053696632, -5.5982370377, -6.1363649368, -6.3125267029, -6.3781867027, -6.5232319832, -6.5639476776, -6.6499853134, -6.6526637077, -6.9246869087, -7.2004027367]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(O)c13', 'CN1CCC23CCCCC2C1Cc1cc(O)c(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23c4cc(O)ccc4CC1C2CCCC3O', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'CN1CCC23c4cc(OC5OC(C(=O)O)C(O)C(O)C5O)ccc4CC2N(C)CCC13', 'CN1CCC23c4cc(O)c(O)cc4CC2N(C)CCC13', 'CN1CCC23CCCCC2C1Cc1cc(OS(=O)(=O)O)c(O)cc13', 'CN1CCC23CCCCC1C2Cc1cc(O)c(O)cc13', 'CN1CCC23CCCCC2c2cc(OC4OC(C(=O)O)C(O)C(O)C4O)ccc2CC1C3']","[-1.1400655508, -1.163089633, -2.9138057232, -3.2654955387, -3.3310804367, -4.2303876877, -4.2552604675, -4.8220028877, -5.0737228394, -5.2243909836, -5.9257798195, -5.9916887283]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O', 'O=C1CN=C(c2ccccc2)c2cc(Cl)cc(O)c2N1', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O', 'CC1(O)Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'CC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C(O)C1OC(OC2=Nc3ccc(Cl)cc3C(c3ccccc3)=NC2)C(O)C(O)C1O', 'Nc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2', 'O=C1CN=C(c2ccccc2)c2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc2N1', 'NC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccn2)=NC1O', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O', 'O=C1CN=C(c2ccccc2)c2cc(Cl)c(O)cc2N1', 'CC(=O)N1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21', 'O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2NC(OC2OC(C(=O)O)C(O)C(O)C2O)N1', 'CC(=O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O', 'O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1']","[-0.4729221165, -1.547044158, -2.192435503, -4.1201062202, -4.7777476311, -5.1774039268, -6.2988667488, -6.3452115059, -6.3735070229, -6.3871021271, -6.4407539368, -6.7989149094, -7.3905329704, -7.4447541237, -7.6724486351, -7.7346301079, -7.984442234, -8.0072088242, -8.558262825]"
