index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['CC(C)[N+]1(C)C2CCC1CC(O)C2', 'CC(C)[N+]12CCC(CC(O)C1)C2', 'C=C(Cc1ccccc1)C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C', 'CN1C2CCC1CC(O)C2', 'CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1(C)CC(O)C2', 'CC(C)[N+]12CCC(O)CC1CC(O)C2', 'CC12CCC(CC(OC(=O)C(CO)c3ccccc3)C1)[N+]2(C)C', 'CC(C)[N+]1(C)C2CCC1(C)CC(OC(=O)C(CO)c1ccccc1)C2']","[-1.5913757086, -3.3675773144, -4.1047086716, -4.2660841942, -4.6098423004, -4.6631307602, -5.5202012062, -5.5819635391, -5.9255185127]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC1C2Cc1ccc(O)cc13', 'COc1cc2c(cc1O)CC1C3CCCCC23CCN1C', 'CN1CCN(C)C2Cc3ccc(O)cc3C3(CCCCC23)CC1', 'CN1CCC23c4cc(O)ccc4CC2N(C)CCC3C1', 'CC1C2Cc3ccc(O)cc3C3(CCCCC23)CCN1C']","[-1.4919289351, -1.8644100428, -4.5253973007, -4.8558130264, -5.5443515778, -5.6783704758, -6.0231561661]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2N=C1O', 'O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O']","[-1.0260041952, -4.2143726349, -4.3395013809, -4.3835659027, -5.7336564064]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(O)cc5CCC4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CC(O)C2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CC(O)C2C3CCc4cc(OC)ccc4C3CCC21C']","[-0.7776940465, -2.8703927994, -3.1929152012, -5.0560240746, -5.1152086258, -5.7440886497, -5.7889018059]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(O)cc1', 'Oc1ccc(C(F)(F)F)cc1', 'O=C(O)C1OC(ONCCC(Oc2ccc(C(F)(F)F)cc2)c2ccccc2)C(O)C(O)C1O', 'FC(F)(F)c1ccccc1', 'OCNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1']","[-2.1128458977, -2.640935421, -3.1575922966, -3.6519670486, -3.7096886635, -4.8713889122, -4.9559855461, -5.0688333511]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCCCCCO)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCCCCCCO)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)OCCCO)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCCCCCOP(=O)(O)O', 'Nc1ccn(CC(O)COP(=O)(O)O)c(=O)n1', 'CC(O)CCCCCCCCCCCCCOP(=O)(O)O', 'CCCCCCCCCCCCCCOCCCOP(=O)(O)O', 'CCCCCCCCCCCCCCCCOP(=O)(O)O', 'CCCCCCCCCCCCCOCCCOP(=O)(O)O', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCCCCOP(=O)(O)O', 'CC(O)CCCCCCCCCCCCCCOP(=O)(O)O', 'CC(O)CCCCCCCCCCCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'Nc1ccn(CC(O)COP(=O)(O)OP(=O)(O)OCCCOCCCCCCCCCCCO)c(=O)n1', 'Nc1ccn(CC(CO)OP(=O)(O)OCCCOCCCCCCCCCCCCO)c(=O)n1', 'Nc1ccn(CC(O)OP(=O)(O)OCCCOCCCCCCCCCCCCO)c(=O)n1', 'Nc1ccn(CC(O)OP(=O)(O)OCCCOCCCCCCCCCCCCCO)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)OP(=O)(O)OCCCOCCCCCCCCCCCCO)c(=O)n1']","[-3.4266116619, -3.6032145023, -3.7083098888, -4.1113481522, -4.2222175598, -4.2894973755, -4.3143377304, -4.5535678864, -4.6539683342, -4.7200307846, -4.7555680275, -4.8619084358, -4.8995265961, -4.9268064499, -5.0944051743, -5.2094922066, -5.2131972313, -5.263718605, -5.2812256813]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)CC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CC(O)C12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OS(=O)(=O)O)CCC12', 'CC12CCC3c4cc(O)ccc4CCC3C1CCC2O']","[-1.4047785997, -1.8334236145, -2.7882905006, -3.0647804737, -4.8964047432, -5.6014194489]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CCC(CC)C(=O)O', 'CC(O)C(C(=O)O)C1SC2C(C(C)O)C(=O)N2C1C(=O)O', 'CC(O)C(C(=O)O)C1SC2C(C(=O)O)=C(SC3CC[S+]([O-])C3)CN2C1=O', 'CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12', 'CCC(C)C(=O)O', 'CC(O)C(C(=O)O)C1SC2C(C(=O)O)=C(SC3CC[S+]([O-])C3)CN21', 'CCC(C(=O)O)C(=O)O', 'CC(O)C(C(=O)O)C1SC2C(C(=O)O)=C(SC3CC[S+]([O-])C3)CSC21', 'CC(O)C(C(=O)O)C1NC(C(=O)O)=C(SC2CC[S+]([O-])C2)S1', 'CC(O)C(C(=O)O)C1NC(C(=O)O)C(SC2CC[S+]([O-])C2)S1', 'CC(O)C(C)C(=O)O', 'CC(O)C(C(=O)O)C1SC2C(C(=O)O)=C(SC3CCSC3)CN2C1=O']","[-1.8752378225, -3.3307373524, -3.3367362022, -3.426207304, -3.4568736553, -4.0978984833, -4.1853032112, -4.2457332611, -4.4785284996, -4.7210555077, -5.2151899338, -5.4188609123]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23c4cc(O)ccc4CC1C2CCCC3O', 'CN1CCNC2Cc3ccc(O)cc3C3(CCCCC23)CC1', 'CN1CCC23CCCCC2C1Cc1cc(O)c(O)cc13', 'CN1CCC23CCCCC1C2Cc1ccc(O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'CN1CCN(C)C2Cc3ccc(OC4OC(C(=O)O)C(O)C(O)C4O)cc3C3(CCCCC23)CC1', 'CN1CCC23c4cc(O)ccc4CC2C1CCCC3O', 'CN1CCC23CCCCC1C2Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13']","[-2.4639165401, -2.612562418, -3.2556538582, -3.7300713062, -4.9068636894, -4.9675107002, -5.0850305557, -5.7091298103, -6.0016775131, -6.2078289986]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O']","[-1.9378261566, -2.0848274231, -2.4115698338, -4.3509874344]"
