index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['CC(C)[N+]1(C)C2CCC1CC(O)C2', 'CC(C)[N+]12CCC(CC(O)C1)C2', 'C=C(Cc1ccccc1)C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C', 'CN1C2CCC1CC(O)C2', 'CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1(C)CC(O)C2', 'C[N+]1([O-])C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]12CCC(O)CC1CC(O)C2', 'CC12CCC(CC(OC(=O)C(CO)c3ccccc3)C1)[N+]2(C)C', 'CC1C(OC(=O)C(CO)c2ccccc2)CC2CCC1[N+]2(C)C(C)C', 'CC(C)[N+]1(C)C2CCC1(C)CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]12CCC(CC(OC(=O)C(CO)c3ccccc3)C1)C2', 'O=C(O)C(CO)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C=C(Cc1ccccc1)C(=O)OC1CC2CCC(C1)[N+]2(C)C']","[-1.5913758278, -3.3675804138, -4.1047086716, -4.2660827637, -4.6098408699, -4.6631317139, -4.9278812408, -5.5201916695, -5.5819654465, -5.8430404663, -5.9255137444, -5.9865298271, -6.0761027336, -6.6139025688, -6.9834246635, -7.2053565979]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC1C2Cc1ccc(O)cc13', 'COc1cc2c(cc1O)CC1C3CCCCC23CCN1C', 'CN1CCN(C)C2Cc3ccc(O)cc3C3(CCCCC23)CC1', 'CN1CCC23c4cc(O)ccc4CC2N(C)CCC3C1', 'CC1C2Cc3ccc(O)cc3C3(CCCCC23)CCN1C', 'CN1CCC23CCN(C)C(Cc4ccc(O)cc42)C3C1', 'CN1CCC23CCCCC2C(Cc2ccc(O)cc23)C1C1CCCC1']","[-1.4919282198, -1.8644094467, -4.525396347, -4.8558135033, -5.5443601608, -5.6783685684, -6.0231595039, -6.8427524567, -7.1475300789]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2N=C1O', 'O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N(O)C1=O']","[-1.0260046721, -4.2143731117, -4.3394966125, -4.3835587502, -5.7336544991, -5.9674735069]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(O)cc5CCC4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CC(O)C2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CC(O)C2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(OS(=O)(=O)O)CCC2C3CCc4cc(OC)ccc4C3CCC21C']","[-0.7776949406, -2.8703930378, -3.1929078102, -5.0560202599, -5.1152114868, -5.6414322853, -5.7440929413, -5.788898468, -5.8006491661]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(O)cc1', 'Oc1ccc(C(F)(F)F)cc1', 'O=C(O)C1OC(ONCCC(Oc2ccc(C(F)(F)F)cc2)c2ccccc2)C(O)C(O)C1O', 'FC(F)(F)c1ccccc1', 'OCNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1']","[-2.1128456593, -2.6409349442, -3.157592535, -3.6519682407, -3.7096879482, -4.871389389, -4.9559860229, -5.068821907]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCCCCCO)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCCCCCCO)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)OCCCO)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCCCCCOP(=O)(O)O', 'Nc1ccn(CC(O)COP(=O)(O)O)c(=O)n1', 'CC(O)CCCCCCCCCCCCCOP(=O)(O)O', 'CCCCCCCCCCCCCCOCCCOP(=O)(O)O', 'CCCCCCCCCCCCCCCCOP(=O)(O)O', 'CCCCCCCCCCCCCOCCCOP(=O)(O)O', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCCCCOP(=O)(O)O', 'CC(O)CCCCCCCCCCCCCCOP(=O)(O)O', 'CC(O)CCCCCCCCCCCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'Nc1ccn(CC(O)COP(=O)(O)OP(=O)(O)OCCCOCCCCCCCCCCCO)c(=O)n1', 'CC(O)CCCCCCCCCCCCOP(=O)(O)O', 'Nc1ccn(CC(CO)OP(=O)(O)OCCCOCCCCCCCCCCCCO)c(=O)n1', 'Nc1ccn(CC(O)OP(=O)(O)OCCCOCCCCCCCCCCCCO)c(=O)n1', 'Nc1ccn(CC(O)OP(=O)(O)OCCCOCCCCCCCCCCCCCO)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)OP(=O)(O)OCCCOCCCCCCCCCCCCO)c(=O)n1', 'CC(O)CCCCCCCCCCCCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'Nc1ccn(CC(CO)OP(=O)(O)OCCCO)c(=O)n1', 'CCCCCCCCCCCCCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'Nc1ccn(CC(CO)OP(=O)(O)OCCCOCCCCCCCCCCCCCO)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)OP(=O)(O)OCCCO)c(=O)n1', 'CC(O)CCCCCCCCCCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'CC(O)CCCCCCCCCCCCCOP(=O)(O)OCC(O)CO', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCCCCOP(=O)(O)OCCCO', 'CCCCCCCCCCCCCCCOP(=O)(O)OCCCO', 'CCCCCCCCCCCCCCOCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCOCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'CC(O)CCCCCCCCCCCCCOP(=O)(O)OCCCO', 'CCCCCCCCCCCCCCO', 'Nc1ccn(CC(O)COP(=O)(O)OP(=O)(O)O)c(=O)n1', 'CC(O)CCCCCCCCCCCCCCOP(=O)(O)OCC(O)CO']","[-3.4266090393, -3.6032135487, -3.7083063126, -4.1113467216, -4.2222189903, -4.289495945, -4.3143405914, -4.5535702705, -4.6539692879, -4.7200317383, -4.7555704117, -4.8619036674, -4.8995289803, -4.9268069267, -5.0944004059, -5.1018419266, -5.2095012665, -5.2132024765, -5.2637190819, -5.2812309265, -5.3124418259, -5.331987381, -5.3387961388, -5.3452329636, -5.3912315369, -5.4481344223, -5.4742541313, -5.4858407974, -5.5775589943, -5.6494312286, -5.6564893723, -5.6669092178, -5.6969294548, -5.7070522308, -5.7678341866, -5.7878546715]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)CC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CC(O)C12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OS(=O)(=O)O)CCC12', 'CC12CCC3c4cc(O)ccc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)CC12']","[-1.4047778845, -1.8334224224, -2.7882950306, -3.0647778511, -4.8964071274, -5.6014223099, -6.2277970314]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CCC(CC)C(=O)O', 'CC(O)C(C(=O)O)C1SC2C(C(C)O)C(=O)N2C1C(=O)O', 'CC(O)C(C(=O)O)C1SC2C(C(=O)O)=C(SC3CC[S+]([O-])C3)CN2C1=O', 'CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12', 'CCC(C)C(=O)O', 'CC(O)C(C(=O)O)C1SC2C(C(=O)O)=C(SC3CC[S+]([O-])C3)CN21', 'CCC(C(=O)O)C(=O)O', 'CC(O)C(C(=O)O)C1SC2C(C(=O)O)=C(SC3CC[S+]([O-])C3)CSC21', 'CC(O)C(C(=O)O)C1NC(C(=O)O)=C(SC2CC[S+]([O-])C2)S1', 'CC(O)C(C(=O)O)C1NC(C(=O)O)C(SC2CC[S+]([O-])C2)S1', 'CCC(C(C)=O)C(=O)O', 'CC(O)C(C)C(=O)O', 'CC(O)C(C(=O)O)C1SC2C(C(=O)O)=C(SC3CCSC3)CN2C1=O', 'CCC(C(=O)O)C(C)O', 'CC(O)C(C(=O)O)C1NC(C(=O)O)=C(SC2CCSC2)S1', 'CC(O)C(C(=O)O)C1SC2C(SC3CC[S+]([O-])C3)=C(C(=O)O)N2C1=O', 'CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CCSC3)SC12', 'CC(O)C(C(=O)O)C1SC2CC(SC3CC[S+]([O-])C3)=C(C(=O)O)N2C1=O', 'CC(O)C(C(=O)O)C1SC2C(C(=O)O)NC(C(=O)O)=C(SC3CC[S+]([O-])C3)C21', 'CC(O)C(C(=O)O)C1SC2C(C(=O)O)=C(SC3CCSC3)CN21', 'CC(O)C(C(=O)O)C1NC(C(=O)O)C([S+]([O-])C2CC[S+]([O-])C2)S1', 'CC(O)C(N)C(=O)N1C(C(C(=O)O)C(C)O)SC(SC2CC[S+]([O-])C2)C1C(=O)O', 'CC(O)C(C(=O)N1C(C(C(=O)O)C(C)O)SC(SC2CC[S+]([O-])C2)C1C(=O)O)C(C)O', 'CCC(C)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C(C(=O)O)C1SC2C(C(=O)O)=C(SC3CC[S+]([O-])C3)C(C(=O)O)N2C1=O', 'CC(O)C(C(=O)N1C(C(=O)O)=C(SC2CC[S+]([O-])C2)SC1C(C(=O)O)C(C)O)C1CCC(O)C1']","[-1.8752375841, -3.3307318687, -3.3367323875, -3.4262058735, -3.4568781853, -4.0978984833, -4.1853051186, -4.245736599, -4.4785275459, -4.721051693, -5.2115283012, -5.2151851654, -5.4188671112, -5.6911673546, -5.7687239647, -5.9807987213, -6.0004339218, -6.2372913361, -6.2765145302, -6.3239006996, -6.3804678917, -6.4014196396, -6.4101815224, -6.5432281494, -6.587539196, -7.1476097107]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23c4cc(O)ccc4CC1C2CCCC3O', 'CN1CCNC2Cc3ccc(O)cc3C3(CCCCC23)CC1', 'CN1CCC23CCCCC2C1Cc1cc(O)c(O)cc13', 'CN1CCC23CCCCC1C2Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'CN1CCN(C)C2Cc3ccc(OC4OC(C(=O)O)C(O)C(O)C4O)cc3C3(CCCCC23)CC1', 'CN1CCC23c4cc(O)ccc4CC2C1CCCC3O', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(OC2OC(C(=O)O)C(O)C(O)C2O)c13', 'CC1C2Cc3ccc(O)cc3C3(CCCCC23)CCN1C', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(O)c13', 'CN1CCC23CCCCC1C2Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCN(C)C(Cc4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)cc42)C3C1', 'CC1C2CCN(C)C3Cc4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)cc4C23CCN1C']","[-2.4639167786, -2.6125617027, -3.2556595802, -3.730080843, -4.9068584442, -4.9675149918, -5.0396695137, -5.0850286484, -5.7091407776, -6.0016856194, -6.0585045815, -6.0878658295, -6.1153106689, -6.2078261375, -6.7481079102, -7.199965477]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O', 'O=C1CN=C(c2ccccc2)c2cc(Cl)cc(O)c2N1', 'OC1=Nc2c(O)cc(Cl)cc2C(c2ccccc2)=NC1']","[-1.9378340244, -2.0848200321, -2.4115650654, -4.3509860039, -5.0335102081, -5.2160058022]"
