index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+](C)(C)CCOC(=O)C(CO)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2', 'CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]12CCC(CC1)C(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1cccs1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(CO)(c1ccccc1)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(CO)(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CN)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(O)c1cccs1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)(c1ccccc1)N1CCCCC1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)N(C)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccsc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(CN)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2']","[-1.6993008852, -3.980830431, -4.7356786728, -4.7802519798, -4.8034453392, -5.043943882, -5.3124275208, -5.8511133194, -5.8608231544, -5.9963555336, -6.0294041634, -6.0663671494, -6.1129188538, -6.1999106407, -6.2970309258]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1', 'COc1cccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)c1', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'CCCCCCCCC(O)COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'COc1ccccc1CNc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)NCc2ccccc2)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'CCCCCCCCCC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CCCCCCCCCCOc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCCCC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NC(=O)Nc2ccc(I)cc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccc(I)cc2)cc13', 'COc1ccccc1CN(C)c1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccc(O)cc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccc(I)cc2)cc13', 'COc1ccc(CN(C)c2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1']","[-3.3041713238, -3.5060052872, -3.8583502769, -4.3102312088, -4.3663167953, -4.3757171631, -4.5659284592, -4.7122569084, -4.7804121971, -4.7956943512, -4.8330807686, -4.9260177612, -5.0237355232, -5.1375637054, -5.2408819199, -5.2608828545, -5.325217247, -5.3978633881, -5.4363074303]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C(O)CC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=c1nc(-c2ccccc2)c2cc(Cl)ccc2[nH]1', 'O=C(NCCN1CCOCC1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)N1CCC(N2CCCC2)CC1', 'O=C(O)c1ccccc1NC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(NCCCN1CCOCC1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)N1CCC(N2CCCCC2)CC1', 'O=C(Nc1cccc(Br)c1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(Nc1cccc(Cl)c1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1CC(=O)N1CCC(N2CCCCC2)CC1', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)Nc1cccc2cccnc12', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1CC(=O)N1CCC(N2CCCC2)CC1', 'O=C(CC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O)Nc1ccccc1C(=O)O', 'O=C(NCCN1CCCCC1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O']","[-4.7101569176, -5.8883447647, -6.0426988602, -6.3380379677, -6.4826340675, -6.5080785751, -6.6863560677, -7.1445698738, -7.3081588745, -7.3843698502, -7.4454050064, -7.5011835098, -7.5063357353, -7.6172690392]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(N(C)C)ccc4C3CCC21C', 'CC#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'CC#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4ccccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(-c5cccnc5)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(N)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCC(=O)O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(O)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(-c5ccccc5)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCCCCCCCCBr)ccc4C3CCC21C']","[-1.9178744555, -3.8299415112, -3.9781000614, -4.7701563835, -4.8097958565, -4.9559035301, -5.1867451668, -5.262201786, -5.3787274361, -5.4441752434, -5.7640943527]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['FC(F)(F)c1ccc(-c2c[nH]nn2)cc1', 'CNCCC(Oc1cccc2ccccc12)c1ccccc1', 'FC(F)(F)c1ccc(-c2ccccc2)cc1', 'O=P(O)(O)C(Nc1ccc(C(F)(F)F)cc1)P(=O)(O)O', 'NCC=C(F)COc1ccc(C(F)(F)F)cc1', 'NS(=O)(=O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1', 'NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'FC(F)(F)c1ccc(SCCc2c[nH]cn2)cc1', 'CNCCC(Oc1cc(Cl)ccc1Cl)c1ccccc1', 'CNCCC(Oc1ccccc1)c1ccccc1', 'FC(F)(F)c1ccc(OCCCN2CCN(c3ccccn3)CC2)cc1', 'O=C(O)c1cc(-c2ccc(C(F)(F)F)cc2)cc(Cl)c1O', 'CNc1ccc(-c2ccc(C(F)(F)F)cc2)cc1', 'Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1', 'FC(F)(F)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1', 'O=C(O)c1cc(-c2ccc(C(F)(F)F)cc2)ccc1O', 'NC(=O)Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1']","[-3.1210856438, -3.2753791809, -3.6075029373, -3.9149608612, -4.1361508369, -4.3216733932, -4.4129939079, -4.700316906, -4.7420778275, -4.933221817, -4.9678888321, -5.1471323967, -6.6306886673, -7.1526203156, -7.3324942589, -7.7868008614, -8.1484289169]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCCC[n+]1ccc(C(N)=O)cc1', 'CCCCCCCCCCCCCCCOP(=O)(O)OCC(CO)OC', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCCC[n+]1cccc(C(=O)N(CC)CC)c1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCC(CO)OC', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCC[n+]1ccc(C(N)=O)cc1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCCC[n+]1ccc(C(=O)N(CC)CC)cc1', 'CCCCCCCCCCCCCCCOCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCCC[n+]1ccc(N(C)C)cc1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCCC[n+]1ccc2ccccc2c1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCCC1', 'CCCCCCCCCCCCCCCOP(=O)(O)OCCCOCn1ccc(=O)[nH]c1=O', 'CCCCCCCCCCCCCCCOP(=O)(O)OCC(Cn1ccc(=O)[nH]c1=O)OC', 'CCCCCCCCCCCCCCCOP(=O)(O)OCC(O)COc1ccc(-c2noc(=O)[nH]2)cc1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCCC[n+]1cccc2ccccc21']","[-2.339240551, -3.2045519352, -3.2740662098, -3.7169337273, -3.8427815437, -4.1005444527, -4.7034306526, -4.9309411049, -5.0280137062, -5.0390686989, -5.1237640381, -5.1819314957, -5.2231550217, -5.3204126358, -5.3350734711, -5.3722138405, -5.3763990402, -5.545085907, -5.6350698471, -5.6627016068]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)Nc5ccccc5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCc5ccccc5)cc4CCC3C1CCC2O', 'CNC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CCCNC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC(C)(C)NC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CCCCNC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC12CCC3c4ccc(OCC(=O)O)cc4CCC3C1CCC2O', 'COc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC12CCC3c4ccc(OCC(O)CO)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)Nc5ccc(Cl)cc5)cc4CCC3C1CCC2O', 'CN(C)C(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CCNC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CN(C(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12)c1ccccc1', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2C1CCC(O)C2(C)C', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CCC12']","[-2.1636586189, -4.1411337852, -4.4447054863, -4.4750642776, -4.5797533989, -4.6204409599, -4.66345644, -4.8802390099, -5.0062651634, -5.0776557922, -5.1317543983, -5.1981415749, -5.2565274239, -5.8726439476, -6.0851325989, -6.1231107712]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CCC(CC)COC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'COC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)COC(=O)C1=C(SC2CC[S+]([O-])C2)CSC2C(C(C)O)C(=O)N12', 'CCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)CSC2C(C(C)O)C(=O)N12', 'CCC(C)C(N)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)OCc3ccccc3)=C(SC3CC[S+]([O-])C3)SC12', 'CCC(C)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12', 'CCC(CC)OC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(C)C(N)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)OCO)=C(SC3CC[S+]([O-])C3)SC12', 'CC(N)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12']","[-3.1177783012, -3.5924248695, -4.4441056252, -4.578083992, -4.6516194344, -4.6725773811, -4.7346696854, -5.3062438965, -5.4973950386, -5.7677693367, -5.8082995415, -5.8775625229, -6.0203003883]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['COc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'COc1cccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)c1', 'COc1ccccc1CNc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CCCCCCCCCC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'COc1ccccc1CN(C)c1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)NCc2ccccc2)cc13', 'CN(C)C(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCCCC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccc(O)cc2)cc13', 'CCCCCCCCC(O)COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13', 'COc1cccc(CN(C)c2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)c1', 'Cc1ccc(C)c(C(=O)Oc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)c1', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccccc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccc(I)cc2)cc13']","[-3.6214354038, -3.7916922569, -3.8297772408, -4.4587030411, -4.6807732582, -4.738067627, -4.757475853, -4.7592577934, -4.8370747566, -4.9540324211, -5.0753231049, -5.089577198, -5.1155042648, -5.2131123543, -5.2618265152, -5.3834090233, -5.6477999687, -5.729514122]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']",[],[]
