index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(CN1CCC(Cc3ccccc3)CC1)c1ccccc1)C2', 'C[N+]1(Cc2ccccc2)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1ccsc1)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1ccsc1)c1ccsc1)C2', 'CN(C(=O)OC1CC2CCC(C1)[N+]2(C)C)c1ccccc1', 'C[N+]1(C)C2CCC1CC(OC(=O)C(CS)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1cccs1)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(CSc1nc3ccccc3o1)c1ccccc1)C2', 'CC1(C)C2CCC1(C)C(OC(=O)C(CO)c1ccccc1)C2', 'O=C(OC1CC2CCC(C1)N2Cc1ccccc1)C(CO)c1ccccc1', 'O=C(OC1CC2CCC(C1)N2)C(CO)c1ccccc1', 'O=C(OC1CN2CCC1CC2)C(CO)c1ccccc1', 'O=C(Nc1nc2ccccc2s1)C(CO)c1ccccc1', 'CN(C(=O)OC1CC2CCC(C1)N2C)c1ccccc1', 'O=C(OC1C[N+]2(CCc3ccccc3)CCC1CC2)C(CO)c1ccccc1', 'C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1ccccc1)c1ccsc1)C2']","[-0.2211128026, -2.6372578144, -4.993121624, -5.6763029099, -5.7218370438, -5.8447761536, -5.9021310806, -5.9503264427, -6.3874125481, -6.4693045616, -6.5540914536, -6.6794428825, -6.6913456917, -6.7164120674, -6.7548947334, -6.7815437317, -6.8249063492, -6.9193716049]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NC(=O)Nc2ccccc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NC(=O)Nc2ccc(I)cc2)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'CCNC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CCCCCCCCC(O)COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'COc1ccc(CN(C)c2ccc3c(c2)C24CCCCC2C(C3)N(CC2CCC2)CC4)cc1', 'CNC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'COc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(CC2CC2)CC4)cc1', 'COc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(CC2CCC2)CC4)cc1', 'COc1cccc(CN(C)c2ccc3c(c2)C24CCCCC2C(C3)N(CC2CCC2)CC4)c1', 'CN1CCC23CCCCC2C1Cc1ccccc13', 'CCCCCCCCCCOc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'COc1ccccc1CN(C)c1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'COc1cccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(CC2CCC2)CC4)c1', 'COc1ccccc1CNc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3']","[-1.8604271412, -1.8877763748, -2.8521404266, -3.1066713333, -3.2239246368, -3.6375968456, -3.6550045013, -3.7615506649, -3.7716393471, -4.108754158, -4.1748762131, -4.2993140221, -4.3042535782, -4.4737763405, -4.7016215324, -4.7634167671, -5.0121893883, -5.0454788208, -5.0995612144]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['COC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'CCOC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'COc1ccccc1NC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'Cc1cccc(NC(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)c1', 'CN1CCN(C(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)CC1', 'CNC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(Nc1ccccc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'Cc1ccccc1NC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'CCN(CC)C(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'COc1cccc(C(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)c1', 'CC(=O)Nc1ccc(S(=O)(=O)NC2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1', 'O=C(NCc1ccccn1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'CC(=O)Nc1ccc(C(=O)NC2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1', 'COC(=O)c1ccc(C(=O)NC2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1', 'O=C(NCc1ccccc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'COc1ccc(C(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1', 'COc1cccc(C(=O)NC2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)c1', 'O=C(NCc1cccnc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)N1CCc2ccccc2C1']","[-2.3917765617, -3.0765702724, -3.6836845875, -3.9119410515, -4.1410799026, -4.2342910767, -4.5346298218, -4.5705165863, -4.5729794502, -4.715628624, -4.7234330177, -4.9094905853, -4.9319844246, -4.9320883751, -4.9474058151, -5.0442566872, -5.0694675446, -5.145632267, -5.5766434669]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'CC#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'CC#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'COc1ccc2c(c1)CCC1C2CCC2(C)C(C#Cc3ccccc3)CCC12', 'COc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'C#CC1CCC2C3CCc4cc(OC)ccc4C3CCC12C', 'C#CC1(O)CCC2C3CCc4ccccc4C3CCC21C', 'COc1ccc2c(c1)CCC1C2CCC2(C)C(C#CCO)CCC12', 'COc1ccc2c(c1)CCC1C2CCC2(C)C(C#Cc3ccc(F)cc3)CCC12', 'C#CC1(O)CCC2C3CCc4cc(OC(=O)C=Cc5ccccc5)ccc4C3CCC21C', 'COc1ccc2c(c1)CCC1C2CCC2(C)C(C#CO)CCC12', 'COc1ccc2c(c1)CCC1C2CCC2(C)C(C(=O)CO)CCC12', 'C#CC1(O)CCC2C3CCC4c5cc(OC)ccc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC(=O)C=Cc5ccc(OC)cc5)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC(=O)Nc5ccccc5)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC(=O)C5CC5)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)CCCCCC(=O)O)cc3)CC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)CCCCCCCC(=O)O)cc3)CC21C']","[-0.6562379599, -3.0113258362, -3.9875969887, -4.2935504913, -4.3100385666, -4.6109075546, -4.7418146133, -5.5793819427, -5.7689723969, -5.9879174232, -6.0680975914, -6.0765285492, -6.1944737434, -6.2304563522, -6.2928915024, -6.499835968, -8.5392341614, -8.8387317657]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['NCC=C(F)COc1ccc(C(F)(F)F)cc1', 'NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'FC(F)(F)c1ccc(-c2c[nH]nn2)cc1', 'CNCCC(Oc1cccc2ccccc12)c1ccccc1', 'FC(F)(F)c1ccc(-c2ccccc2)cc1', 'O=C(COc1ccc(C(F)(F)F)cc1)c1ccc(Cl)nc1', 'FC(F)(F)c1ccc(SCCc2c[nH]cn2)cc1', 'NC(=O)Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1', 'FC(F)(F)c1ccc(OCCCN2CCN(c3ccccn3)CC2)cc1', 'NC(=O)c1nc(-c2ccc(C(F)(F)F)cc2)oc1N', 'O=P(O)(O)C(Nc1ccc(C(F)(F)F)cc1)P(=O)(O)O', 'NC(=S)Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1', 'NC(=O)Oc1ccc(-c2ccc(C(F)(F)F)cc2)cc1', 'Nc1nc2c(-c3ccc(C(F)(F)F)cc3)cccn2n1', 'N#Cc1c(-c2ccc(C(F)(F)F)cc2)no[n+]1[O-]', 'CNCCC(Oc1cc(Cl)ccc1C#N)c1ccccc1', 'CNCCC(c1ccccc1)n1c(=O)n(C)c2ccccc21', 'CNCCC(Oc1ccccc1C)c1ccccc1', 'O=c1ccoc2ccc(OCc3ccc(C(F)(F)F)cc3)cc12', 'CNCCC(Oc1ccccc1OC)c1ccccc1']","[-2.2860438824, -2.4630458355, -2.5491204262, -2.6023552418, -2.8919508457, -2.926035881, -2.9710438251, -3.2726433277, -3.3390963078, -3.378670454, -3.4824194908, -3.5079438686, -3.5802679062, -3.7547354698, -3.8477494717, -4.0095992088, -4.0882062912, -4.3304815292, -4.5046014786, -4.5446195602]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCOP(=O)([O-])COCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])COCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCOP(=O)([O-])COCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])COCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCCC[N+](C)(C)C', 'CCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCOP(=O)([O-])OCCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])COCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCCC[n+]1ccc(C)cc1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCC[n+]1ccc(C)cc1', 'CCCCCCCCCCCCCCCOP(=O)([O-])COCC[N+](C)(C)C', 'CCCCCCCCCCCCCCOCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1']","[-1.9344956875, -2.3352661133, -2.3928413391, -2.5651493073, -2.8036429882, -2.8866510391, -2.9529249668, -3.1183357239, -3.3017611504, -3.4417710304, -4.2388911247, -4.3128724098, -4.3743138313, -4.4190292358, -4.4509658813, -4.4744381905, -4.651237011, -4.751019001, -4.7515821457, -5.2538294792]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCc5ccccn5)cc4CCC3C1CCC2O', 'COc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC12CCC3c4ccc(OCc5ccccc5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)Nc5ccccc5)cc4CCC3C1CCC2O', 'CCCCNC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CCCNC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CCNC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CNC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC12CCC3c4ccc(OC5OC(CO)C(O)C(O)C5O)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)c5ccccc5)cc4CCC3C1CCC2O', 'CN(C)C(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC12CCC3c4ccc(OC(=O)Nc5ccc(F)cc5)cc4CCC3C1CCC2O', 'CC#CCOc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CCCCCCCCNC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'COC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC12CCC3c4ccc(OC(=O)N5CCc6ccccc6C5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)NCCCCCN5CCOCC5)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C3CCC4(C)C(O)CCC4C3CCC21C']","[-1.0854690075, -3.1713960171, -3.1903541088, -3.2061367035, -3.3451552391, -3.5823152065, -3.7104518414, -3.9272098541, -3.969587326, -4.1044301987, -4.2245569229, -4.440659523, -4.495036602, -4.7405104637, -4.8420109749, -4.9707250595, -5.3613781929, -5.5170211792, -5.7314581871]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CCC(CC)COC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)OC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'COC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)OCc3ccccc3)=C(SC3CC[S+]([O-])C3)SC12', 'CCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(C)OC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)NC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2=C(C(C)O)C(=O)N21', 'CCC(CC)NC(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(=O)OCCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)COC(=O)C1=C(SC2CC[S+]([O-])C2)SC2=C(C(C)O)C(=O)N21', 'CCCC(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCCCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)OC(=O)C1=C(SC2CC[S+]([O-])C2)SC2=C(C(C)O)C(=O)N21', 'CCC(C)COC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(=O)OCCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2=C(C(C)O)C(=O)N21', 'CCNC(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12']","[-2.7049930096, -2.9494359493, -2.9785559177, -3.0021147728, -3.0452246666, -3.2009940147, -3.5065970421, -3.6140873432, -3.7826316357, -3.9382281303, -3.945073843, -3.9514710903, -3.9979054928, -4.3355522156, -4.3865475655, -4.4494915009, -4.5432872772, -4.6836485863, -4.9628601074]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'Nc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NC(=O)Nc2ccccc2)cc13', 'Nc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CCCc1ccccc1)CC3', 'c1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(CC2CC2)CC4)cc1', 'c1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(CC2CCC2)CC4)cc1', 'COc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCCCC1)CC3', 'COc1cccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)c1', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(Cc1ccccc1)CC3', 'Oc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(CC2CCC2)CC4)cc1', 'Oc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(CC2CC2)CC4)cc1', 'Oc1cccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(CC2CCC2)CC4)c1']","[-1.8615006208, -2.4026675224, -2.4895279408, -3.0292155743, -3.6522071362, -3.7309765816, -3.9961304665, -4.1617441177, -4.7830476761, -4.9158182144, -4.9234280586, -4.9293575287, -4.9758586884, -5.0601506233, -5.0713806152, -5.1668696404, -5.2682642937, -5.5587625504]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['COc1cccc(C2=NCC(=O)Nc3ccc(Cl)cc32)c1', 'COc1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'Cc1ccc(S(=O)(=O)N2CC(=O)Nc3ccc(Cl)cc32)cc1', 'COc1ccccc1-c1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2', 'COc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2', 'COc1ccccc1C1=NCC(=O)Nc2ccc(Cl)cc21', 'COc1cccc(-c2ccc3c(c2)C(c2ccccc2)=NCC(=O)N3)c1', 'COc1ccc(S(=O)(=O)N2CC(=O)Nc3ccc(Cl)cc32)cc1', 'Cc1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'CCOc1cccc(C2=NCC(=O)Nc3ccc(Cl)cc32)c1', 'O=C1CSC(c2ccccc2)=N1', 'CN1CCN(CCCSC2=NC(c3ccccc3)c3cc(Cl)ccc3N2)CC1', 'Cc1ccc(S(=O)(=O)N=C2CN=C(c3ccccc3)c3cc(Cl)ccc32)cc1', 'COC(=O)c1cccc(C2=NCC(=O)Nc3ccc(Cl)cc32)c1', 'O=C1CN=C(c2ccccc2OCc2ccccc2)c2cc(Cl)ccc2N1', 'COc1ccc(S(=O)(=O)N2CC(=O)CN=C2c2ccccc2)cc1', 'O=C1CN=C(c2ccc(Cl)cc2)c2cc(Cl)ccc2N1', 'COc1ccc(CCOC(=O)C2=NCC(=O)Nc3ccc(Cl)cc32)cc1Cl', 'COc1ccc(CCOC(=O)C2=NCC(=O)Nc3ccc(Cl)cc32)cc1']","[-2.5937581062, -3.1769695282, -3.5782001019, -3.5984051228, -3.6256577969, -3.7456967831, -3.7617547512, -3.9073729515, -4.2920484543, -4.4703702927, -4.7712669373, -5.3249206543, -5.6299772263, -5.6855158806, -5.7358117104, -5.7790083885, -5.7849197388, -6.2402462959, -6.5735945702]"
