index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)c1ccccc1)C2', 'CC[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C[N+]1(Cc2ccccc2)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2', 'CC(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(N)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(CN1CCCC1)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(CN1CCCCC1)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(CS)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)c1ccc(Br)cc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(CN1CCC(O)C1)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(CN1CCC(c3ccccc3)CC1)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)c1ccccc1Br)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CN1CCCCC1)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CN1CCCC1)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CN1CCC(c3ccccc3)CC1)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)NC(=O)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)NC(=O)C(N)Cc1ccccc1)C2']","[-1.6946915388, -4.2138428688, -4.28738451, -4.5727300644, -4.6523523331, -4.9110078812, -5.3591647148, -5.4824290276, -5.5811867714, -5.6057767868, -5.6847486496, -5.85141325, -5.8909630775, -6.062702179, -6.2691845894, -6.4060196877, -6.8536791801, -8.0280942917, -8.281047821]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCCCC1)CC3', 'COc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CCC1CCCCC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccccc2O)cc13', 'COc1cccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)c1', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccc(O)cc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccc(I)cc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccc(I)cc2)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CCCc1ccc(O)cc1)CC3', 'COc1ccc(CCCN2CCC34CCCCC3C2Cc2ccc(OC)cc24)cc1', 'COc1ccc(CC(=O)N2CCC34CCCCC3C2Cc2ccc(OC)cc24)cc1', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1C2CCC1C2(C)C)CC3']","[-2.3715527058, -3.5547206402, -3.7875344753, -3.8534173965, -3.8933026791, -3.922372818, -4.0295963287, -4.5531005859, -4.7824382782, -4.8453774452, -5.1597342491, -5.2038941383, -5.3369526863, -6.0722427368, -6.0779705048, -6.4061074257, -6.4293632507]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)N1CCN(c2ccccc2)CC1', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)N1CCN(c2ccncc2)CC1', 'O=C(Nc1ccccc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(Nc1ccc(O)cc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)N1CCN(c2ccc(F)cc2)CC1', 'O=C(Nc1ccc([N+](=O)[O-])cc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(Nc1ccc(N2CCOCC2)cc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)c1ccc(NC(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1', 'O=C(Nc1ccc(-c2cn[nH]c2)cc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(Nc1ccc(F)cc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'COc1ccc(NC(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1', 'NS(=O)(=O)c1ccc(NC(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1', 'O=C(Nc1ccc(Cl)cc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(Nc1ccc2c(c1)OCO2)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(Nc1ccc(-c2nnn[nH]2)cc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(Nc1ccc(N2CCCCC2)cc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(Nc1ccc(-c2ccccc2)cc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O']","[-4.5906486511, -4.6869072914, -4.7268285751, -4.8281292915, -4.8734579086, -4.9827895164, -5.2921962738, -5.4771137238, -5.5571551323, -5.6078653336, -5.6331548691, -5.6370792389, -5.689063549, -6.1185760498, -6.1936244965, -6.5844831467, -6.7567892075]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4ccccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCCCN5CCOCC5)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(N(C)C)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCc5ccccc5)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCCCN(C)C)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(N)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCCCCCCCCBr)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(-c5ccccc5OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCCCCCCCCCBr)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC(=O)CCCC(=O)O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(N5CCOCC5)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(-c5ccccc5)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(-c5ccc(OC)c(OC)c5)ccc4C3CCC21C']","[-1.5860245228, -3.3482298851, -4.5033621788, -4.5243425369, -4.9909124374, -5.0034365654, -5.0750646591, -5.112657547, -5.2295956612, -5.342851162, -5.7650446892, -5.7865185738, -5.9451379776, -5.9989395142]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['CNCCC(Oc1cccc2ccccc12)c1ccccc1', 'NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'NCC=C(F)COc1ccc(C(F)(F)F)cc1', 'O=C(COc1ccc(C(F)(F)F)cc1)c1ccc(Cl)nc1', 'CNCCC(Oc1cccc(Cl)c1Cl)c1ccccc1', 'CNCCC(Oc1ccccc1Cl)c1ccccc1', 'CNCCC(Oc1ccccc1C(F)(F)F)c1ccccc1', 'CNCCC(c1ccccc1)n1ccc2ccccc21', 'CNCCC(Oc1ccc(Cl)c(Cl)c1)c1ccccc1', 'FC(F)(F)c1ccc(OCCCN2CCN(c3ccccn3)CC2)cc1', 'CNCCC(Oc1cc(Cl)ccc1Cl)c1ccccc1', 'CNCCC(Oc1ccc(Cl)cc1Cl)c1ccccc1', 'FC(F)(F)c1ccc(OCCCN2CCN(c3ncccn3)CC2)cc1', 'FC(F)(F)c1ccc(OCc2ccc(-c3ccccc3)o2)cc1']","[-2.9599101543, -3.0596284866, -3.6730852127, -4.2538061142, -4.6079540253, -4.6184020042, -4.712266922, -5.0189871788, -5.0582456589, -5.1750516891, -5.2382669449, -5.2927641869, -5.9450039864, -6.239803791]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCCCCCOCCCP(=O)(O)OCC(CO)OC', 'CCCCCCCCCCCCCCCCOCCCP(=O)(O)OCC(N)CO', 'CCCCCCCCCCCCCCCCOCCCP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOCCCP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COc1ccc(-c2noc(=O)[nH]2)cc1', 'CCCCCCCCCCCCCCCCOCCCP(=O)(O)OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOCCCP(=O)(O)OCC(N)COP(=O)(O)O', 'CCCCCCCCCCCCCCCCOCCCP(=O)([O-])OCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCCOCCCP(=O)(O)OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOCCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOCCCP(=O)(O)OCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCCOCCCP(=O)(O)OCCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOCCCP(=O)(O)OCCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOCCCP(=O)(O)OCC(CO)NC', 'CCCCCCCCCCCCCCCCOCCCP(=O)(O)OCC(COP(=O)(O)O)OC', 'CCCCCCCCCCCCCCCCOCCCP(=O)(O)OCC(COP(=O)(O)S)OC']","[-2.4391276836, -3.224717617, -3.781342268, -4.0007152557, -4.0058555603, -4.3459825516, -4.3823814392, -4.38986063, -4.5387239456, -4.8663005829, -4.8966550827, -4.9620747566, -4.9833426476, -5.2221374512, -5.2383861542, -6.221657753]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCc5ccccc5)cc4CCC3C1CCC2O', 'CNC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'COc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC12CCC3c4ccc(OC(=O)N5CCCC5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCC(=O)O)cc4CCC3C1CCC2O', 'CN(C)C(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CN(C(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12)c1ccccc1', 'CC12CCC3c4ccc(OCCN5CCOCC5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)Nc5ccccc5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(N)=O)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC5OC(CO)C(O)C(O)C5O)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)NC5CC5)cc4CCC3C1CCC2O']","[-2.3600223064, -3.5867991447, -3.6157865524, -3.6617729664, -4.169406414, -4.3203253746, -4.424413681, -4.9979743958, -5.1017317772, -5.2295017242, -5.2329759598, -5.2614188194, -5.5779595375]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CCC(C)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'COC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)OCc3ccccc3)=C(SC3CC[S+]([O-])C3)SC12', 'CC(O)C1C(=O)N2C(C(=O)OCC(=O)O)=C(SC3CC[S+]([O-])C3)SC12', 'CCC(C)C(N)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12', 'CC(N)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCCCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)OC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)OCC(F)(F)F)=C(SC3CC[S+]([O-])C3)SC12', 'CC(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)OC3CCCC3)=C(SC3CC[S+]([O-])C3)SC12', 'CC(O)C1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(SC3CC[S+]([O-])C3)SC12', 'CCC(N)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(C)C(NC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12)C(=O)O']","[-3.037579298, -3.2686915398, -3.4304814339, -3.5330944061, -3.8406310081, -4.6821203232, -4.7459449768, -4.8350744247, -5.1052184105, -5.2043867111, -5.2095561028, -5.3589138985, -5.4027676582, -5.4795689583, -5.5810961723, -6.4496359825]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCCCC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccccc2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OCC(O)COc2ccccc2)cc13', 'O=C(Nc1ccc(I)cc1)N1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccccc1CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccc(O)cc2)cc13', 'COc1cccc(CN2CCC34CCCCC3C2Cc2ccc(O)cc24)c1', 'Oc1cccc(CN2CCC34CCCCC3C2Cc2ccc(O)cc24)c1', 'CN1CCC23CCCCC2C1Cc1ccccc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(Cc1ccccc1O)CC3', 'O=C(O)CCCCCCCCC(=O)N1CCC23CCCCC2C1Cc1ccc(O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CCC1CCCCC1)CC3', 'Oc1ccc(CN2CCC34CCCCC3C2Cc2ccc(O)cc24)cc1', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(Cc1ccccc1)CC3']","[-3.3078625202, -3.3539545536, -3.5469145775, -4.2358765602, -4.4583797455, -4.6312603951, -4.6456251144, -4.8882946968, -4.9551405907, -5.066280365, -5.0793132782, -5.1553478241, -5.1890740395, -5.2309131622, -5.2985553741, -5.4810285568, -5.4896826744, -5.772881031, -5.8159627914]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['COc1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C1CN=C(c2ccccc2O)c2cc(Cl)ccc2N1', 'O=C1CN=C(c2ccccc2OCc2ccccc2)c2cc(Cl)ccc2N1', 'O=C1CN=C(c2ccc(OCCCN3CCCCC3)cc2)c2cc(Cl)ccc2N1']","[-3.8000588417, -4.2740159035, -4.3578691483, -5.2474803925, -5.249443531]"
