index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']",['C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2'],[-5.0158853531]
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['COc1ccc2c(c1)C13CCCCC1C2CCN3C', 'COc1ccc2c(c1)C1CCN(C)C(C2)C2CCCCC12', 'COc1ccc2c(c1)C13CCCCC1N(C)C3C2', 'COc1ccc2c(c1)C13CCCCC1N(C)CCC3C2', 'COc1ccc2c(c1)C13CCCCC1N(C)CCC23']","[-5.8481240273, -6.4625806808, -6.8871660233, -7.0815477371, -7.113960743]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C(O)C1=NC(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'CC1=C(C(=O)O)N=C(c2ccccc2)c2cc(Cl)ccc2N1', 'O=C(O)C1=C(O)Nc2ccc(Cl)cc2C(c2ccccc2)=N1']","[-4.6940584183, -6.0623059273, -6.7922420502]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)C2CCc3cc(OC)ccc3C3CCC1(C)CCC32', 'C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21', 'C#CC1(C)CCC2C3CCc4cc(OC)ccc4C3CCC21', 'C#CC1(O)C2CCc3cc(OC)ccc3C3CCC1(C)CC32', 'C#CC1(O)CCC2CCc3cc(OC)ccc3C3CCC1(C)C23', 'C#CC1(O)CCC2C3CCC1(C)C2CCc1cc(OC)ccc13', 'C#CC1(O)CCC2CCC1(C)C1c3ccc(OC)cc3CCC21', 'C#CC12CCC3c4ccc(OC)cc4CCC(C3CC1)C2(C)C', 'C#CC1(O)CCC2CC1(C)CC1c3ccc(OC)cc3CCC21']","[-5.3007822037, -5.4278345108, -5.4450063705, -5.6729273796, -5.9051394463, -6.7668995857, -6.8489789963, -7.4124240875, -8.200173378]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']",[],[]
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCCCCCOCCCOCCCOC(=O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCCCOCCCOCCCOP(=O)(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCCCCOCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCCCCCOCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCCCOCCCOCCCOP(=O)(O)COC(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCCCOCCCOCCCOP(=O)(O)COC(=O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCCCCOCCCOP(=O)(O)OCC(CO)OCn1ccc(N)nc1=O']","[-8.0663299561, -8.3350734711, -8.4026823044, -8.8330192566, -8.8954658508, -9.1539125443, -9.2003393173, -9.2904272079, -9.4593725204]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC(=O)Oc1ccc2c(c1)CCC13CCC(O)C1(C)CCC23', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC12CCC(O)C2(C)C']","[-5.9096088409, -6.2030754089]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[N+]C2)SC2=C(C(C)O)C(=O)N21', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2=C(C(C)O)C(=O)N21', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]C2)SC2=C(C(C)O)C(=O)N21', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[N+]([O-])C2)SC2=C(C(C)O)C(=O)N21']","[-5.775911808, -5.9571757317, -6.1098351479, -6.9040117264]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC2c3cc(O)ccc3CC3(CCCC3)C21', 'CN1CCC23CCCCC12c1cc(O)ccc1C3', 'CN1CCC23CCCCC12Cc1ccc(O)cc13', 'Oc1ccc2c(c1)C1N(CC2)CCC12CCCC2']","[-5.5176501274, -5.8360614777, -5.9043278694, -7.0865221024]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']",[],[]
