index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['CC(C)[N+]1(C)C2CCC1CC(O)C2', 'C=C(CO)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(C=S(=O)(O)O)c1ccccc1)C2', 'C=C(Cc1ccccc1)C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(C=O)c1ccccc1)C2', 'C=C(C(=O)O)c1ccccc1', 'CC(CO)c1ccccc1', 'O=C(O)C(CO)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1C(O)C2', 'C=CC(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccc(O)cc1)C2', 'C=C(Cc1ccccc1)C(=O)O', 'CC(C)[N+]1(C)C2CCC1C(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(C(=O)O)c1ccccc1)C2', 'CC(C)[PH]1(C)C2CCC1CC(O)C2', 'C=C(C=O)c1ccccc1']","[-0.1733154356, -4.0043253899, -4.2902789116, -4.4078483582, -4.5768737793, -5.0965104103, -5.6510300636, -5.7368893623, -5.7887945175, -6.1997122765, -6.3087596893, -6.8584170341, -6.8956737518, -6.9424853325, -7.5442905426, -7.5908193588]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCc2ccc(O)cc2C12CCCCC2', 'COc1ccc2c(c1)C1(O)CCCCC1C2', 'COc1ccc2c(c1)C1CCCCC1C(O)CN2C', 'COc1cc2c(cc1O)C1CCCCC1C2', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3O', 'COc1ccc2c(c1)C13CCC(O)CC1C(C2)N(C)CC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'COc1ccc2c(c1)C13CCCCC1C(NCC3)C2O', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3O', 'CN1CCc2ccc(O)cc21', 'COc1ccc2c(c1)C13CCN(C)C(C2)C1CCC(O)C3', 'COc1cc2c(cc1O)CC1CCCCC1C2', 'COc1ccc2c(c1)C1CCCCC1C2']","[-0.9628924727, -2.3007771969, -2.547535181, -2.9413101673, -3.6152932644, -3.6398236752, -3.9509315491, -4.0892014503, -4.2863163948, -4.9507861137, -4.9609923363, -5.0077834129, -5.0550794601]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)CNC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'NC(CCC(=O)NC(CSCC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O)C(=O)NCC(=O)O)C(=O)O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)c(O)cc2NC1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N1', 'NC(CCC(=O)NC(CSC(C(=O)O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O)C(=O)NCC(=O)O)C(=O)O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)cc(O)c2NC1=O', 'O=C(O)CSC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O', 'O=C(O)C1=NC(c2ccc(O)cc2)=Nc2ccc(Cl)cc2N1', 'O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'NC(O)CCC(=O)NC(CSC(C(=O)O)C(=O)NC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O)C(=O)NCC(=O)O']","[-0.8078952432, -3.5881271362, -3.7132341862, -4.0218062401, -4.1411271095, -4.1711277962, -5.1166272163, -5.4821166992, -5.789390564, -5.9152436256, -6.0213165283, -6.2755947113, -6.3625297546, -6.4658179283, -6.540872097]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(O)c4O)C3CCC21C', 'C#CC1(O)CCC2C3C(O)Cc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)c(O)cc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(O)c4OC)C3CCC21C', 'C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CC(O)C2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(O)ccc4C3CCC21C', 'C#CC1(O)CC(O)C2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(OS(=O)(=O)O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)c(OC)cc4C3CCC21C', 'C#CC1(O)CC(O)C2C3CC(O)c4cc(OC)ccc4C3CCC21C']","[-1.003261447, -1.7325716019, -2.9417078495, -2.971436739, -3.1570832729, -3.8863992691, -3.9735736847, -4.4614009857, -4.4642543793, -4.5030713081, -4.676735878, -4.795589447, -5.2102618217, -5.8837170601]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(O)cc1', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(O)cc1)C1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)CC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'OCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNCCC(Oc1ccc(C(F)(F)F)c(O)c1)c1ccccc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1O)c1ccccc1', 'Oc1ccc(C(F)(F)F)cc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1cccc(O)c1', 'C[N+](C)([O-])CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'O=CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1O', 'C[N+]([O-])([O-])CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CN(C)CCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(O)cc1', 'CC(=O)NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNC(=O)CC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1']","[-1.281119585, -2.04961133, -2.2466957569, -2.3044819832, -2.4996926785, -2.5953421593, -3.1011037827, -3.2629883289, -3.9090297222, -4.005879879, -4.5592575073, -4.6062893867, -4.7198586464, -4.9284920692, -5.0632004738, -5.5483498573, -5.8622488976]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCCO', 'Nc1ccn(CC(O)COCCCOP(=O)(O)O)c(=O)n1', 'CCCCCCCCCCCCO', 'CCCCCCCCCCCCCCO', 'Nc1ccn(CC(CO)OCCCOP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(O)CO)c(=O)n1', 'CC(O)CCCCCCCCCCCO', 'CCCCCCCCCCCCOCCCO', 'CC(O)CCCCCCCCCCO', 'CCCCCCCCCCCO', 'CCCCCCCCCCCCCCCO', 'CC(O)CCCCCCCCCCOCCCOP(=O)(O)O', 'CC(O)CCCCCCCCCCCCO', 'CCCCCCCCCCCCCOCCCO', 'CC(O)CCCCCCCCCCOCCCO', 'CCCCCCCCCCCOCCCO', 'CC(O)CCCCCCCCCCCOCCCO', 'CCCCCCCCCCCCOCCCOP(=O)(O)O', 'CC(O)CCCCCCCCCOCCCO', 'CC(O)CCCCCCCCCOCCCOP(=O)(O)O']","[-1.8337670565, -1.8653188944, -1.9447710514, -2.5825636387, -2.6889533997, -2.8136901855, -3.2832465172, -3.6193215847, -3.6328201294, -3.7819375992, -3.8702106476, -4.1170172691, -4.1206254959, -4.1617355347, -4.1744699478, -4.596681118, -4.8158631325, -4.9133563042, -5.0161218643, -5.0304121971]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OS(=O)(=O)O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CC(O)C2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)CC12', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CCC12', 'CC(=O)Oc1ccc2c(c1)C(O)CC1C2CCC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CC(O)C12', 'CC(=O)Oc1cc2c(cc1O)C1CCC3(C)C(O)CCC3C1CC2', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CC(O)C12', 'CC12CCC3c4ccc(O)cc4CCC31CCC2O', 'CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)C(O)CC12', 'CC12CCC3c4ccc(O)cc4C(O)CC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CC(O)C1C2CCC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)C1CCC3(C)C(OC4OC(C(=O)O)C(O)C(O)C4O)CCC3C1C2']","[-1.0064879656, -1.8779430389, -1.9383729696, -2.1296243668, -3.4831800461, -3.7430431843, -3.8610961437, -3.8673753738, -4.4368810654, -4.5182309151, -5.0096902847, -5.2791614532, -5.6789126396, -5.6989183426, -5.9242329597, -5.968392849, -6.0063419342, -6.3172774315]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CCC(CC)C(=O)O', 'CCC(CC)C(=O)OCO', 'CCC(C(=O)O)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(C(=O)O)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12', 'CCC(C(=O)O)C(=O)O', 'CCC(C(=O)OCO)C(C)O', 'CCC(C(=O)O)C(C)O', 'CCC(CC)C(=O)OCOC(=O)C1=C(S)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12', 'CCC(O)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(C(=O)O)C(=O)OCO', 'CCC(C(=O)O)C(=O)OCOC(=O)C1=C(SC2CC[N+]([O-])([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[N+]([O-])([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(O)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12', 'CCC(C(=O)O)C(=O)OCOC(=O)C1=C(S)SC2C(C(C)O)C(=O)N12', 'CCC(O)C(=O)O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)=O)C(=O)N12', 'CCC(C(=O)O)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)CSC2C(C(C)O)C(=O)N12']","[-0.5194702744, -1.2840385437, -3.9381582737, -4.3385515213, -4.7908449173, -5.205786705, -5.5270881653, -5.5865736008, -5.6445040703, -5.6835041046, -5.6900081635, -6.0198917389, -6.3327579498, -6.3386926651, -6.342918396, -6.460454464, -6.471613884, -6.5451250076, -6.7851791382]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCC(O)CC2C1Cc1ccc(O)cc13', 'CN1CCC23CC(O)CCC2C1Cc1ccc(O)cc13', 'Oc1ccc2c(c1)C1CCCCC1CCN2', 'CN1CCC23CCCCC2C1Cc1cc(O)c(O)cc13', 'Oc1ccc2c(c1)C1CCCCC1C2', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(O)c13', 'CN1CCC23CCCCC2C1Cc1cc(OC2OC(C(=O)O)C(O)C(O)C2O)ccc13', 'CN1CCC23CCCCC2C1Cc1cc(OC2OC(C(=O)O)C(O)C(O)C2O)c(O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(OC2OC(C(=O)O)C(O)C(O)C2O)c13', 'C[N+]12CCCCC1C1Cc3ccc(O)cc3C1CC2', 'Oc1ccc2c(c1)C1CCCCC1CC2', 'C[N+]12CCNC3C1CCCC32', 'CN1CC[N+]2(C)C3CCCC2C1Cc1ccc(O)cc13', 'C[N+]1([O-])CCC23CCCCC2C1Cc1ccc(O)cc13', 'CN1CCC23CCCCC2C13', 'CN1CCC23CCCCC2C1C3', 'O=C(O)C1OC(Oc2ccc3c(c2)C2CCCCC2C3)C(O)C(O)C1O']","[-1.1345462799, -1.9512929916, -2.6392168999, -3.0572490692, -3.2456264496, -3.2788505554, -3.4247095585, -3.6733250618, -3.6972742081, -3.7540066242, -4.1893849373, -4.267100811, -4.4319849014, -4.5969614983, -4.6212558746, -4.6551146507, -4.9680418968, -5.0273575783, -5.3688368797]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C1CN=C(c2ccccc2)c2cc(Cl)cc(O)c2N1', 'O=C1CN=C(c2ccccc2)c2cc(Cl)c(O)cc2N1', 'O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O', 'O=C1Nc2ccc(Cl)cc2C(c2ccc(O)cc2)=NC1O', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'NC(CCC(=O)NC(CSC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O)C(=O)NCC(=O)O)C(=O)O', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1', 'O=C1Nc2c(O)cc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C(O)C1OC(ON2C(=O)CN=C(c3ccccc3)c3cc(Cl)ccc32)C(O)C(O)C1O', 'O=C1CN=C(c2ccc(OC3OC(C(=O)O)C(O)C(O)C3O)cc2)c2cc(Cl)ccc2N1', 'NC1=NCC(c2ccccc2)=NC1O', 'NC(CCC(=O)N1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21)C(=O)O', 'O=C1Nc2cc(O)c(Cl)cc2C(c2ccccc2)=NC1O', 'O=C(O)C1OC(n2c(=O)c(-c3ccccc3)nc3ccc(Cl)cc32)C(O)C(O)C1O']","[-1.0981872082, -1.3521054983, -2.6405539513, -2.9090995789, -3.2858986855, -3.7512817383, -3.7641682625, -4.0271763802, -4.0444569588, -4.1702041626, -4.7709403038, -4.8480901718, -5.4785475731, -5.5075654984, -5.6644854546, -5.6878399849]"
