index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['O=C(O)C(CO)c1ccccc1', 'CC(C)[N+](C)([O-])C1CC2CC(OC(=O)C(CO)c3ccccc3)CC(C1)[N+]2(C)C', 'CC(C)[N+]1(C)C2CCC1CC(O)(O)C2', 'CC(C)[N+]12CCC(CC1O)C2', 'CC(C)[N+](C)([O-])C12CCC(CC(OC(=O)C(CO)c3ccccc3)C1)[N+]2(C)C', 'CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]12CC(O)CC1CC(O)C2', 'CC(CO)(C(=O)OC1CC2CCC(C1)[N+]2(C)[O-])c1ccccc1', 'CC(C)[N+]1([O-])C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(O)(OC(=O)C(CO)c1ccccc1)C2', 'C[N+]1([O-])C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(O)C2', 'CN1C2CCC1CC(O)C2', 'C=C(Cc1ccccc1)C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C', 'C=C(Cc1ccccc1)C(=O)O']","[-1.996181488, -2.5826842785, -2.9704110622, -3.4005725384, -4.2107534409, -6.3760404587]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['COc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'COc1cc2c(cc1O)CC1C3CCCCC23CCN1C', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C(=O)OC1OC(C(=O)O)C(O)C(O)C1O)CC3', 'CN1CCC23CCCCC1C2Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'CN1CCC23CCCCC2C(Cc2ccc(O)cc23)C1', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3O', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C(=O)C1OC(O)C(O)C(O)C1O)CC3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)NC(O)C3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3OC1OC(C(=O)O)C(O)C(O)C1O', 'CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'CN1CCC23c4c5ccc(O)c4OC2CCCCC3C1C5', 'CN1CCC23CCCCC4C1Cc1ccc(O)c(c12)CC43', 'COc1ccc2c(c1)C13CCC(O)CC1C(C2)N(C)CC3']","[-6.2926163673, -6.6965003014, -6.9049391747, -7.3032841682]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O', 'Nc1ccc(C2=NC(C(=O)O)C(=O)Nc3ccc(Cl)cc32)cc1', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1C=Nc2ccc(Cl)cc2C(c2ccccc2)=N1', 'O=C(O)C1=Nc2ccc(Cl)cc2C(c2ccc(O)cc2)=NC1C(=O)O', 'O=C(O)C1N=C(c2cccc(O)c2)c2cc(Cl)ccc2NC1=O', 'O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)c1nc(-c2ccc(O)cc2)nc2ccc(Cl)cc12', 'O=C(O)c1nc(-c2ccccc2)nc2ccc(Cl)cc12', 'O=C(O)C1=NC(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)c1c(-c2ccc(O)cc2)c2cc(Cl)ccc2[nH]c1=O', 'O=C(O)C1=NC(c2ccccc2)(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)c1c(-c2ccccc2)c2cc(Cl)ccc2[nH]c1=O', 'O=C(O)C1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)OC1OC(C(=O)O)C(O)C(O)C1O']","[-1.1250581741, -4.2267813683, -4.2338571548, -5.3801512718, -5.4012274742]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OS(=O)(=O)O)ccc4C3CCC21C', 'C#CC1(OS(=O)(=O)O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(O)c4O)C3CCC21C', 'CC#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC5OC(C(=O)O)C(O)C(O)C5O)ccc4C3CCC21C', 'C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCc4cc(OC)ccc4C3C(=O)CC21C', 'C#CC1(O)CCC2C3CCc4cc(O)c(O)cc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(O)cc5CCC4C3CCC21C', 'COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(C)OC1OC(C(=O)O)C(O)C(O)C1O']","[-1.0625596046, -2.2076573372, -4.6458406448, -7.5514373779]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['Oc1ccc(C(F)(F)F)cc1', 'NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1cccc(O)c1', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'OCNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1O)c1ccccc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(O)cc1', 'O=C(O)CC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'OCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1']","[-0.6429421306, -5.6252384186]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCCOP(=O)(O)OCCCn1ccc(N)nc1=O', 'CC(O)CCCCCCCCCCCCCOP(=O)(O)O', 'CCCCCCCCCCCCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCOP(=O)(O)COP(=O)(O)OCC(CO)Cn1ccc(N)nc1=O', 'CC(O)CCCCCCCCCCCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCOP(=O)(O)CO', 'CCCCCCCCCCOCCCOP(=O)(O)OCC(Cn1ccc(N)nc1=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'CCCCCCCCCCOCCCOP(=O)(O)OCC(N)Cn1ccc(N)nc1=O', 'CC(O)CCCCCCCCCCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCOP(=O)(O)OCCCO', 'CCCCCCCCCCCCCCOP(=O)(O)OCCCn1ccc(N)nc1=O', 'CCCCCCCCCCCCCCOP(=O)(O)OCCCn1ccc(=O)[nH]c1=O', 'CCCCCCCCCCCOP(=O)(O)COP(=O)(O)CO', 'CCCCCCCCCCCOCCCOP(=O)(O)OCC(N)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'CC(O)CCCCCCCCCCCCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'CC(O)CCCCCCCCCCCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCOP(=O)(O)COP(=O)(O)CO', 'CCCCCCCCCCCOCCCOP(=O)(O)OCC(Cn1ccc(N)nc1=O)OC1OC(C(=O)O)C(O)C(O)C1O']","[-3.4179215431, -3.5418572426, -3.8269066811, -4.1495966911, -4.2534613609, -4.257589817, -4.4231305122, -4.6035060883, -4.6387214661, -4.6488132477, -4.6559491158, -4.6840090752, -4.7076377869, -5.0418848991, -5.3587632179, -5.3804812431, -5.4847726822]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC1(O)C(O)CCC2(C)C3CCc4cc(O)ccc4C3CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1CC3(C)C(O)CCC1C23', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC12CCC3c4ccc(O)cc4CCC3C1C(O)CC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)CC(O)CCC12', 'CC12CCC(O)C1CCC1c3ccc(O)cc3CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(C)O', 'CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(O)cc4CC(O)C3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)CC12', 'CC12CCC3c4ccc(O)cc4C(O)CC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C(=O)CO']","[-0.5846111178, -7.7026968002]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)C2SC(C(C)OC3OC(C(=O)O)C(O)C(O)C3O)C(=O)N2C1=O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)C2SC(C(C)O)C(=O)N2C1=O', 'CC(O)C1SC2SC(SC3CC[S+]([O-])C3)=C(C(=O)O)N2C1=O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)CSC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C2SC(C(C(=O)O)C(C)O)N1C2=O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)C)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12', 'CCC(CC)C(=O)OCO', 'CC(O)C(C(=O)O)C1SC(SC2CC[S+]([O-])C2)C(C(=O)OCO)N1C(=O)O', 'CCC(CC)C(=O)OCOC(=O)C1C(SC2CC[S+]([O-])C2)SC(C(C(=O)O)C(C)O)N1C(=O)O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(O)C(=O)N12', 'CCC(CC)C(=O)O', 'CCC(C)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)CSC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C(C(=O)O)C1SC(SC2CC[S+]([O-])C2)C(C(=O)O)N1C(=O)O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)CSC2C(C(C)OC3OC(C(=O)O)C(O)C(O)C3O)C(=O)N12']","[-2.0834028721, -2.8062121868, -3.055131197, -3.2126743793, -3.7807817459, -4.0290117264, -4.1429944038, -4.3564953804, -4.71052742, -4.835258007, -4.8573465347, -4.8684663773, -4.8988695145, -4.9124984741, -5.1229896545, -5.4387364388, -5.4769148827, -5.5856523514, -5.8054237366]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['COc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC4C1Cc1ccc(OS(=O)(=O)O)c(c12)CC43', 'CN1CCC23CCN(C)C2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1cc(OS(=O)(=O)O)ccc13', 'CN1CCC23c4c5ccc(OS(=O)(=O)O)c4OC2C(O)CCC3C1C5', 'CN1CCC23CCCCC1C2Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'C[N+]12CCCCC1C1Cc3ccc(OS(=O)(=O)O)cc3C1CC2', 'CN1CCN(C)C2Cc3ccc(OC4OC(C(=O)O)C(O)C(O)C4O)cc3C3(CCCCC23)CC1', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'C[N+]1([O-])CCC23CCCCC21Cc1ccc(O)cc13', 'CN1CCC23CCC(O)CC2C1Cc1ccc(O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCNC(Cc4ccc(O)cc42)C3C1', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(O)c13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3C1C5', 'C[N+]1([O-])CCC23CCCCC2C1Cc1ccc(O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13']","[-0.7528572083, -4.8224172592, -6.5130763054, -6.7451572418]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['CC(=O)Nc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2', 'O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=c1nc(-c2ccc(O)cc2)c2cc(Cl)ccc2[nH]1', 'O=C(O)C1OC(N2C(=O)CN=C(c3ccccc3)c3cc(Cl)ccc32)C(O)C(O)C1O', 'O=C1CN=C(c2ccccc2)c2cc(Cl)cc(O)c2N1', 'CC(=O)Nc1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'O=C1CN(C2OC(C(=O)O)C(O)C(O)C2O)N=C(c2ccccc2)c2cc(Cl)ccc2N1', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1', 'O=c1nc(-c2ccccc2)c2cc(Cl)ccc2[nH]1', 'Nc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2', 'O=C1CN=C(c2ccccc2O)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(N2CC(c3ccccc3)=NCC2=O)C(O)C(O)C1O', 'O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(N2CC(c3ccccc3)=Nc3ccc(Cl)cc3C2=O)C(O)C(O)C1O', 'O=C1CN=C(c2cccc(O)c2)c2cc(Cl)ccc2N1']","[-1.5652573109, -2.5628397465, -2.5963258743, -2.9057130814, -3.3783969879, -3.5317595005, -3.8624587059, -4.9112977982]"
