index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['CC(C)[N+]1(C)C2CCC1CC(O)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(COC1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1)C2', 'O=C(O)C(CO)c1ccccc1', 'C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(C=O)c1ccccc1)C2', 'C[N+]1([O-])C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+](C)(C)C1CC2CCC(C1)N2', 'CC(C)[N+]1([O-])C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccc(O)cc1)C2', 'CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+](C)(C)C1CC2CCC(C1)[N+]2(C)[O-]', 'CC(C)[N+]12CCC(CC1)C(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(COS(=O)(=O)O)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)(CO)c1ccccc1)C2', 'CC1C(OC(=O)C(CO)c2ccccc2)CC2CCC1[N+]2(C)C']","[-0.6273981929, -4.5489788055, -5.0295743942, -5.4371657372, -5.5342640877, -5.5849690437, -5.5932002068, -5.7021560669, -5.7151675224, -5.9913702011, -6.2026185989, -6.2606606483, -6.8727459908, -7.0575914383, -7.1715450287]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCN(C)C2Cc3ccc(O)cc3C3(CCCCC23)CC1', 'CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCCCC2C3Cc4ccc(O)cc4C2(CC1)CCN3C', 'CN1CCC23CCN(C)C(Cc4ccc(O)cc42)C3C1', 'COc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1', 'COc1ccc2c(c1)C13CCC(O)CC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1cc(O)c(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1OC(O)C(O)C(O)C1O)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'CN1CCN(C)C2Cc3ccc(OC4OC(C(=O)O)C(O)C(O)C4O)cc3C3(CCCCC23)CC1', 'COc1cc(O)c2c(c1)C13CCCCC1C(C2)N(C)CC3']","[-1.191032052, -1.9524435997, -2.5072259903, -3.7138471603, -4.4274630547, -4.8954439163, -5.2577624321, -5.401266098, -5.405500412, -5.6592564583, -5.7237405777, -6.1915359497, -6.4751472473]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O', 'O=C(O)C1N=C(c2cccc(O)c2)c2cc(Cl)ccc2NC1=O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)c(O)cc2NC1=O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C(O)c1nc(-c2ccc(O)cc2)nc2ccc(Cl)cc12', 'O=C(O)C1=NC(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)c1nc(-c2ccccc2)nc2ccc(Cl)cc12', 'O=C(O)C1=NC(c2ccccc2)(c2ccc(O)cc2)C(=O)Nc2ccc(Cl)cc21', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'Nc1ccc(C2=NC(C(=O)O)C(=O)Nc3ccc(Cl)cc32)cc1', 'Nc1ccc(C(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1', 'O=C(O)C1=NC(c2ccc(O)cc2)=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)cc(O)c2NC1=O', 'Nc1ccc2c(c1)C(c1ccccc1)=NC(C(=O)O)C(=O)N2', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1CO', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O']","[-1.243461132, -2.9367237091, -4.0053915977, -4.0412855148, -4.1622710228, -4.2931694984, -4.4259839058, -4.5018696785, -4.6158938408, -4.8385562897, -4.8652091026, -4.9765763283, -5.2715554237, -5.3856906891, -5.3990454674, -5.4536428452, -5.6116533279, -5.7075405121]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC5OC(C(=O)O)C(O)C(O)C5O)ccc4C3CCC21C', 'C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3C(O)Cc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(O)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(O)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CC(O)C2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OS(=O)(=O)O)ccc4C3CCC21C', 'C#CC1(OS(=O)(=O)O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5cc(O)c(OC)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC)c(O)cc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4ccc(O)cc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(O)c4O)C3CCC21C', 'C#CC1(O)CCC2C3C(CCc4cc(OC)ccc4C3O)CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)c(OC)cc4C3CCC21C']","[-0.2279210985, -2.4281587601, -3.8223137856, -4.1202726364, -4.6614990234, -4.7722835541, -4.8403038979, -4.901389122, -5.0810031891, -5.4053549767, -5.4903812408, -5.6951365471, -6.1707382202, -7.1148028374, -7.1340503693, -7.1409211159, -7.1489477158]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(O)cc1', 'NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'OCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1cccc(O)c1', 'Oc1ccc(C(F)(F)F)cc1', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)N=O', 'O=C(O)CC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'C[N+](C)([O-])CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)N1C(=O)C=CC1=O', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(C(=O)O)cc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(OS(=O)(=O)O)cc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1O)c1ccccc1', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)N1C(=O)C(=O)c2ccccc21']","[-1.0008295774, -1.589928031, -2.9202270508, -3.3271386623, -4.2390532494, -4.5901021957, -4.690738678, -5.3881211281, -5.4875092506, -5.7558717728, -5.8792977333, -5.9321675301, -6.2716908455, -6.6871986389, -8.0227966309]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['Nc1ccn(CC(CO)OCCCOP(=O)(O)OCCCO)c(=O)n1', 'CCCCCCCCCCCCCOP(=O)(O)OCCCO', 'Nc1ccn(CC(CO)OCCCOP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)OCCCO)c(=O)n1', 'CCCCCCCCCCCCCCOP(=O)(O)OCCCO', 'Nc1ccn(CC(O)COP(=O)(O)O)c(=O)n1', 'CCCCCCCCCCCCCO', 'Nc1ccn(CC(CO)OCCCO)c(=O)n1', 'CCCCCCCCCCCCOP(=O)(O)OCCCO', 'CCCCCCCCCCCCCOCCCOP(=O)(O)OCC(CO)OC1OC(C(=O)O)C(O)C(O)C1O', 'Nc1ccn(CC(CO)OCCCOP(=O)(O)OCCCOCCCCCCCCCCO)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCCCOCCCO', 'CCCCCCCCCCCCOCCCOP(=O)(O)OCC(CO)OC1OC(C(=O)O)C(O)C(O)C1O', 'Nc1ccn(CC(CO)OCCCOP(=O)(O)OCCCOCCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCCO', 'CCCCCCCCCCCCCOCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCOCCCOP(=O)(O)OCC(O)CO', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCCOCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O']","[-2.7783522606, -2.9326117039, -3.0106482506, -3.2204148769, -3.4729013443, -3.6206240654, -3.6538507938, -3.6939907074, -3.7773582935, -3.8553218842, -3.9189989567, -4.036696434, -4.1846027374, -4.204744339, -4.2885131836, -4.2906718254, -4.3898625374, -4.5187168121, -4.6698379517, -4.8647508621]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)CC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CC(O)C12', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OS(=O)(=O)O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C1CC(O)C2OC1OC(C(=O)O)C(O)C(O)C1O', 'CC12CCC3c4ccc(O)cc4CC(O)C3C1CCC2O', 'CC12CCC3c4ccc(O)cc4C(O)CC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(O)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CC(O)C2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)C(O)CC1C2CCC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CC(OC3OC(C(=O)O)C(O)C(O)C3O)C12', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC(O)C2O', 'CC12CCC3c4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)cc4CCC3C1CCC2O', 'CC(=O)O']","[-0.6853653789, -1.1464921236, -3.7115051746, -4.0034351349, -4.0297679901, -4.1347980499, -4.232919693, -4.6411337852, -4.9139046669, -4.9806141853, -5.0902886391, -5.4080486298, -5.441429615, -5.8872842789, -5.9483652115, -6.333360672, -6.4064226151, -6.4194030762, -6.6422157288]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)CSC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(O)C(=O)N12', 'COC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)CSC2C(C(C)O)C(O)C(=O)N12', 'CCC(CC)C(=O)O', 'CCC(CC)C(=O)OCOC(=O)C1=C([S+]([O-])C2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12', 'CCC(CC)C(=O)OCOC(=O)C1=C(S)CC(SC2CC[S+]([O-])C2)N1C(=O)C(C)O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)OC3OC(C(=O)O)C(O)C(O)C3O)C(=O)N12']","[-2.9496695995, -2.9725451469, -3.5008723736, -4.2852292061, -4.6100177765, -4.8880376816, -4.9462752342, -5.3962078094, -5.45936203, -5.5470347404]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(O)c13', 'CN1CCC23CCCCC2C1Cc1cc(O)c(O)cc13', 'CN1CCC23CCCCC2C1Cc1cc(OC2OC(C(=O)O)C(O)C(O)C2O)c(O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'CN1CCC23c4cc(O)ccc4CC1C2CCCC3O', 'CN1CCC23CCCCC2c2cc(OC4OC(C(=O)O)C(O)C(O)C4O)ccc2CC1C3', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(OC2OC(C(=O)O)C(O)C(O)C2O)c13', 'CN1CCC23CCCCC2C1Cc1cc(OS(=O)(=O)O)c(O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13']","[-1.0905128717, -1.3383498192, -2.2731685638, -3.5758814812, -3.9370150566, -5.1999821663, -5.2436885834, -5.3814439774, -5.4498972893, -5.9223837852, -6.1066017151, -6.2108840942]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1', 'O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2NC(OC2OC(C(=O)O)C(O)C(O)C2O)N1', 'O=C1CN=C(c2ccccc2)c2cc(Cl)cc(O)c2N1', 'O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2NC1OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O', 'O=C1CN=C(c2cccc(O)c2)c2cc(Cl)ccc2N1', 'O=C1CN=C(c2ccccc2)c2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc2N1', 'Nc1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'O=C(O)C1OC(OC2Nc3ccc(Cl)cc3C(c3ccccc3)=NCC2O)C(O)C(O)C1O', 'O=C(O)C1OC(ON2C(=O)CN=C(c3ccccc3)c3cc(Cl)ccc32)C(O)C(O)C1O', 'O=C1CN=C(c2ccc(OC3OC(C(=O)O)C(O)C(O)C3O)cc2)c2cc(Cl)ccc2N1', 'CC(=O)Nc1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'Nc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2', 'O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N(OC2OC(C(=O)O)C(O)C(O)C2O)N1']","[-0.6291639209, -3.2330365181, -3.5170714855, -3.5793306828, -3.8588433266, -3.9218702316, -4.4149808884, -4.5782370567, -5.2590084076, -5.2689714432, -5.3677434921, -5.8855366707, -5.9511880875, -6.1663537025, -6.2154202461, -6.6397075653]"
