index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['C[N+]1(C)C2CCC1CC(O)C2', 'C[N+]1(C)C2CC(O)CC1CC(O)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1C2CCC1CC(O)C2', 'CC(C)N1C2CCC1CC(O)C2', 'CN1C2CCC1CC(O)C2', 'C[N+]1(C)C2CC(O)CC1CC(OC(=O)C(CO)c1ccccc1)C2', 'O=C(O)C(CO)c1ccccc1', 'C[N+]1(C)CCC2CC(O)CC1CC2O', 'CN1C2CC(O)CC1CC(O)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(C=O)c1ccccc1)C2']","[-1.6267471313, -2.5984301567, -3.0708627701, -3.7888305187, -3.9645111561, -4.365755558, -4.916217804, -5.2561426163, -5.285943985, -5.3282723427, -5.477183342]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['COc1ccc2c(c1)C13CCN(C)C(Cc4ccc(OC)c(O)c41)C3CC2', 'COc1ccc2c(c1)C13CCCC1C(C2)N(C)CC3', 'COc1ccc2c(c1)C13CCN(C)C(C1)C3CC2', 'CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCN(C)C(C1)C3C(O)C2', 'COc1ccc2c(c1)C13CCN(C)C(C2)C1CCC3O', 'COc1ccc2c(c1)C13C=CCC1C(C2)N(C)CC3', 'COc1ccc2c(c1)C13CCN(C)C(C2)C1CC(O)C3', 'COc1ccc2c(c1)C13CCN(C)C(C1)C3C=C2', 'CN1CCC23CCN(C)C(Cc4ccc(O)cc42)C3C1', 'COC1=CC23CCN(C)C(Cc4ccc(OC)c(O)c42)C3CC1O', 'COc1ccc2c(c1)C13CCN(C)C(C2)C1CCC3=O', 'CN1CCC23CC1C2CCc1ccc(O)cc13', 'COc1c(O)ccc2c1C13CCCCC1C(C2)N(C)CC3', 'COc1ccc2c(c1)C13CCN(C)C(Cc4ccc(OC)c(O)c41)C3=CC2', 'COC1=CC23CCN(C)C(Cc4ccc(OC)cc42)C3CC1O', 'COc1ccc2c(c1)C13CCN(C)C(Cc4ccc(OC)c(O)c41)C3C(O)C2']","[-3.5326199532, -3.7168974876, -3.8842771053, -4.3370170593, -4.8298540115, -5.0326223373, -5.1720042229, -5.1751594543, -5.246213913, -5.3602862358, -5.4011688232, -5.4635763168, -5.5601553917, -5.6039528847, -5.7371740341, -5.7765603065, -6.0326352119]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C(O)C1(O)N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)CC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=c1nc(-c2ccccc2)c2cc(Cl)ccc2[nH]1', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O', 'O=C(O)CC1N=C(c2ccccc2)c2cc(O)c(O)cc2NC1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(O)c(O)cc2NC1=O', 'O=C(O)C1(O)N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1(O)O', 'O=C1Nc2ccc(Cl)cc2C1(O)c1ccccc1', 'O=C(O)C=C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(O)c(O)cc2N1', 'O=C(O)C1=Nc2cc(Cl)ccc2NC1c1ccccc1', 'O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1', 'CC1(O)N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)c1nc2cc(Cl)ccc2[nH]c1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(O)c(O)cc2NC1O', 'O=C(O)C1CNC2=Nc3cc(Cl)ccc3C(c3ccccc3)=NC2(O)N1']","[-2.1819264889, -2.5450005531, -2.7617092133, -3.2008461952, -4.6410384178, -4.6416196823, -4.6974916458, -4.7166848183, -4.8870840073, -4.9341697693, -5.1733651161, -5.1911306381, -5.4572143555, -5.6517658234, -5.790248394, -5.9119548798, -5.9442782402, -7.1161413193]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CCc4cc(OS(=O)(=O)O)c(O)cc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(OS(=O)(=O)O)c4O)C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OS(=O)(=O)O)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(OS(=O)(=O)O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C', 'C#CC1(O)C(O)CC2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(OC)c4O)C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(O)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4c(ccc(OC)c4O)C3CCC21C', 'C#CC1(O)CCC2C3CC(=O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC=C4CC(O)CCC4(C)C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(OC)c(O)cc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(OS(=O)(=O)O)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(OS(=O)(=O)O)c(O)cc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCC4=CC(=O)CCC4(C)C3CCC21C']","[-2.4880230427, -2.8447635174, -2.9372019768, -3.4558968544, -3.6914594173, -4.1837697029, -4.2994771004, -4.301861763, -4.5397143364, -5.0065412521, -5.0248618126, -5.0501966476, -5.1326398849, -5.2966761589, -5.3603315353, -5.4536566734, -5.541323185, -5.8175396919]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['CNCCC(O)c1ccccc1', 'NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CC(=O)NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'OCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNCCC(Oc1ccc(O)c(C(F)(F)F)c1)c1ccccc1', 'O=CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1']","[-1.3888596296, -3.8074910641, -3.8850300312, -4.1127448082, -4.5725769997, -4.6806907654]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCCCOP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O', 'CCCCCCCCCCCCCCCOP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O', 'CCCCCCCCCCCCCOP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O', 'CCCCCCCCCCCCCCCOP(=O)(O)OCC(O)CO', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCC(O)CO', 'CCCCCCCCCCCCCCCCOCC(O)COP(=O)(O)O', 'Nc1ccn(CC(O)COP(=O)(O)O)c(=O)n1', 'CCCCCCCCCCCCCCCOCC(O)COP(=O)(O)O', 'CCCCCCCCCCCCCCCCOP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCC[CH]O', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCCCOCC(O)COP(=O)(O)O', 'CCCCCCCCCCCCCCCOP(=O)(O)OCC(CO)OC(C)=O', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCC(CO)OC(C)=O', 'Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)OCCCO)C(O)C2O)c(=O)n1', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCCCCC', 'CCCCCCCCCCCCCCOP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)CC1O', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCCCCCC']","[-2.8386721611, -3.4108538628, -3.4567725658, -3.7403056622, -3.742559433, -3.8771922588, -3.9294044971, -4.0889582634, -4.5836968422, -4.6531467438, -4.9986319542, -5.1290020943, -5.1692695618, -5.1749243736, -5.1955676079, -5.2400798798, -5.6168670654, -5.7486429214, -5.7548727989]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O', 'CC(=O)O', 'CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O']","[-1.1129555702, -2.9174144268, -3.6077075005, -4.0518870354]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CCC(CC)C(=O)O', 'CCC(CC)C(=O)OCOP(=O)(O)O', 'CCC(CC)C(=O)OCOP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O', 'CCC(C)C(=O)O', 'CCC(CC)C(=O)OCOP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O', 'CCC(CC)C(=O)OCOC(=O)CCCCC1SCC2NC(=O)NC21', 'CCC(CC)C(=O)OCOP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O', 'CCC(CC)C(=O)OCO', 'CCC(CC)C(=O)OCOC(=O)C1=C(S)CC2C1OC(=O)C2C(C)O', 'CCC(C)C(=O)OCOP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O', 'CCC(CC)C(=O)OCOC(=O)CCCCC1SCC2NC(=O)C(C(C)O)N21']","[-1.9968985319, -2.7927145958, -3.629222393, -3.9394714832, -4.0939979553, -4.1311841011, -4.5012588501, -4.6837658882, -5.4099884033, -5.4249849319, -5.4428167343]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(O)c(O)c13', 'CN1CCC23CC1C2CCc1cc(O)c(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCN(C)C(Cc4ccc(O)cc42)C3C1', 'COc1c(O)ccc2c1C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CC1C2CCc1ccc(O)cc13', 'CN1CCC23CCN(C)C(Cc4cc(O)c(O)cc42)C3C1', 'COc1ccc2c(c1)C13CCN(C)C(Cc4ccc(O)cc41)C3CC2', 'COc1cc2c(cc1O)C13CCN(C)CC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)c(O)c13', 'CN1CCC23CCN(C)C(Cc4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)cc42)C3C1', 'CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)c(O)c13', 'CN1CCC23C(=CC(=O)O)C(Cc4ccc(O)cc42)C3C1']","[-2.2228753567, -4.3653287888, -4.4239449501, -4.4309883118, -4.8929152489, -5.0546402931, -5.3529672623, -5.435874939, -5.6857466698, -5.8150019646, -5.8223786354, -6.0350408554, -6.071390152, -6.1620774269]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['O=c1nc(-c2ccccc2)c2cc(Cl)ccc2[nH]1', 'OC1CN=C(c2ccccc2)c2cc(Cl)ccc2N1', 'OC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O', 'O=C1CN=C(c2ccccc2)c2cc(O)ccc2N1', 'O=C1NCC(c2ccccc2)c2cc(Cl)ccc21', 'O=C1Nc2ccc(Cl)cc2C(O)(c2ccccc2)N1', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)C1O', 'O=C1CN=C(c2ccccc2)c2cc(Cl)c(O)cc2N1', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O']","[-1.2842650414, -3.747386694, -4.050280571, -4.3694076538, -4.5143957138, -4.5716934204, -4.9559431076, -4.9796209335, -5.2266168594]"
