index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['CC(C)[N+]1(C)C2CCC1CC(O)C2', 'C=C(Cc1ccccc1)C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(C=O)c1ccccc1)C2', 'CC(C)[N+]12CCC1CC(O)C2', 'CN1C2CCC1CC(O)C2', 'CC(C)[N+]12CCC(O)CC1CC2', 'CC(CO)C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C', 'CC(C)[N+]12CCC1CC(OC(=O)C(C=O)c1ccccc1)C2', 'CN1C2CCC1CC(OC(=O)C(C=O)c1ccccc1)C2', 'CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C[N+]1([O-])C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]12CCC(CC(O)C1)C2', 'C=C(Cc1ccccc1)C(=O)OC1CC2CCC(C1)N2C(C)C', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2']","[-1.6378691196, -3.236168623, -3.7783267498, -3.9874689579, -4.0115890503, -4.3070297241, -4.5779190063, -4.6803016663, -5.294406414, -5.3409752846, -5.3625512123, -5.3755335808, -5.9874773026, -6.0392513275]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['COc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'CN1CCC23c4cc(O)ccc4CC2N(C)CCC3C1C1CCCC1', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3O', 'COc1ccc2c(c1)C13CCC(O)CC1C(C2)N(C)CC3', 'CN1CCC23c4cc(O)ccc4CC2N(C)CCC3C1', 'CC1C2CCN(C)C3Cc4ccc(O)cc4C23CCN1C', 'CN1CCN(C)C2Cc3ccc(O)cc3C3(CCCCC23)CC1']","[-1.6697583199, -2.2189881802, -5.1579589844, -5.167757988, -5.2361006737, -5.2799682617, -5.872736454, -5.9894547462]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)cc(O)c2N=C1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1(O)CO', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N(O)C1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)cc(O)c2NC1=O', 'O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)c(O)cc2N=C1O', 'O=C(O)C1(O)N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N(C2OC(C(=O)O)C(O)C(O)C2O)C1=O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)C1OC(OC(=O)C2(O)N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)C(O)C(O)C1O']","[-1.5310356617, -2.370290041, -4.0085515976, -4.2280583382, -4.2302694321, -4.2372546196, -4.3524861336, -4.5728135109, -4.6018500328, -4.9437441826, -4.9671578407, -5.1689810753, -5.5118408203, -5.5369648933, -6.1185235977]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(OS(=O)(=O)O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC5OC(C(=O)O)C(O)C(O)C5O)ccc4C3CCC21C', 'C#CC1(O)CC(O)C2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC)c(O)cc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(OC)c4O)C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(O)cc5CCC4C3CCC21C']","[-1.4175026417, -1.5139245987, -3.816534996, -4.3342218399, -4.3548088074, -4.4513754845, -4.7655830383, -5.0989189148, -5.9481239319, -6.2801952362, -6.3654303551]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(O)cc1', 'Oc1ccc(C(F)(F)F)cc1', 'O=C(O)C1OC(ONCCC(Oc2ccc(C(F)(F)F)cc2)c2ccccc2)C(O)C(O)C1O', 'O=C(O)C1OC(NCCC(Oc2ccc(C(F)(F)F)cc2)c2ccccc2)C(O)C(O)C1O', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)OC1OC(C(=O)O)C(O)C(O)C1O']","[-2.0391016006, -2.5254867077, -2.6425366402, -2.8411316872, -3.2100260258, -4.4022145271, -4.6323237419]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['Nc1ccn(CC(O)COP(=O)(O)O)c(=O)n1', 'CCCCCCCCCCCCCCOCCCO', 'Nc1ccn(CC(O)COP(=O)(O)OCCCO)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCCCO)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCCCCOP(=O)(O)OCC(O)CO', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCCCCO', 'CCCCCCCCCCCCCOCCCO', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCCCCCOP(=O)(O)OCC(O)CO', 'CCCCCCCCCCCCCCOCCCOP(=O)(O)OCC(O)CO', 'CC(O)CCCCCCCCCCCCOCCCOP(=O)(O)OCC(CO)OC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCCOCCCOP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCCCC', 'CCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCCCOCCCCCCCCCCCCC(C)O']","[-3.3710095882, -3.8374576569, -3.8594834805, -3.9948620796, -4.1369557381, -4.3162970543, -4.3549213409, -4.3736400604, -4.4252147675, -4.4962210655, -4.5401334763, -4.7582063675, -4.7852210999, -5.8190689087, -6.5959939957, -7.0736660957]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)CC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OS(=O)(=O)O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CCC12']","[-0.9969087839, -2.9382898808, -3.3085520267, -5.1264915466, -5.2436256409, -6.5278339386]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CC(O)C(C(=O)O)C(C)O', 'CCC(C(=O)O)C(C)O', 'CCC(CC)C(=O)O', 'CCC(CC)C(=O)OCO', 'CCC(C(=O)O)C(=O)O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C(C(=O)O)C(=O)O', 'CC(O)C(C)C(=O)O', 'CC(C)C(C(=O)O)C(C)O', 'CCC(C(=O)OCO)C(C)O', 'CCC(C)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCSC2)SC2C(C(C)O)C(=O)N12', 'CC(O)C(C(=O)O)C1NC(C(=O)O)C(C(=O)O)=C(SC2CCSC2)S1']","[-2.316316843, -2.6323578358, -2.7438879013, -3.0475108624, -4.1839766502, -4.4334893227, -4.8012866974, -4.8129267693, -5.2064304352, -5.2867527008, -5.9837017059, -5.9984664917, -6.5375862122]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(O)c13', 'CN1CCC23CCCCC1C2Cc1cc(O)c(O)cc13', 'Oc1ccc2c(c1)C1CCCCC1C1NCCC21', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC1C2Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'Oc1ccc2c(c1)C1CCCCC1C1CNCCC21', 'COc1ccc2c(c1)C1CCCCC1C1C2CCN1C', 'CN1CCC23CCCCC2C1Cc1cc(O)c(O)cc13', 'Oc1ccc2c(c1)C1CCCCC1C1CCC3CCCCC3C21', 'O=C(O)C1OC(Oc2ccc3c(c2)C2CCCCC2C2CCCCC32)C(O)C(O)C1O', 'CN1CCC2c3cc(OC4OC(C(=O)O)C(O)C(O)C4O)ccc3CC1C1CCCCC21']","[-1.805202961, -2.3213589191, -3.5955719948, -3.7249696255, -4.1882090569, -4.5720925331, -5.1617927551, -5.8998012543, -5.9581017494, -5.9831047058, -6.3807420731, -6.6481451988, -9.4408464432]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C1CN=C(c2ccccc2)c2cc(Cl)cc(O)c2N1', 'O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1O', 'O=C(O)C1OC(N2C(=O)CN=C(c3ccccc3)c3cc(Cl)ccc32)C(O)C(O)C1O', 'O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1', 'O=C1CN=C(c2ccccc2)c2cc(Cl)c(O)cc2N1', 'O=C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O', 'O=C(O)C1OC(OC2=Nc3ccc(Cl)cc3C(c3ccccc3)=NC2)C(O)C(O)C1O']","[-1.5461287498, -2.7383072376, -3.1281561852, -3.2087626457, -3.3159153461, -3.4264347553, -4.0535964966, -4.0787672997, -4.815653801, -4.8294930458, -4.8726601601]"
