epoch	training_loss	validation_loss	validation_token_accuracy	metabolite_coverage_score	top_1_metabolite_score	lr-Adam
0	0.38617343	0.28871125	0.92118376	0.0953063	0.052083332	
1	0.3756321	0.2502034	0.9301387	0.14791666	0.072916664	
2	0.2877472	0.2320248	0.9378943	0.2015873	0.0625	
3	0.29777613	0.22061577	0.94008565	0.22945808	0.069196425	
4	0.34818172	0.2114647	0.9426017	0.26858258	0.13690476	
5	0.3108775	0.20270233	0.94511056	0.2970424	0.1078869	5.9421895e-05
6	0.24740131	0.19590367	0.9467282	0.3170077	0.12090774	5.9421895e-05
7	0.2842684	0.19147255	0.94856143	0.32578126	0.1767113	5.9421895e-05
8	0.24277435	0.18694332	0.9492582	0.34598833	0.1953125	5.9421895e-05
9	0.2352457	0.18287697	0.9497217	0.34611234	0.21912202	5.9421895e-05
10	0.23520498	0.1787719	0.95017534	0.36496156	0.23697917	5.9421895e-05
11	0.1937035	0.17517832	0.95024174	0.3800657	0.2637649	0.00011763368
12	0.18469287	0.17229685	0.9515903	0.37442335	0.26860118	0.00011763368
13	0.24183738	0.17239054	0.9512735	0.39157367	0.33370537	0.00011763368
14	0.24209738	0.17136942	0.95202726	0.40087426	0.32700893	0.00011763368
15	0.19503395	0.1713048	0.9530518	0.4003038	0.34933037	0.00011763368
16	0.20202217	0.17282692	0.95350397	0.41812995	0.35974702	0.00020973987
17	0.18963185	0.17066288	0.95433277	0.41692707	0.38058037	0.00020973987
18	0.18049835	0.17381555	0.9536667	0.41777033	0.40699404	0.00020973987
19	0.20745054	0.17464092	0.95201826	0.41984126	0.44419643	0.00020973987
20	0.19358285	0.17443444	0.95332694	0.4500744	0.41778272	0.00020973987
21	0.19218026	0.17436406	0.95453537	0.4530134	0.43043154	0.00020973987
22	0.1900559	0.17992166	0.9527795	0.45027903	0.44940478	0.00032798166
23	0.18612531	0.18088792	0.95190346	0.45280877	0.4471726	0.00032798166
24	0.17749001	0.17991301	0.95287925	0.4390873	0.44754463	0.00032798166
25	0.20771895	0.1798	0.95330846	0.46230778	0.45721728	0.00032798166
26	0.17363296	0.18304418	0.95397514	0.44478548	0.43489584	0.00032798166
27	0.15647556	0.18346083	0.95356166	0.44777405	0.44456846	0.00046239863
28	0.19546582	0.18614425	0.9521067	0.45056424	0.41517857	0.00046239863
29	0.15495221	0.18627493	0.9520125	0.4655568	0.42224702	0.00046239863
30	0.1601159	0.19686025	0.9513383	0.45824653	0.4017857	0.00046239863
31	0.14812988	0.19449902	0.9506155	0.4639881	0.44233632	0.00046239863
32	0.16420698	0.19106421	0.9523895	0.44494668	0.42261904	0.00046239863
33	0.16988292	0.18851826	0.95283145	0.46962425	0.4356399	0.0006016678
34	0.16477291	0.2004554	0.95142525	0.45277157	0.43005952	0.0006016678
35	0.18535125	0.18875465	0.95283616	0.45409846	0.4564732	0.0006016678
36	0.18697093	0.20544283	0.94986385	0.44348958	0.44494048	0.0006016678
37	0.17143069	0.19900003	0.9528931	0.46026164	0.45610118	0.0006016678
38	0.14795332	0.20301099	0.9520123	0.45979664	0.43675596	0.00073405745
39	0.15883332	0.20542485	0.95184994	0.46507937	0.43526787	0.00073405745
40	0.17421718	0.19533108	0.95346004	0.48140502	0.4360119	0.00073405745
41	0.16853322	0.20087452	0.9504348	0.4581845	0.40066963	0.00073405745
42	0.21205962	0.20681359	0.949812	0.43914932	0.4002976	0.00073405745
43	0.16365883	0.2052728	0.94876784	0.44391742	0.4263393	0.00073405745
44	0.17733541	0.19803163	0.9530751	0.4576575	0.42410713	0.0008484154
45	0.1586123	0.20154662	0.9509036	0.46323785	0.4375	0.0008484154
46	0.16436379	0.20028007	0.9515421	0.44352058	0.46837798	0.0008484154
47	0.15876368	0.20563868	0.9525781	0.44590154	0.44494048	0.0008484154
48	0.1697048	0.2052857	0.951907	0.45582837	0.47619048	0.0008484154
49	0.16064447	0.19824877	0.95206183	0.45858756	0.5014881	0.00093510846
50	0.13226658	0.20195712	0.9541461	0.47399554	0.46949404	0.00093510846
51	0.145498	0.22040394	0.94970727	0.45049602	0.43005952	0.00093510846
52	0.14193271	0.2121028	0.9502264	0.4532924	0.46354166	0.00093510846
53	0.15075164	0.21646585	0.95103633	0.4564794	0.43973213	0.00093510846
54	0.15834828	0.20495884	0.951215	0.46972346	0.45014882	0.00093510846
55	0.15691155	0.1993139	0.95222366	0.4840774	0.44047618	0.0009868337
56	0.1407083	0.21381211	0.950984	0.46788815	0.41369048	0.0009868337
57	0.127974	0.20279926	0.9509975	0.44272074	0.45424107	0.0009868337
58	0.16078861	0.21038352	0.950454	0.46029887	0.44940478	0.0009868337
59	0.151891	0.24464157	0.93799824	0.34050098	0.23288691	0.0009868337
60	0.1789354	0.20511499	0.9507376	0.4435578	0.40922618	0.0009868337
61	0.15202747	0.2067619	0.95123523	0.45406747	0.46391368	0.000999854
62	0.14395836	0.21629475	0.9506734	0.47108135	0.43191963	0.000999854
63	0.119478464	0.21635935	0.94917274	0.45194072	0.49293154	0.000999854
64	0.16360976	0.21919985	0.9520393	0.4546875	0.44159228	0.000999854
65	0.17956628	0.21127413	0.9525292	0.4534288	0.4858631	0.000999854
66	0.13822392	0.21927653	0.9499349	0.4577815	0.42708334	0.0009944772
67	0.15185289	0.22008133	0.9507146	0.46418032	0.41369048	0.0009944772
68	0.14524202	0.21827361	0.9510326	0.45970362	0.40736607	0.0009944772
69	0.12489716	0.22595106	0.9513757	0.465284	0.42931548	0.0009944772
70	0.13963291	0.22432688	0.94968015	0.46779513	0.47395834	0.0009944772
71	0.16871035	0.22937503	0.94959605	0.4609623	0.45535713	0.0009944772
72	0.14812519	0.22242983	0.9507347	0.4734375	0.4784226	0.0009814339
73	0.16412984	0.22178635	0.9505179	0.4576451	0.4765625	0.0009814339
74	0.1014534	0.23169783	0.95006806	0.47238344	0.44605654	0.0009814339
75	0.16831492	0.23488751	0.95024973	0.46418652	0.44047618	0.0009814339
76	0.16813271	0.21701725	0.948251	0.46100572	0.51599705	0.0009814339
77	0.16444868	0.22635974	0.94987667	0.46217138	0.4564732	0.00096092623
78	0.1519795	0.22511502	0.95043933	0.47266245	0.4720982	0.00096092623
79	0.1586664	0.22672983	0.95135295	0.46289682	0.4720982	0.00096092623
80	0.12376113	0.2261039	0.9496696	0.44321057	0.44568452	0.00096092623
81	0.1564386	0.2315432	0.94970083	0.4734251	0.4624256	0.00096092623
82	0.15781853	0.23416962	0.9493652	0.4561384	0.44308037	0.00096092623
83	0.1363084	0.24135944	0.94999075	0.45399925	0.44903272	0.0009332723
84	0.11424904	0.23848271	0.94768196	0.45608258	0.46800596	0.0009332723
85	0.14873733	0.24236755	0.9500934	0.4388083	0.4624256	0.0009332723
86	0.14178815	0.24219976	0.9486409	0.4530072	0.4668899	0.0009332723
87	0.13453704	0.24129668	0.95045847	0.4529452	0.44828868	0.0009332723
88	0.13406429	0.23890808	0.95043194	0.45755827	0.43377978	0.0008989008
89	0.1403155	0.23450579	0.95013976	0.46377108	0.46168154	0.0008989008
90	0.16102947	0.23399198	0.95021987	0.47083953	0.47730654	0.0008989008
91	0.12734833	0.23519124	0.9515087	0.46954986	0.4858631	0.0008989008
92	0.14683713	0.24019335	0.95104116	0.46467015	0.4784226	0.0008989008
93	0.16800895	0.23638788	0.9488776	0.4606337	0.46502978	0.0008989008
94	0.15225893	0.23208866	0.95005435	0.46516618	0.4672619	0.00085834455
95	0.14004654	0.2385373	0.94935524	0.44940478	0.46502978	0.00085834455
96	0.15075435	0.24166298	0.9517784	0.46881822	0.45982143	0.00085834455
97	0.12902749	0.23516874	0.94922495	0.44619295	0.44903272	0.00085834455
98	0.11625212	0.23945548	0.95027685	0.45421007	0.43043154	0.00085834455
99	0.12420743	0.23804583	0.9497858	0.47081473	0.44605654	0.0008122325
100	0.16944829	0.24521996	0.94888586	0.46050346	0.4468006	0.0008122325
101	0.15137514	0.24325685	0.9514333	0.45173612	0.44047618	0.0008122325
102	0.14294064	0.23761038	0.9501293	0.43366817	0.4408482	0.0008122325
103	0.11190929	0.24301064	0.9496688	0.45719865	0.47247022	0.0008122325
104	0.14484139	0.25069767	0.9486319	0.46445313	0.44940478	0.0008122325
105	0.14003778	0.2477607	0.95041394	0.45133308	0.46168154	0.0007612794
106	0.12060198	0.24977148	0.95168054	0.45853174	0.43266368	0.0007612794
107	0.12396718	0.2510759	0.9519932	0.44941717	0.4609375	0.0007612794
108	0.13017379	0.25614598	0.9497421	0.45881078	0.48214287	0.0007612794
109	0.1525176	0.26025632	0.9512813	0.4592448	0.484375	0.0007612794
110	0.13062853	0.2582978	0.94992346	0.4642299	0.46651787	0.0007612794
111	0.12049964	0.24800506	0.949784	0.46919024	0.46763393	0.00070627546
112	0.13077764	0.25641978	0.9509841	0.45275918	0.4750744	0.00070627546
113	0.13868782	0.2577162	0.95137835	0.44575274	0.46949404	0.00070627546
114	0.12763453	0.25821996	0.949717	0.4528336	0.5011161	0.00070627546
115	0.1389368	0.2600208	0.95070434	0.44337177	0.4985119	0.00070627546
116	0.13693704	0.2583675	0.94898707	0.44089162	0.46614584	0.0006480734
117	0.13693392	0.2508055	0.9501595	0.4638641	0.4609375	0.0006480734
118	0.12038056	0.26345238	0.95187634	0.46026164	0.4906994	0.0006480734
119	0.14464921	0.26854786	0.95083964	0.45992064	0.4668899	0.0006480734
120	0.11938908	0.25490403	0.9513287	0.44426462	0.46465772	0.0006480734
121	0.16411914	0.2520138	0.950644	0.45982763	0.46763393	0.0006480734
122	0.14523645	0.26181817	0.95115405	0.45546255	0.484375	0.0005875755
123	0.11728985	0.25409287	0.95063674	0.45685145	0.44940478	0.0005875755
124	0.11895287	0.24627586	0.95145375	0.45230034	0.45982143	0.0005875755
