epoch	training_loss	validation_loss	validation_token_accuracy	metabolite_coverage_score	top_1_metabolite_score	lr-Adam
0	0.2864507	0.28432932	0.92600703	0.12062872	0.14880952	
1	0.23520912	0.250167	0.93434894	0.16812377	0.14620535	
2	0.24043766	0.23414199	0.9394396	0.20645815	0.14620535	
3	0.2217659	0.22123185	0.94169414	0.25772303	0.15215774	
4	0.26562908	0.21204121	0.9431669	0.2809373	0.14955357	5.302456e-05
5	0.17034647	0.20472743	0.9450635	0.3024031	0.14434524	5.302456e-05
6	0.17741773	0.19988151	0.94639754	0.32825875	0.14732143	5.302456e-05
7	0.218339	0.19444552	0.94760835	0.33277264	0.15625	5.302456e-05
8	0.13580742	0.18937537	0.94834673	0.3412982	0.16220239	5.302456e-05
9	0.17501603	0.18723275	0.9498019	0.3553111	0.18563989	9.242595e-05
10	0.18721294	0.18414316	0.95017713	0.36857992	0.19345239	9.242595e-05
11	0.20849214	0.17909352	0.9509926	0.37782738	0.19605654	9.242595e-05
12	0.19640742	0.17883115	0.9518327	0.38023314	0.19866072	9.242595e-05
13	0.17189153	0.1778698	0.95252717	0.40164044	0.20684524	0.0001559836
14	0.16326079	0.17698438	0.9534104	0.40838647	0.20163691	0.0001559836
15	0.1557295	0.1759283	0.95294553	0.43121278	0.21763393	0.0001559836
16	0.15496574	0.17582202	0.95334333	0.44609728	0.2217262	0.0001559836
17	0.19122322	0.17788993	0.95284015	0.43036067	0.21205357	0.0001559836
18	0.20347574	0.17480141	0.9541858	0.4462337	0.22730654	0.00024010675
19	0.14603868	0.17645195	0.9543243	0.46029973	0.24553572	0.00024010675
20	0.16708572	0.17990796	0.9539238	0.4541702	0.21688989	0.00024010675
21	0.17458166	0.18478654	0.95355463	0.43999255	0.21726191	0.00024010675
22	0.16040577	0.18566743	0.9535361	0.47087672	0.20907739	0.00034004275
23	0.20266967	0.18362966	0.955426	0.45665658	0.25074404	0.00034004275
24	0.19567795	0.18182227	0.9551339	0.48644328	0.23586309	0.00034004275
25	0.13463669	0.19361365	0.9539821	0.45159703	0.19345239	0.00034004275
26	0.18243827	0.18690765	0.9526375	0.4304537	0.20870535	0.00034004275
27	0.17604762	0.19003916	0.9543127	0.45897907	0.2451637	0.00045014566
28	0.13710384	0.19067736	0.95361197	0.4537052	0.20424107	0.00045014566
29	0.14288111	0.18855146	0.9530561	0.47189447	0.22581846	0.00045014566
30	0.1704808	0.19153383	0.9530915	0.46150175	0.2421875	0.00045014566
31	0.14681602	0.19530453	0.9537021	0.45644575	0.24032739	0.00056419504
32	0.12076126	0.2025682	0.9530265	0.4501311	0.23772322	0.00056419504
33	0.15134569	0.19903146	0.95335174	0.4626559	0.25520834	0.00056419504
34	0.16625825	0.20119846	0.9527475	0.45966375	0.2637649	0.00056419504
35	0.14285128	0.20090388	0.9546181	0.48456544	0.23363096	0.00056419504
36	0.18225014	0.20259383	0.9546332	0.46626452	0.23883928	0.0006757476
