index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1ccccc1)c1ccsc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(c1ccccc1)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2', 'C[N+](C)(C)C(CO)c1ccccc1', 'C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1cccs1)c1ccsc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1ccsc1)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1ccsc1)c1ccsc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1ccccc1)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(CO)(c1ccccc1)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1cccs1)c1ccccc1)C2', 'CC[N+]1(CC)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C[N+](C)(C)CCOC(=O)C(CO)c1ccccc1', 'C[N+]1(C)C2CCC1CC(OC(=O)C(N)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(c1ccccc1)N1CCCCC1)C2']","[-2.5959892273, -4.0950498581, -4.5285773277, -4.7923192978, -5.1228437424, -5.1627020836, -5.2218623161, -5.2313737869, -5.4030957222, -5.4590845108, -5.4739079475, -5.4877514839, -5.5563941002, -5.6750564575, -5.6861581802, -5.7958159447, -5.837553978]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'COc1cccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)c1', 'CN1CCC23CCCCC2C1Cc1ccc(OCC2CO2)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'COc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1', 'CN1CCC23CCCCC2C1Cc1ccc(OCCc2ccccc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccccc2)cc13', 'COc1cccc(CN(C)c2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)c1', 'COc1ccccc1CNc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'CCCCCCCCCCOc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccc4c(c2)OCO4)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccccc2)cc13', 'O=C(Nc1ccc(I)cc1)Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3']","[-3.6259884834, -3.7113480568, -4.1166167259, -4.5692019463, -4.6065645218, -4.6634001732, -4.7230730057, -4.7679562569, -4.8281626701, -4.8388137817, -5.1155924797, -5.3217144012, -5.3320407867, -5.3558940887, -5.3592028618, -5.7911520004, -5.8177609444, -5.9139943123]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C1Nc2ccc(Cl)cc2C1=CC(=O)c1cccnc1', 'CC(C)C1=NC(=O)C(=C2C(=O)Nc3ccc(Cl)cc32)S1', 'O=C(O)C1=NC(c2ccccc2)c2cc(Cl)ccc2N1', 'O=C(O)C1=Nc2ccc(Cl)cc2C(c2ccccc2)N1', 'O=C(O)c1nn(Cc2ccccc2)c2ccc(Cl)cc12', 'O=C1Nc2ccc(Cl)cc2C(C(=O)O)N1', 'O=C1Nc2ccc(Cl)cc2C1=CC(=O)c1ccccc1', 'COc1ccc(S(=O)(=O)N=c2cc(C(=O)O)[nH]c3ccc(Cl)cc23)cc1', 'CC(=O)n1nc(-c2ccccc2)c(C(=O)O)c1C', 'CC(=O)N1N=C(c2ccccc2)CC1C(=O)O', 'O=C(O)c1nn(Cc2ccc(Cl)cc2)c2ccc(Cl)cc12', 'O=C(O)C1=NN(Cc2ccccc2)C(=O)C1=C1C(=O)Nc2ccc(Cl)cc21', 'O=C(O)C1=NC(c2ccccc2)c2ccc(Cl)cc2N1', 'CC(=O)N1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1=Nc2ccc(Cl)cc2C(C(=O)O)N1', 'Cc1ccc(S(=O)(=O)n2nc(-c3ccccc3)c(C(=O)O)c2C(=O)O)cc1', 'Cc1ccc(S(=O)(=O)n2nc(-c3ccccc3)c(C(=O)O)c2C)cc1', 'CC(=O)N1N=C(c2ccccc2)C(=C2C(=O)Nc3ccc(Cl)cc32)C1=O', 'Cc1ccc(S(=O)(=O)NC2=NC(=O)C(C)(C(=O)O)N2)cc1', 'O=C(O)C1=NN(Cc2ccccc2)C(=O)C1=C1NC(=O)c2cc(Cl)ccc2N1']","[-5.2620668411, -5.8589477539, -6.1252479553, -6.1914739609, -6.2361989021, -6.3680672646, -6.3713388443, -6.3810400963, -6.6613416672, -6.6758880615, -6.8641676903, -6.8648166656, -6.9546480179, -7.0023169518, -7.0456004143, -7.0994429588, -7.2581510544, -7.3352046013, -7.5281176567, -8.912273407]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(OC)cc3)CC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(OC)cc3)CC21C', 'CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(O)cc3)CC21C', 'CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(O)cc3)CC21C', 'CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N)cc3)CC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C', 'C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'CC#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(SC)cc3)CC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(SC)cc3)CC21C', 'CC#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)CCCCCC(=O)O)cc3)CC21C', 'CC#CC1(O)CCC2Cc3ccc(OC)cc3C(C1)C1=C3CCC(=O)C=C3CCC12', 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)CCCCCC(=O)O)cc3)CC21C', 'CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)CCCCCCC(=O)O)cc3)CC21C', 'CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)CCCCCC(=O)OC)cc3)CC21C', 'CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)CCCCCCCCC(=O)O)cc3)CC21C']","[-3.278418541, -3.4200603962, -3.7854223251, -4.1593985558, -4.2472476959, -4.4220590591, -4.8170928955, -4.9586114883, -5.0056014061, -5.0951123238, -5.1464471817, -5.2659707069, -5.271086216, -5.5769929886, -6.7084875107, -6.8729729652, -7.1799030304, -7.182849884, -7.55346632, -7.6744894981]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNCCC(Oc1cccc2ccccc12)c1ccccc1', 'FC(F)(F)c1ccc(-c2c[nH]nn2)cc1', 'CNCCC(Oc1cccc2ccccc12)c1cccs1', 'CNCCC(c1ccccc1)n1ccc2ccccc21', 'NCC=C(F)COc1ccc(C(F)(F)F)cc1', 'CNCCC(Oc1ccc(OC)cc1)c1ccccc1', 'CNCCC(Oc1ccc(OC(F)(F)F)cc1)c1ccccc1', 'CNCCC(Oc1ccc(Cl)cc1)c1ccccc1', 'CNCCC(Oc1cccc2ccccc12)c1ccco1', 'FC(F)(F)c1ccc(OC(c2cccnc2)C2CCNCC2)cc1', 'NCCC(Oc1cccc2ccccc12)c1cccs1', 'NCCC(Oc1cccc2ccccc12)c1ccccc1', 'CNCCC(Oc1cccc2ccccc12)c1ccsc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(Cl)cc1', 'FC(F)(F)c1ccc(OCC(c2ccccc2)N2CCNCC2)cc1']","[-3.1582529545, -4.2021989822, -4.2076025009, -4.2809624672, -4.4325423241, -4.4731473923, -4.8727936745, -5.0212936401, -5.0375113487, -5.30595541, -5.397796154, -5.4036421776, -5.9466614723, -6.2137551308, -6.6359066963, -6.8774747849]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCOC(=O)CCC1(CO)CCC(=O)O1', 'CCCCCCCCCCCCCCOCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCOCC(O)COc1ccc(-c2noc(=O)[nH]2)cc1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCC1', 'CCCCCCCCCCCCCCCOCC(O)COc1ccc(-c2noc(=O)[nH]2)cc1', 'CCCCCCCCCCCCCCOCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCOCC(O)C(CO)N(C)C', 'CCCCCCCCCCCCCCCOC(=O)C=CC1(CO)CCC(=O)O1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCOCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCOC(=O)COc1ccc(-c2noc(=O)[nH]2)cc1', 'CCCCCCCCCCCCCCOC(=O)CCC1(CO)CCC(=O)O1', 'CCCCCCCCCCCCCCCCOC(=O)CCC1(CO)CCC(=O)O1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCC1']","[-2.482719183, -2.8511579037, -3.1085827351, -3.5205945969, -4.0406284332, -4.1957015991, -4.8138952255, -4.9025154114, -4.9228115082, -5.145878315, -5.3860521317, -5.4772109985, -5.4838180542, -5.5139131546, -5.5157179832, -5.6478281021, -5.6858968735, -5.6976852417, -5.831430912, -5.8637909889]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1(C)C2CCC2(C)C(O)CCC21', 'CC12CCC3c4cc(O)ccc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1(C)C(O)CCC21', 'CC12CCC3c4ccc(OCc5ccccc5)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)C1CCC3(C)C(O)CCC3C1CC2', 'CC12CCC3c4ccc(OCC(=O)O)cc4CCC3C1CCC2O', 'COc1ccc2c(c1)CCC1(C)C2CCC2(C)C(O)CCC21', 'CC12CCC3c4cc(OCc5ccccc5)ccc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)C1CCC3(C)C(O)CCC3C1CC2O', 'CC(=O)Oc1ccc2c(c1)CCC1(C)C2CCC1(C)O', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2(O)C#Cc1ccccc1', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2C1CCC2(C)O']","[-3.8377199173, -4.1122565269, -4.3151845932, -4.9972996712, -5.3349366188, -5.5445170403, -5.5750288963, -5.9887757301, -6.0334358215, -6.1597161293, -6.200360775, -6.3615164757, -6.7502470016]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CC(O)C1=C(C(=O)O)N2C(=O)C(SC3CCS(=O)(=O)C3)C2SC1', 'CC(O)C1=C(C(=O)O)N2C(=O)C(SC3CCCC3)C2SC1', 'CC(O)C1=C(C(=O)O)N2C(=O)C(N1)SC2C(=O)O', 'CC(O)C1=C(C(=O)O)N2C(=O)C(SC3CCS3)C2SC1', 'CC(O)C1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1', 'CC(O)c1c(C(=O)O)c2c(=O)n(c1C(=O)O)C(C(=O)O)S2', 'CC(O)C1=C(C(=O)O)N2C(=O)C(SC3CCS(=O)(=O)C3)NC2SC1', 'CC(O)C1=C(C(=O)O)N2C(=O)C(=C(SC3CCS3)C2=O)N1', 'CC(O)C1=C(C(=O)O)N2C(=O)C(=C(SC3CCS3)C2=O)S1', 'CC(O)C1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3ccccc3)C2SC1', 'CC(O)C1=C(C(=O)O)N2C(=O)C(SC3CCS(=O)(=O)C3)=C2SC1', 'CCC(C)C(NC(=O)OCC1=C(C)N2C(=O)C(C(C)O)=C2SC1)C(=O)OC', 'CCC(C)C(NC(=O)OCC1=C(C)N2C(=O)C(C(C)O)=C2SC1)C(=O)O', 'CC(O)c1c(C(=O)O)n2c(=O)c(SC3CCCC3)c(C(=O)O)n2c1=O', 'CC(C)OC(=O)C1=C(SC2CCCC2)C(=O)N2C(C(=O)O)=C(SC3CCCC3)CSC12', 'CC(O)C1=C(C(=O)O)N2C(=O)C(=C(SC3CCS(=O)(=O)C3)C2=O)S1', 'CC(C)OC(=O)C1=C(SC2CCCC2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC12', 'Cc1csc(SCC2=C(C(=O)O)N3C(=O)C(SC4CCCC4)=C(C(=O)OC(C)C)C3SC2)n1']","[-6.3905205727, -7.4702048302, -7.6001529694, -7.9816765785, -8.1856842041, -8.2600345612, -8.4106006622, -8.4442195892, -8.6065883636, -8.6501483917, -9.0925149918, -9.4593315125, -9.4795570374, -9.6245069504, -10.2853689194, -10.3420324326, -10.601102829, -11.5951786041]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'COc1cccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)c1', 'COc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1', 'COc1ccccc1CNc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CCNC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'COc1cccc(CN(C)c2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)c1', 'CN1CCC23CCCCC2C1Cc1ccc(OCC2CO2)cc13', 'COc1ccc(CN(C)c2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1', 'COc1ccccc1CN(C)c1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccccc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OCCc2ccccc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccc4c(c2)OCO4)cc13', 'COc1cccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(CC2CC2)CC4)c1']","[-3.8738105297, -4.021727562, -4.1869282722, -4.4576044083, -4.5024595261, -4.5088815689, -4.67339468, -4.8702898026, -4.984826088, -5.1230435371, -5.1877393723, -5.2473297119, -5.2777194977, -5.2893257141, -5.3770899773, -5.9377112389, -6.4276652336]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['O=C1CN=C(c2ccccc2)N1', 'O=C1Nc2ccc(Cl)cc2C1=CC(=O)c1cccnc1', 'O=C1CN=C(c2ccc(Cl)cc2)N1', 'O=C1CN=C(Nc2ccccc2)N1', 'O=C1CN=C(c2ccccc2)c2ccc(Cl)cc2N1', 'O=C1Nc2ccc(Cl)cc2C1=CC(=O)c1ccccc1', 'O=C1CN=C(c2ccccc2)N1c1ccccc1', 'O=C1CN=C(c2ccccc2)c2c(O)cc(Cl)cc2N1', 'O=C1Nc2ccc(Cl)cc2C1=Cc1ccccc1', 'O=C1Nc2cc(Cl)ccc2C1=Cc1ccccc1', 'O=C1Nc2ccc(Cl)cc2C1=CC(=O)c1cccs1', 'O=C1Nc2cc(Cl)ccc2C1=CC(=O)c1cccnc1', 'O=C1Nc2cc(Cl)ccc2C1=CC(=O)c1ccccc1', 'O=C1Nc2ccc(Cl)cc2C1=CC(=O)c1ccc(Br)cc1', 'O=C1Nc2ccc(Cl)cc2C1=CC(=O)c1cccc(Br)c1', 'O=C(Cc1ccccc1)NN=C1C(=O)Nc2cc(Cl)ccc21', 'O=C(Cc1ccc(O)cc1)NN=C1C(=O)Nc2cc(Cl)ccc21']","[-3.3279514313, -4.8464894295, -5.7427568436, -5.8665270805, -6.3447570801, -6.5268387794, -6.6847338676, -6.7918148041, -7.4714055061, -7.5697979927, -7.6708769798, -7.9458150864, -7.9651179314, -8.0900945663, -8.5772266388, -8.7686309814, -9.2270698547]"
