index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)c1ccccc1)C2', 'C[N+](C)(C)C1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)Nc1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1ccccc1)c1ccsc1)C2', 'CC[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C[N+](C)(C)C1C2CCC1CC(OC(=O)c1ccccc1)C2', 'C[N+](C)(C)C1C2CCC1CC(OC(=O)Nc1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Nc1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1ccccc1)c1ccccc1)C2', 'C[N+](C)(C)C1C2CCC1CC(OC(=O)N(Cc1ccccc1)c1ccsc1)C2', 'C[N+](C)(C)C1C2CCC1CC(OC(=O)N(Cc1ccccc1)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)N(c1ccccc1)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)N(c1ccccc1)c1ccsc1)C2', 'C[N+](C)(C)C1C2CCC(C2)CC1OC(=O)c1ccccc1', 'C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1ccccc1)c1cccs1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)N(Cc1ccccc1)c1ccccc1)C2']","[-2.8759813309, -3.8678424358, -4.2226028442, -4.6993756294, -4.8871898651, -4.9101381302, -4.9314250946, -4.9743452072, -5.3554272652, -5.5475420952, -5.5546569824, -5.7749733925, -5.9779243469, -6.0860548019, -6.0904679298, -6.1556463242, -6.2982392311, -6.429746151]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'CCNC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccc(Cl)cc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13', 'CCCCCCCCC(O)COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'COc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccccc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccc(I)cc2)cc13', 'COc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(CC2CC2)CC4)cc1', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccccc2O)cc13', 'CCCCCCCCCC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)NCc2ccccc2)cc13', 'CCCCCCCCCC(O)COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(OCC(O)COc2ccccc2)cc13', 'CCCCCCCC(O)COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'COc1ccc(CN(C)c2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1']","[-2.4704208374, -3.4066486359, -3.6027069092, -3.706412077, -3.7550554276, -3.7629165649, -4.0286073685, -4.1399636269, -4.1536726952, -4.4039359093, -4.7061095238, -4.7627267838, -4.8543357849, -5.0444674492, -5.0472726822, -5.0753931999, -5.095416069, -5.2552890778, -5.2928147316]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C(O)c1nc(-c2ccccc2)c2ccc(Cl)cc2n1', 'O=C(O)c1nc(-c2ccccc2)c2cc(Cl)ccc2n1', 'COc1ccc(C=CC(=O)NC2=NC(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1', 'COc1ccc(CCCNC(=O)C2=Nc3cc(Cl)ccc3NC2c2ccccc2)cc1', 'COc1ccc(CCNC(=O)C2=Nc3cc(Cl)ccc3NC2c2ccccc2)cc1', 'COc1ccc(CCNC(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1', 'CC(=O)NCCCNC(=O)c1nc(-c2ccccc2)c2ccc(Cl)cc2n1', 'COc1ccc(CCCNC(=O)c2nc3cc(Cl)ccc3[nH]c2=O)cc1', 'COc1ccc(CCNC(=O)c2nc3cc(Cl)ccc3[nH]c2=O)cc1', 'CC(=O)NCCN1C(=O)C(C(=O)Nc2ccc(Cl)cc2)N=C(c2ccccc2)c2cc(Cl)ccc21', 'CC(=O)NCCCNC(=O)C1=Nc2cc(Cl)ccc2NC1c1ccccc1', 'O=C(Cn1c(=O)c(-c2ccccc2)nc2cc(Cl)ccc21)N1CCCCC1', 'O=C(Cn1c(=O)c(-c2ccccc2)nc2cc(Cl)ccc21)Nc1ccc(F)cc1', 'COc1ccc(C=CC(=O)NC2=NC(c3ccccc3)c3cc(Cl)ccc3NC2=O)c(OC)c1', 'O=C(Cn1c(=O)c(-c2ccccc2)nc2cc(Cl)ccc21)Nc1ccccc1', 'COc1ccc(CCNC(=O)C2=Nc3cc(Cl)ccc3NC2c2ccccc2)c(OC)c1', 'O=C(Cn1c(=O)c(-c2ccccc2)nc2cc(Cl)ccc21)NC1CCCCC1', 'O=C(Cn1c(=O)c(-c2ccccc2)nc2cc(Cl)ccc21)Nc1ccccc1C(F)(F)F', 'COc1ccc(CCNC(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)c(OC)c1', 'CC(=O)NCCN1C(=O)C(C(=O)Nc2ccc3c(c2)C(c2ccccc2)=NC3C(=O)O)c2cc(Cl)ccc21']","[-4.507297039, -4.9672760963, -5.3439383507, -5.3701143265, -5.7868728638, -5.9955768585, -6.1885309219, -6.3366084099, -7.033452034, -7.1407189369, -7.1879415512, -7.5475077629, -7.8187980652, -7.8851079941, -7.8914222717, -8.0401163101, -8.0602827072, -8.1716175079, -8.3345079422, -8.9560747147]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CCC4c5cc(O)ccc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(O)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5cc(OC)ccc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4(C)C(O)CCC4C3CCC21C', 'CC#CC1(O)CCC2C3CCC4c5cc(O)ccc5CCC4C3CCC21C', 'CC#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'CC#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4(C)C(O)CCC4C3CCC21', 'CC#CC1(O)CCC2C3CCC4c5ccc(O)cc5CCC4C3CCC21C', 'CC#CC1(O)CCC2C3CCC4(C)C(O)CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(OC)cc5CCC4C3CCC21C', 'CC#CC1(O)CCC2C3CCC4c5cc(OC)ccc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5cc(O)ccc5CCC4C3(C)CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(O)cc5CCC4C3(C)CCC21C', 'CC#CC1(O)CCC2C1CCC1(C)C3CCc4ccc(O)cc4C3CCC21', 'CC#CC1(O)CCC2C3CCC4c5cc(O)ccc5CCC4C3(C)CCC21C']","[-3.9160740376, -4.0956110954, -4.6192970276, -4.6282477379, -4.857852459, -4.917265892, -5.0727267265, -5.2179470062, -5.257707119, -5.2825889587, -5.309615612, -5.3649492264, -5.5491600037, -5.8793134689, -5.9195952415, -6.2435059547, -6.247294426]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['NCC=C(F)COc1ccc(C(F)(F)F)cc1', 'NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'O=P(O)(O)C(Oc1ccc(C(F)(F)F)cc1)P(=O)(O)O', 'NCCC(Oc1ccccc1)c1ccccc1', 'CNCCC(Oc1ccccc1)c1ccccc1', 'FC(F)(F)c1ccc(OCCCN2CCN(c3ccccn3)CC2)cc1', 'NCCC(Oc1ccc(-c2ccccc2)cc1)c1ccccc1', 'CNCCC(Oc1ccccc1C)c1ccccc1', 'NS(=O)(=O)Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1', 'FC(F)(F)c1ccc(-c2c[nH]nn2)cc1', 'CNCCC(Oc1ccc(-c2ccccc2)cc1)c1ccccc1', 'FC(F)(F)c1ccc(-c2ccccc2)cc1', 'FC(F)(F)c1ccc(OCCCN2CCN(c3ccccc3)CC2)cc1', 'FC(F)(F)c1ccc(OCCN2CCC(N3CCCCC3)CC2)cc1']","[-2.9066696167, -3.2738747597, -4.4040708542, -4.4408168793, -4.4969348907, -4.7923641205, -4.8303751945, -4.8676147461, -4.9352664948, -5.1261210442, -5.155107975, -5.1905121803, -5.5631084442, -5.7263169289]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCCCOCCOc1ccc(-c2noc(=O)[nH]2)cc1', 'CCCCCCCCCCCCCCCCOCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCCCOCCOCC', 'CCCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCCOP(=O)(OCCO)OCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCCCOc1ccc(-c2noc(=O)[nH]2)cc1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCCOCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCCCOCCOCCOCC', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCCCOCCOCCOc1ccc(-c2noc(=O)[nH]2)cc1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCCOCCOP(=O)(O)OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOP(=O)(OCCO)OCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)(OCCO)OCCOP(=O)(O)OCC[N+]1(C)CCOCC1']","[-1.8696576357, -2.2023012638, -3.1484491825, -3.4988489151, -4.7617812157, -4.8500051498, -4.9663934708, -5.2088747025, -5.3543176651, -5.4707345963, -5.767165184, -5.9590497017, -6.1103425026, -6.1237626076, -6.2308411598, -6.514673233, -6.615126133, -6.6597189903, -7.7112221718, -7.8831319809]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC12CCC3c4cc(O)ccc4CCC3C1CCC2O', 'COc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC12CCC3c4ccc(OC(=O)Nc5ccccc5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCCCO)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCc5ccccc5)cc4CCC3C1CCC2O', 'CCOC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC12CCC3c4cc(OC(=O)Nc5ccccc5)ccc4CCC3C1CCC2O', 'COc1ccc2c(c1)CCC1C2CCC2C1CCC1(C)C(O)CCC21', 'CC12CCC3c4cc(OCCCO)ccc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)NCc5ccccc5)cc4CCC3C1CCC2O', 'CC12CCC3c4cc(OCc5ccccc5)ccc4CCC3C1CCC2O', 'CCOc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC12CCC3c4ccc(OCCCCCCCC(=O)O)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)c5ccccc5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCCCCCCCCC(=O)O)cc4CCC3C1CCC2O', 'CC12CCC3c4cc(OC(=O)NCc5ccccc5)ccc4CCC3C1CCC2O', 'CCOC(=O)Oc1ccc2c(c1)C1CCC3(C)C(O)CCC3C1CC2', 'CC12CCC3c4ccc(OC(=O)COc5ccccc5)cc4CCC3C1CCC2O']","[-2.5597133636, -2.8953695297, -3.4924449921, -4.0286302567, -4.0981054306, -4.1853151321, -4.2906861305, -4.4609646797, -4.4711523056, -4.4945363998, -4.726269722, -4.7824063301, -4.9658069611, -5.0859804153, -5.2031960487, -5.3034005165, -5.3041348457, -5.5173501968, -5.596552372]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CC(O)C1=C(C(=O)O)N2C(=O)C(SC3CC[S+]([O-])C3)C2SC1', 'CC(O)C1=C(C(=O)O)N2C(=O)C(SC3CC[S+]([O-])C3)=C(C(=O)O)SC12', 'CCC(CC)C(=O)OCCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(=O)O)N12', 'CC(O)C1SC2C(C(=O)O)=C(SC3CC[S+]([O-])C3)N2C1=O', 'CCC(CC)C(=O)OCCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(=O)O)N12', 'CC(O)C1=C(C(=O)OCC(=O)O)N2C(=O)C(SC3CC[S+]([O-])C3)C2SC1', 'CC(O)C1=C(C(=O)OCc2ccccc2)SC2C(C(=O)OC(C)C3CS3)N12', 'CCC(CC)C(=O)OCCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)N12', 'CC(O)c1c(C(=O)O)n2c(=O)c(SC3CCS3)c(C(=O)O)n12', 'CC(O)C1=C(C(=O)O)N2C(=O)C(SC3CC[S+]([O-])C3)=C(C(=O)O)C2S1', 'CCC(CC)C(=O)OCCOC(=O)C1=C(SC2CCC(=O)N2)SC2C(C(C)O)N12', 'CCC(CC)C(=O)OCCOC(=O)C1=C(SC2CC[S+]([O-])C2)N2C(=O)C(N)C2S1', 'CC(O)C1=C(C(=O)OCc2ccccc2)SC2C(C(=O)OC(C)C3C[S+]([O-])CS3)N12', 'CCC(CC)C(=O)OCCOC(=O)C1=C(SC2CC[S+]([O-])C2)N2C(=O)C(NC(C)=O)C2S1', 'CC(O)C1=C(C(=O)O)N2C(=O)C(SC3CCS(=O)(=O)C3)=C(SC3CC[S+]([O-])C3)C2S1', 'CC(O)C1=C(C(=O)OCC(=O)O)N2C(=O)C(SC3CC[S+]([O-])C3)=C(C(=O)O)SC12', 'CC(O)C1=C(C(=O)OCc2ccccc2)SC2C(C(=O)OC(C)C3C[S+]([O-])C3)N12', 'CCC(CC)C(=O)OCCOC(=O)C1=C(SC2CC[S+]([O-])C2)N2C(=O)C(NC(C)=O)C2SC1']","[-6.1299042702, -6.4479222298, -6.4666938782, -6.5711507797, -6.6698269844, -7.0009260178, -7.0257639885, -7.0406160355, -7.1637158394, -7.3173604012, -7.3314027786, -7.4376549721, -7.5673060417, -7.7418160439, -7.8236103058, -8.0333566666, -8.1302185059, -9.150510788]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'CCNC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccccc2)cc13', 'CN(Cc1ccc(Cl)cc1)c1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(OCc2ccccc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccc(Cl)cc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccccc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OCC(O)COc2ccccc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccc(I)cc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccccc2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OCC(O)CO)cc13', 'CN(Cc1cccc(O)c1)c1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3']","[-2.6368908882, -2.8262372017, -3.3802268505, -4.2223873138, -4.4002795219, -4.4351868629, -5.1515693665, -5.2285380363, -5.2607698441, -5.4545588493, -5.539560318, -5.5466938019, -5.6253237724, -5.719810009, -5.7757210732, -6.322353363]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['O=c1nc(-c2ccccc2)c2cc(Cl)ccc2[nH]1', 'O=c1nc(-c2ccccc2)c2ccc(Cl)cc2[nH]1', 'COc1ccc(CCNc2nc3cc(Cl)ccc3[nH]c2=O)cc1', 'COc1ccc(C=CCNc2nc3cc(Cl)ccc3[nH]c2=O)cc1', 'COc1ccc(CNc2nc3cc(Cl)ccc3[nH]c2=O)cc1', 'COc1ccc(C=CCNC2=Nc3cc(Cl)ccc3NC2c2ccccc2)cc1', 'COc1ccc(CCNC2=Nc3cc(Cl)ccc3NC2c2ccccc2)cc1', 'CCOC(=O)CN1CCN(C2=Nc3cc(Cl)ccc3NC2c2ccccc2)CC1', 'COc1ccc(CNC2=Nc3cc(Cl)ccc3NC2c2ccccc2)cc1']","[-2.7854139805, -4.6777982712, -5.2592177391, -5.7811598778, -5.784787178, -5.8379788399, -6.1037116051, -6.1128377914, -6.4921379089]"
