index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['CC(C)[N+]1(C)C2CCC1CC(O)C2', 'CC(C)[N+]12C3CCC1CC(O)CC2CC3', 'CC(C)[N+]12CCC1CC(O)CC2C1CC1', 'O=C(O)C(CO)c1ccccc1', 'CC(C)[N+]1(C2CC3CCC(C2)[N+]3(C)[O-])CCCC1', 'CC(C)[N+]12C3CCC1CC(OC(=O)C(CO)c1ccccc1)CC2CC3', 'CC(C)[N+]1([O-])C2CCC1CC(O)C2', 'CC(C)[N+]12CCC1CC(O)CC2CC1CC1', 'CC(C)[N+]1([O-])C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2']","[-1.2560758591, -2.3020348549, -4.0187563896, -4.2144470215, -5.0360279083, -5.210641861, -5.8593373299, -5.991437912, -6.4008741379]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['COc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCN(C)C(C2)C1CCCC3O']","[-2.0280065536, -2.2953023911, -5.4698405266]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2N=C1O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)C1=Nc2ccc(Cl)cc2C(c2ccc(O)cc2)=NC1C(=O)O', 'O=C(O)CC1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O']","[-1.1728994846, -3.0027177334, -3.005543232, -3.1714684963, -4.1182627678, -4.3324475288, -4.8426766396]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(OC)ccc4C3CCC21C']","[-0.9314876795, -2.354033947, -3.4380984306]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'Oc1ccc(C(F)(F)F)cc1', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)C1OC(ONCC(Oc2ccc(C(F)(F)F)cc2)c2ccccc2)C(O)C(O)C1O', 'O=C(O)C1OC(ON(CCC(Oc2ccc(C(F)(F)F)cc2)c2ccccc2)c2ccccc2)C(O)C(O)C1O']","[-1.7811611891, -2.3853504658, -3.5102014542, -3.956230402, -4.44861269, -5.9538564682]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCOCCCOP(=O)(O)O', 'CCCCCCCCCCCOCCCOP(=O)(O)O', 'CCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'Nc1ccn(CC(O)COP(=O)(O)O)c(=O)n1', 'CC(O)CCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCOCCCOP(=O)(O)O', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCO)c(=O)n1', 'CC(O)CCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCOCCCOP(=O)(O)CO', 'CC(O)CCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCOCCCOP(=O)(O)COP(=O)(O)O', 'CCCCCCCCCCCCOCCCOP(=O)(O)COP(=O)(O)O', 'CCCCCCCCCCOCCCOP(=O)(O)O', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCCO)c(=O)n1', 'CCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCOCCCOP(=O)(O)CO', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCO)c(=O)n1', 'CCCCCCCCCCOCCCOP(=O)(O)COP(=O)(O)Cn1ccc(N)nc1=O']","[-3.5699572563, -3.7114429474, -4.1344842911, -4.2434148788, -4.2529892921, -4.2699742317, -4.2814860344, -4.4164333344, -4.5523991585, -4.6769542694, -4.692340374, -4.7037510872, -4.7777762413, -4.8957862854, -4.9468502998, -5.0693325996, -5.1014909744, -5.3655576706, -5.393409729]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)CC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CC(O)C12', 'CC(=O)Oc1ccc2c(c1)C(O)CC1C2CCC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OS(=O)(=O)O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)C1CCC3(C)C(OC4OC(C(=O)O)C(O)C(O)C4O)CCC3C1CC2', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(O)CC(O)C12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(O)C(O)CC12']","[-1.2412680387, -2.4080479145, -2.7944300175, -4.057164669, -4.6099367142, -4.9072999954, -5.1454834938, -5.3258929253, -5.3450093269, -5.350851059, -5.356487751]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CCC(CC)C(=O)O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)C2NC(=O)C(C(C)O)C2S1', 'CC(O)C(C(=O)O)C1NC(C(=O)O)C(SC2CCS(=O)(=O)C2)S1', 'CCC(C(=O)O)C(C)O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)C2C(C(C)O)C(=O)N12', 'CCC(C(=O)O)C(=O)O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)C2NC(=O)C(C(C)O)C2S1', 'CC(O)C(C(=O)O)C1CSC(SC2CCS(=O)(=O)C2)=C(C(=O)O)N1', 'CC(O)C(C(=O)O)C1NC(C(=O)O)=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)C2NC(=O)C(C(C)O)C2[S+]1[O-]', 'CC(O)C(C(=O)O)C1NC(C(=O)O)C(SC2CC[S+]([O-])C2)S1', 'CCC(C)C(=O)O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)C2C(C(C)O)C(=O)N12']","[-2.0138540268, -3.3988845348, -4.0622134209, -4.1701869965, -4.2169117928, -4.2217178345, -4.2898287773, -4.8394265175, -4.9783921242, -5.0205774307, -5.1046819687, -5.2183847427, -5.2265615463]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(O)c13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC2C1Cc1cc(O)c(O)cc13', 'CN1CCC23c4cc(O)ccc4CC1C2CCCC3O', 'CN1CCC23CCCCC2C1Cc1cc(OS(=O)(=O)O)c(O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'CN1CCC23CCCCC1C2Cc1cc(O)c(O)cc13', 'Oc1ccc2c(c1)CC1NCCC23CCCCC13', 'CN1CCC23CCCCC2C1Cc1cc(O)c(OS(=O)(=O)O)cc13', 'CN1CCC23CCCCC1C2Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23c4cc(O)c(O)cc4CC2N(C)CCC32CCCCC12']","[-1.8447186947, -2.8603034019, -3.7041482925, -4.8993468285, -4.9199538231, -4.9313864708, -5.0253195763, -5.2384495735, -5.5675797462, -5.779188633, -5.9028301239, -6.4872379303]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1']","[-0.8518807888, -3.3263657093, -4.419634819]"
