index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C[N+]1(Cc2ccccc2)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C[N+]1(Cc2cc(-c3ccccc3)no2)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C[N+]1(CCc2ccccc2)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(Cc2ccn(-c3ccccc3)n2)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(CN1CCC(O)C1)c1ccccc1)C2', 'C[N+]1(CC2CC2)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(Cc2ccccc2)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CN1CCC(O)C1)c1ccccc1)C2', 'CC[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC[N+]1(C2CC2)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C[N+]1(Cc2cc(-c3ccccc3)on2)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(Cc2cc(-c3ccccc3)no2)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C[N+]1(Cc2ccc(I)cc2)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C[N+]1(C2CC2)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CN)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CN1CCC(O)(c3ccccc3)CC1)c1ccccc1)C2', 'CC(C(=O)OC1CC2CCC(C1)[N+]2(C)C)c1ccccc1']","[-1.0466960669, -1.9649040699, -3.1469275951, -3.6803321838, -3.7355394363, -3.932128191, -4.1509790421, -4.1692728996, -4.2528047562, -4.2587571144, -4.2756843567, -4.4979276657, -4.5431666374, -4.6929273605, -4.8424248695, -4.8562173843, -5.7445955276, -5.8237295151]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13', 'COc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1', 'COc1ccccc1CNc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'COc1cccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)c1', 'CN1CCC23CCCCC2C1Cc1ccc(NC(=O)Nc2ccc(I)cc2)cc13', 'CCNC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'COc1ccccc1CN(C)c1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CNC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'COc1cccc(CN(C)c2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)c1', 'CN1CCC23CCCCC2C1Cc1ccc(NC(=O)Nc2ccccc2)cc13', 'COc1ccc(CN(C)c2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCCCC1)CC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C(=O)Nc1ccccc1)CC3', 'COc1ccc(NC(=O)N2CCC34CCCCC3C2Cc2ccc(OC)cc24)cc1', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C(=O)Nc1cccc(C)c1)CC3']","[-1.7822725773, -1.9790619612, -2.0011398792, -2.3449966908, -2.908472538, -3.2938308716, -3.7008652687, -3.9260568619, -4.0287861824, -4.3483138084, -4.4376983643, -4.6375555992, -4.7120962143, -4.7420325279, -4.7933530807, -4.850476265, -4.9336137772, -5.6615176201, -6.0566945076]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C(Nc1ccc(O)cc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(Nc1ccc(C(F)(F)F)cc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'CCN(CC)C(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'Cc1ccc(NC(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1', 'CCOC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'COc1ccc(NC(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1', 'CCCCOC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(Nc1ccc(O)c(Cl)c1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'COc1ccc(CNC(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1', 'CN1CCN(C(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)CC1', 'Cc1ccc(S(=O)(=O)NC(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1', 'CC(C)(C)c1ccc(NC(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1', 'CCCCNC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'CC(C)OC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'CC(C)c1ccc(NC(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1', 'O=C(Nc1ccc(F)c(Cl)c1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(NCc1ccc(O)cc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'CC(NC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O)c1ccc(C(F)(F)F)cc1', 'CC(NC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O)c1ccccc1']","[-2.2449817657, -2.6131203175, -2.806385994, -2.8146431446, -2.8655431271, -2.874740839, -3.5313363075, -3.7231764793, -3.8095750809, -3.8467385769, -3.8603060246, -4.0325036049, -4.043361187, -4.1656808853, -4.2308835983, -4.4966664314, -4.5680060387, -5.6653594971, -6.0161662102]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4ccccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCC=C)ccc4C3CCC21C', 'CC#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(-c5ccc(O)cc5)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(-c5ccccc5)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCc5ccccc5)ccc4C3CCC21C', 'CC#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(-c5ccc(OC)c(OC)c5)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(N)ccc4C3CCC21C', 'CC#CC1(O)CCC2C3CCc4ccccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(N(C)C)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC(=O)NC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCC=C(C)C)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCCCO)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(-c5ccccc5O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(-c5ccc(OC)cc5)ccc4C3CCC21C']","[-0.6565874815, -2.3002362251, -4.0160088539, -4.2509508133, -4.8948502541, -5.056704998, -5.1578493118, -5.7429075241, -5.978474617, -6.1797776222, -6.2002134323, -6.2283401489, -6.2459044456, -6.6593813896, -6.6681604385, -6.6969881058, -6.7570285797, -7.055249691]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['O=C(COc1ccc(C(F)(F)F)cc1)c1ccc(Cl)nc1', 'NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'NCC=C(F)COc1ccc(C(F)(F)F)cc1', 'CNCCC(Oc1cccc2ccccc12)c1ccccc1', 'FC(F)(F)c1ccc(OCCCN2CCN(c3ccccn3)CC2)cc1', 'CNCCC(Oc1ccccc1C)c1ccccc1', 'CNCCC(c1ccccc1)n1c(=O)sc2ccccc21', 'CNCCC(c1ccccc1)n1c(=O)n(C)c2ccccc21', 'CNCCC(Oc1ccccc1OC)c1ccccc1', 'CNCCC(Oc1cc(Cl)ccc1C#N)c1ccccc1', 'CNCCC(Oc1cccc(OC)c1)c1ccccc1', 'CNCCC(c1ccccc1)n1c(=O)[nH]c2ccccc21', 'NCCC(Oc1cccc2ccccc12)c1ccccc1', 'CNCCC(Oc1ccc(OC2CCCC2)cc1)c1ccccc1', 'CNCCC(Oc1cccc(Cl)c1C)c1ccccc1', 'CNCCC(c1ccccc1)n1ccc2ccccc21', 'NCCC(Oc1ccccc1)c1ccccc1', 'CNCCC(Oc1ccc(OC)cc1)c1ccccc1', 'CNCCC(Oc1c(Cl)cccc1Cl)c1ccccc1', 'NCCOc1ccc(C(F)(F)F)cc1']","[-1.7034987211, -1.7785277367, -2.3662805557, -2.5150053501, -2.9124920368, -3.0705616474, -3.073892355, -3.3670578003, -3.3757183552, -3.4066708088, -4.6160445213, -4.7368831635, -4.7456450462, -4.782037735, -4.955271244, -5.0322904587, -5.061776638, -5.1791296005, -5.244081974, -5.3365750313]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCCCCCOP(=O)(O)COCCCO[N+](=O)[O-]', 'CCCCCCCCCCCCCCCCOP(=O)([O-])COCCC[n+]1ccc(C(N)=O)cc1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])COCCC[n+]1cccc2ccccc21', 'CCCCCCCCCCCCCCCCOP(=O)(O)COCCCOc1ccc(-c2noc(=O)[nH]2)cc1', 'CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COc1ccc(-c2noc(=O)[nH]2)cc1', 'CCCCCCCCCCCCCCCCOP(=O)(O)COCCCO', 'CCCCCCCCCCCCCCCCCOP(=O)(O)COCCCO[N+](=O)[O-]', 'CCCCCCCCCCCCCCCCOP(=O)([O-])COCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCCOP(=O)([O-])COCCC[n+]1ccc(C(N)=O)cc1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])COCCC[n+]1cccc(C(=O)O)c1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])COCCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])COCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])COCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCCOP(=O)([O-])COCCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOCCCOP(=O)([O-])COCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])COCCC[n+]1ccccc1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])COCCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCCCOP(=O)([O-])COCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOCCCOP(=O)([O-])COCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCCOP(=O)([O-])COCC[N+]1(C)CCOCC1']","[-0.9882537127, -2.1923143864, -3.2864744663, -3.3067004681, -3.3316531181, -3.4353246689, -3.5307252407, -3.5430481434, -3.7267687321, -3.7745745182, -3.9946014881, -3.9946057796, -4.2189559937, -4.3496279716, -4.476307869, -4.6975402832, -4.7674312592, -4.8709802628, -4.8795928955, -5.1500353813]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCc5ccccc5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)c5ccc(O)cc5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)Nc5ccccc5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)c5ccccc5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCc5ccc(OC(F)(F)F)cc5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)C5CC5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC5CCCC5=O)cc4CCC3C1CCC2O', 'COc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC12CCC3c4ccc(OC5CCCCC5=O)cc4CCC3C1CCC2O', 'CC(C)(C)C(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CNC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CCOc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC12CCC3c4ccc(OC5CCCCC5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)Nc5ccc(F)cc5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC5OC(CO)C(O)C(O)C5O)cc4CCC3C1CCC2O', 'CCCCCCNC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC12CCC3c4ccc(OCc5ccc(Cl)cc5)cc4CCC3C1CCC2O']","[-1.0529937744, -1.834202528, -3.051789999, -3.2283678055, -3.2533388138, -3.5409431458, -3.8205840588, -4.1360092163, -4.2074437141, -4.2440137863, -4.2452201843, -4.3733997345, -4.4090976715, -4.4134163857, -4.4235711098, -4.5390486717, -4.9754371643, -5.0283155441, -5.3388824463]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)OCc3ccccc3)=C(SC3CC[S+]([O-])C3)SC12', 'COC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCCCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCSC1=C(C(=O)OCOC(=O)C(CC)CC)N2C(=O)C(C(C)O)C2S1', 'CCC(CC)OC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCCCNC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'C=CCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)NC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(C)OC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)OCc3cccc(Cl)c3)=C(SC3CC[S+]([O-])C3)SC12', 'CC(C)OC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)OCC(F)(F)F)=C(SC3CC[S+]([O-])C3)SC12', 'CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC(C)C)SC2C(C(C)O)C(=O)N12', 'CCCCCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)OCc3ccccc3Cl)=C(SC3CC[S+]([O-])C3)SC12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC(C)C(=O)O)SC2C(C(C)O)C(=O)N12']","[-0.9536890984, -1.8413071632, -2.6150193214, -2.6872587204, -2.6873731613, -3.7432012558, -3.9662144184, -4.0591206551, -4.2175536156, -4.2630052567, -4.7332773209, -4.7416439056, -4.9151468277, -5.0517554283, -5.0642471313, -5.2774276733, -5.3598499298, -5.4059205055, -5.4939842224, -6.6452937126]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13', 'CN1CCC23CCCCC2C1Cc1ccccc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCCCC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(-c2ccccc2)cc13', 'Oc1ccc(CN2CCC34CCCCC3C2Cc2ccc(O)cc24)cc1', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(Cc1ccccc1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NC(=O)Nc2ccc(I)cc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccc(O)cc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(-c2ccc(O)cc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccc(I)cc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OCc2ccccc2)cc13', 'Cc1ccc(CN2CCC34CCCCC3C2Cc2ccc(O)cc24)cc1', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(Cc1ccc(Cl)cc1)CC3']","[-1.6392091513, -2.1559166908, -2.3229627609, -2.763276577, -3.7903990746, -3.8512353897, -3.8985068798, -4.6241254807, -4.812060833, -4.8814888, -4.9335432053, -5.0121560097, -5.0200886726, -5.0420017242, -5.2087435722, -5.3357605934, -5.5962157249]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['O=C1CN=C(c2ccc(OCCCN3CCCCC3)cc2)c2cc(Cl)ccc2N1', 'COc1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'Cc1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'O=C1CN=C(c2ccc(OCCCN3CCCCCC3)cc2)c2cc(Cl)ccc2N1', 'O=C1CN=C(c2ccc(OCCCN3CCCC3)cc2)c2cc(Cl)ccc2N1', 'CCCOc1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'CC(C)Oc1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'COc1ccc2c(c1)C(c1ccc(OCCCN3CCCCC3)cc1)=NCC(=O)N2', 'O=C1CN=C(c2ccc(OCCN3CCCCCC3)cc2)c2cc(Cl)ccc2N1', 'O=C1CN=C(c2ccc(OCCN3CCCCC3)cc2)c2cc(Cl)ccc2N1', 'O=C1CN=C(c2ccc(OCCN3CCCC3)cc2)c2cc(Cl)ccc2N1', 'O=C1CN=C(c2ccccc2OCc2ccccc2)c2cc(Cl)ccc2N1', 'CCOc1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'O=C1CN=C(c2ccc(OCc3ccccn3)cc2)c2cc(Cl)ccc2N1', 'O=C1CN=C(c2ccc(OCc3ccccc3)cc2)c2cc(Cl)ccc2N1', 'CCN(CC)CCCOc1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'O=C1CN=C(c2ccccc2)c2cc(Cl)c(-c3ccc(O)cc3)cc2N1', 'O=C1CN=C(c2ccccc2)c2cc(Cl)c(-c3ccc(F)cc3)cc2N1']","[-2.6568431854, -2.7324995995, -3.0009226799, -3.1729044914, -3.2833416462, -3.4526538849, -3.9507572651, -4.088101387, -4.1453261375, -4.1929035187, -4.4221515656, -4.8236231804, -4.8500943184, -4.9083390236, -4.9284305573, -4.9805326462, -4.9889202118, -5.3518276215, -6.9219331741]"
