index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2', 'C[N+]1(Cc2ccccc2)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C(=O)OC1CC2CCC(C1)[N+]2(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)c1ccccc1Br)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)Oc1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)N1CCCCC1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)Oc1ccccc1Br)C2']","[-1.5824824572, -4.0584001541, -4.2166633606, -4.6897826195, -4.7500295639, -5.4619083405, -5.7970261574, -6.1909351349, -6.3828248978, -7.2654342651, -7.9249715805]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CCC1CCCCC1)CC3', 'COc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccccc2O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCCC1)CC3', 'COc1cccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)c1', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccccc2)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCCCC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccc(O)cc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccc(I)cc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OCc2ccccc2)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CCCCCCCCCC(=O)O)CC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CCCCCCCCC(=O)O)CC3']","[-2.1316039562, -2.6975049973, -3.0111601353, -4.1493468285, -4.1731071472, -4.1982660294, -4.8143668175, -5.0318212509, -5.2187542915, -5.4143414497, -5.516125679, -5.5478239059, -5.5493731499, -5.564699173, -5.6268072128, -5.8284840584, -6.0000858307]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C(Nc1ccccc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'CN1CCN(C(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)CC1', 'O=C(Nc1ccc(O)cc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'COc1ccc2c(c1)C(c1ccccc1)=NC(C(=O)O)C(=O)N2', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)N1CCN(c2ccncc2)CC1', 'O=C(Nc1ccc(F)cc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(Nc1ccc2ncccc2c1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)c1ccc(NC(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1', 'O=C(Nc1ccc(Cl)cc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)N1CCN(c2ccccc2)CC1', 'O=C(Nc1ccc([N+](=O)[O-])cc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(Nc1ccc(N2CCOCC2)cc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(Nc1ccc(-c2nnn[nH]2)cc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(Nc1cccc(O)c1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)N1CCN(c2ccncn2)CC1', 'O=C(Nc1ccc(N2CCCCC2)cc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)N1CCC(c2ccccc2)CC1', 'O=C(Nc1ccc(-c2cnco2)cc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(Nc1ccc2c(c1)OCO2)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O']","[-4.2122206688, -4.2582278252, -4.6105647087, -4.8617973328, -5.1645350456, -5.1743969917, -5.200688839, -5.5875878334, -5.7121934891, -5.7249412537, -5.8154907227, -6.1472101212, -6.173438549, -6.2042088509, -6.3260974884, -6.3373355865, -6.3605775833, -6.5939621925, -6.6034560204]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4ccccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(N)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCc5ccccc5)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(N(C)C)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCCCCCCCCCBr)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCc5ccccc5OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC(=O)C5CC5)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC(=O)N(C)C)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC5OC(CO)C(O)C(O)C5O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(-c5ccccc5)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCCCCCCCCC(=O)O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCCCCCCCC(=O)NO)ccc4C3CCC21C']","[-1.3900566101, -2.8161714077, -4.9553956985, -5.022108078, -5.3089494705, -5.4837503433, -5.5119147301, -5.6193990707, -5.6319003105, -5.7248253822, -5.8349308968, -6.0866932869, -6.2621774673]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['CNCCC(Oc1cccc2ccccc12)c1ccccc1', 'CNCCC(c1ccccc1)n1ccc2ccccc21', 'CNCCC(c1ccccc1)n1c(=O)n(C)c2ccccc21', 'CNCCC(Oc1ccccc1C(F)(F)F)c1ccccc1', 'NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'O=C(COc1ccc(C(F)(F)F)cc1)c1ccc(Cl)nc1', 'CNCCC(Oc1ccccc1C)c1ccccc1', 'NCC=C(F)COc1ccc(C(F)(F)F)cc1', 'CNCCC(Oc1cccc(Cl)c1Cl)c1ccccc1', 'CNCCC(c1ccccc1)n1c(=O)sc2ccccc21', 'CNCCC(Oc1cccc(C(F)(F)F)c1)c1ccccc1', 'CNCCC(Oc1ccccc1OC)c1ccccc1', 'CNCCC(Oc1ccc(Cl)c(Cl)c1)c1ccccc1', 'Cc1noc(C)c1COc1ccc(C(F)(F)F)cc1', 'CNCCC(c1ccccc1)n1c(=O)[nH]c2ccccc21', 'CNCCC(c1ccccc1)n1c(=O)oc2ccccc21', 'CNCCC(c1ccccc1)n1c(=O)n(C(C)C)c2ccccc21', 'N#CN1CCC(NC(=O)Oc2ccc(C(F)(F)F)cc2)C1']","[-2.2379500866, -3.8335447311, -4.0574245453, -4.2653903961, -4.2832875252, -4.5422635078, -4.6187520027, -4.6223483086, -4.6723713875, -4.790060997, -4.9384598732, -4.965839386, -5.0404577255, -6.2026147842, -6.22757864, -6.3870482445, -6.5613350868, -6.8623633385]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCCCCCOCCCP(=O)(O)OCC(CO)OC', 'CCCCCCCCCCCCCCCCOP(=O)([O-])COCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])COCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOP(=O)(O)COc1ccc(-c2noc(=O)[nH]2)cc1', 'CCCCCCCCCCCCCCCCOCCCP(=O)(O)OCC(N)CO', 'CCCCCCCCCCCCCCCCOCCCP(=O)(O)OCC(N)COP(=O)(O)O', 'CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COc1ccc(-c2noc(=O)[nH]2)cc1', 'CCCCCCCCCCCCCCCCOCCCOP(=O)([O-])COCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOCCCOP(=O)([O-])COCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])COCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCCOCCCP(=O)(O)OCC(Br)P(=O)(O)O', 'CCCCCCCCCCCCCCCOCCCP(=O)(O)OCC(CO)OC', 'CCCCCCCCCCCCCCCCOCCCP(=O)(O)OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOCCCP(=O)(O)OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOCCCP(=O)(O)OCC(CO)OCCCCC', 'CCCCCCCCCCCCCCCCOCCCP(=O)(O)COCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOCCCP(=O)(O)OCC(O)Cn1ccc(=O)[nH]c1=O', 'CCCCCCCCCCCCCCCCOCCCP(=O)(O)OCC([N+](C)(C)C)P(=O)(O)O']","[-2.5716695786, -3.2218370438, -3.907964468, -4.1460576057, -4.2704777718, -4.3515815735, -4.3754177094, -4.6907916069, -4.8778424263, -5.0237483978, -5.0708708763, -5.2137513161, -5.4561800957, -5.5336198807, -5.7325239182, -5.7714424133, -5.9357175827, -6.0322761536]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CN(C)C(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'COc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CNC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CN(C(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12)c1ccccc1', 'CC12CCC3c4ccc(OC(N)=O)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC5OC(CO)C(O)C(O)C5O)cc4CCC3C1CCC2O', 'CCOc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC12CCC3c4ccc(OCc5ccccc5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCC(=O)O)cc4CCC3C1CCC2O', 'CCNC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC12CCC3c4ccc(OC(=O)Nc5ccccc5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)cc4CCC3C1CCC2O', 'CCCCNC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC12CCC3c4ccc(OC(=O)N5CCCCC5)cc4CCC3C1CCC2O']","[-2.4953446388, -3.0139505863, -3.6241765022, -4.085914135, -4.4439368248, -4.4478878975, -4.4909391403, -4.5296254158, -4.5308446884, -4.9540939331, -4.9577097893, -5.0908532143, -5.1705918312, -5.4990124702, -5.6939120293]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)OCc3ccccc3)=C(SC3CC[S+]([O-])C3)SC12', 'CCC(C)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'COC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)OC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCCC2)SC2C(C(C)O)C(=O)N12', 'CCCCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)OCC(=O)O)=C(SC3CC[S+]([O-])C3)SC12', 'CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCCCC2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC)SC2C(C(C)O)C(=O)N12', 'CCC(C)OC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(C)CC(N)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(N)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCSC1=C(C(=O)OCOC(=O)C(CC)CC)N2C(=O)C(C(C)O)C2S1', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC(C)C)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)OC)C(=O)N12']","[-2.7531182766, -3.5896756649, -3.5937092304, -3.613240242, -3.8792002201, -4.059440136, -4.1793198586, -4.2800536156, -4.6044502258, -4.6200475693, -4.6424689293, -4.9538626671, -5.0195446014, -5.0421104431, -5.2783942223, -5.4284844398, -6.2995848656]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'CN1CCC23CCCCC2C1Cc1ccccc13', 'CN1CCC23CCCCC2C1Cc1ccc(OCc2ccccc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OCC(O)COc2ccccc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccccc2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccccc2)cc13', 'COc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccc(O)cc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(-c2ccccc2)cc13', 'Oc1cccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(CC2CCC2)CC4)c1', 'CN1CCC23CCCCC2C1Cc1ccc(OC(F)(F)F)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCCC1)CC3', 'Oc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(CC2CCC2)CC4)cc1']","[-2.6028723717, -2.9824512005, -3.0833740234, -4.0917840004, -4.6237478256, -4.6631393433, -4.8722133636, -4.8966364861, -4.9500198364, -5.0225849152, -5.1274161339, -5.162689209, -5.793012619, -5.796298027, -5.9534015656, -6.0008502007, -6.0433325768]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['COc1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'O=C1CN=C(c2ccc(OCCCN3CCCCC3)cc2)c2cc(Cl)ccc2N1', 'O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C1CN=C(c2ccc(OCCCN3CCCC3)cc2)c2cc(Cl)ccc2N1', 'O=C1CN=C(c2ccccc2OCCCN2CCCCC2)c2cc(Cl)ccc2N1', 'O=C1CN=C(c2ccccc2OCc2ccccc2)c2cc(Cl)ccc2N1', 'O=C1CN=C(c2cccc(OCCCN3CCCCC3)c2)c2cc(Cl)ccc2N1']","[-3.5347418785, -4.1741914749, -4.6911401749, -4.9105482101, -5.1394500732, -5.2871789932, -5.5142364502]"
