index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['CC(C)[N+]1(C)C2CCC1CC(O)C2', 'C=C(Cc1ccccc1)C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C', 'O=C(O)C(CO)c1ccccc1', 'CC(C)[N+]12CCC1CC(O)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccc(O)cc1)C2', 'CC1(C)C2CC[N+]1(C)CC(O)C2', 'CC(C)N1C2CCC1CC(O)C2', 'CC1C(O)CC2CCC1[N+]2(C)C(C)C', 'CC(C)[N+]1(C)C2CCC1(C)CC(OC(=O)C(CO)c1ccccc1)C2', 'CC1(C)C2CCC1CC(O)C2', 'C=C(C)[N+]1(C)C2CCC1CC(O)C2', 'C=C(Cc1ccccc1)C(=O)OC1CC2CCC(C1)[N+]2(C)[O-]', 'CC1C(OC(=O)C(CO)c2ccccc2)CC2CCC1[N+]2(C)C(C)C', 'CC12CCC(CC(OC(=O)C(CO)c3ccccc3)C1)[N+]2(C)[O-]', 'C=C(Cc1ccccc1)C(=O)OC1CC2CCC(C1)N2C(C)C', 'CC1C(OC(=O)C(CO)c2ccccc2)CC2CCC1[N+]2(C)[O-]', 'CN1C2CCC1CC(O)C2', 'CC1C(O)CC2CCC1N2C(=O)C(CO)c1ccccc1']","[-0.1094690785, -2.4307217598, -5.6173462868, -6.1674966812, -6.5289239883, -6.9186854362, -7.0640130043, -7.2087249756, -7.3895254135, -7.7430400848, -7.7634968758, -8.0860137939, -8.2817115784, -8.3483657837, -8.3589754105, -8.5258235931, -8.7962646484, -8.8584976196]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['COc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCN(C)C(Cc4ccc(O)cc42)C3C1', 'CN1CCC23CC1C2Cc1ccc(O)cc13', 'CN1CCC23CCCCC1C2Cc1ccc(O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3O', 'COc1ccc2c(c1)CC1NCCC23CCCCC13', 'COc1ccc2c(c1)C13CCCCC1C(C2)[N+](C)([O-])CC3', 'COc1ccc2c(c1)C13CCCCC1N(C)CC2O3', 'COc1ccc2c(c1)C13CCCCC1NCC23', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3O']","[-0.8283165693, -1.7104554176, -1.7714172602, -2.6693480015, -3.3688738346, -4.9962692261, -5.6837339401, -6.0027766228, -6.2331438065, -6.243806839, -6.8457117081]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)c1nc(-c2ccc(O)cc2)nc2ccc(Cl)cc12', 'O=C(O)C1N=C(c2ccccc2)c2cc(O)ccc2NC1=O', 'O=C(O)c1nc(-c2ccccc2)nc2ccc(Cl)cc12', 'O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)C1=NC(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1=NC(c2ccccc2)=Nc2cc(O)ccc2N1', 'O=C(O)C1=NC(c2ccccc2)=Nc2cc(O)ccc2NC1=O', 'O=C(O)c1nc(-c2ccccc2)nc2ccc(O)cc12', 'O=C(O)C1N=C(c2ccccc2)c2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc2NC1=O', 'NC(CCC(=O)NC(CSC1C(=O)Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)O)C(=O)NCC(=O)O)C(=O)O', 'O=C(O)c1c(-c2ccc(O)cc2)c2cc(Cl)ccc2[nH]c1=O']","[-0.4835885763, -1.6909829378, -2.3741061687, -3.2058031559, -4.3869438171, -4.7696943283, -5.1244292259, -5.4579968452, -5.8381953239, -5.9019842148, -5.9104356766, -6.3227930069, -6.667078495, -7.5027923584, -7.5259723663, -7.5666356087]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(O)c4O)C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(O)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5cc(O)ccc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC5OC(C(=O)O)C(O)C(O)C5O)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4ccc(O)cc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(OC)c4O)C3CCC21C', 'C#CC(O)C1CCC2C3CCc4cc(O)ccc4C3CCC12C', 'C#CC1(OS(=O)(=O)O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(Cl)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4Cc5cc(O)ccc5C4C3CCC21C', 'C#CC1(O)CC(O)C2C3CCc4cc(OC)ccc4C3CCC21C']","[-0.1906740069, -2.6243617535, -4.6502962112, -5.0280556679, -6.9424862862, -7.8655219078, -7.9903335571, -8.3570318222, -8.7467422485, -8.7949905396, -8.9473381042, -9.2571115494, -9.3033256531, -9.3919610977, -9.6534461975, -9.7009983063]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'O=C(O)C1OC(ONCCC(Oc2ccc(C(F)(F)F)cc2)c2ccccc2)C(O)C(O)C1O', 'Oc1ccc(C(F)(F)F)cc1', 'CC(O)CC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'O=C(O)CC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CC(=O)NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'OCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'C[N+](C)([O-])CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CN1CCC(Oc2ccc(C(F)(F)F)cc2)c2ccccc21', 'CN(CCC(=O)NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)C1OC(NCCC(Oc2ccc(C(F)(F)F)cc2)c2ccccc2)C(O)C(O)C1O', 'FC(F)(F)c1ccc(OC2CCNCC2)cc1', 'CN(CCC(=O)c1ccc(C(F)(F)F)cc1)c1ccccc1', 'C=C(CCN)c1ccccc1', 'O=C(NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)OC1OC(C(=O)O)C(O)C(O)C1O']","[-0.7218753695, -0.726106286, -5.0459804535, -5.7884011269, -6.004295826, -6.0843353271, -6.1273798943, -6.381503582, -6.7952227592, -7.0326161385, -7.0921778679, -7.1649560928, -7.7687039375, -7.862112999, -8.3412065506, -8.7305440903]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCOP(=O)(O)OCCCO', 'CCCCCCCCCCCOP(=O)(O)OCCCO', 'CCCCCCCCCCCOCCCOP(=O)(O)OCC(Cn1ccc(N)nc1=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'CCCCCCCCCCCCOCCCOP(=O)(O)OCC(Cn1ccc(N)nc1=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'Nc1ccn(CC(O)COP(=O)(O)OCCCO)c(=O)n1', 'CCCCCCCCCCCCCOP(=O)(O)OCCCO', 'CCCCCCCCCCCCOCCCOP(=O)(O)OCC(O)Cn1ccc(NC(C)=O)nc1=O', 'CCCCCCCCCCCCOP(=O)(O)OCC(Cn1ccc(N)nc1=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'CCCCCCCCCCCOCCCOP(=O)(O)OCC(O)Cn1ccc(NC(C)=O)nc1=O', 'CCCCCCCCCCCCCOP(=O)(O)OCC(Cn1ccc(N)nc1=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCOCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCOCCCOP(=O)(O)O', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCCOP(=O)(O)OCCCn1ccc(N)nc1=O', 'CCCCCCCCCCCOP(=O)(O)OCCCn1ccc(N)nc1=O', 'CCCCCCCCCCCCCOCCCOP(=O)(O)O', 'CCCCCCCCCCCCCOCCCOP(=O)(O)OCC(Cn1ccc(N)nc1=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'CCCCCCCCCCCCOCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O']","[-2.5297412872, -2.6973791122, -3.1340630054, -3.356648922, -3.5489091873, -3.6118760109, -3.7418403625, -3.8002648354, -3.8756868839, -3.8968009949, -4.0010299683, -4.1093935966, -4.1227359772, -4.1720533371, -4.2167620659, -4.391274929, -4.5792655945, -4.6743607521, -4.6805782318]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OS(=O)(=O)O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CC(O)C12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)CC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)C(O)CC1C2CCC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CC(O)C2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OO)CCC12', 'CC(=O)Oc1ccc2c(c1)CC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(=O)CC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)C1CCC3(C)C(OC4OC(C(=O)O)C(O)C(O)C4O)CCC3C1CC2', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(OS(=O)(=O)O)CCC12', 'CC(=O)Oc1ccc2c(c1)CC(O)C1C2CCC2(C)C(O)CCC12']","[-0.3043818474, -2.2087671757, -2.9768874645, -3.5083665848, -3.5262207985, -4.1500759125, -4.7529726028, -6.4925642014, -6.5008802414, -6.7537107468, -7.0080685616, -7.1886115074, -7.6405658722, -7.6450533867, -7.8120861053, -8.0855360031, -8.115445137]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)CSC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[N+]([O-])([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12)C(C)O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)C2C(C(C)O)C(=O)N12', 'CC(O)C(C)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[N+](C)([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)C(C(C)O)C(=O)N1', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)CSC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)OC3OC(C(=O)O)C(O)C(O)C3O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)C(=O)N1', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)[S+]([O-])C2C(C(C)O)C(=O)N12']","[-2.3924567699, -4.1449136734, -4.4069042206, -5.1162796021, -5.2466077805, -5.2564630508, -5.4935302734, -5.5236558914, -5.5367398262, -5.5620999336, -5.9883713722, -5.9914040565, -6.3013715744, -6.3611426353]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'Oc1ccc2c(c1)C1CCCCC1C1CNCCC21', 'Oc1ccc2c(c1)C1CCCCC1C1C3CNCCC3C21', 'CN1CCC23CC1C2Cc1ccc(O)cc13', 'Oc1ccc2c(c1)C1CCCCC1C1C3CCCCC3C21', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(O)c13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC1C2Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'Oc1ccc2c(c1)C1CCCCC1C1c3c(O)cccc3CC21', 'Oc1ccc2c(c1)C1CCCCC1C1NCCC3(CCNC3)C21', 'CC12CCNC1C1C3CCCCC3c3cc(O)ccc3C12', 'Oc1ccc2c(c1)C1CCCCC1C1C3CNCCC3(O)C21', 'CC12CCNCC1C1C3CCCCC3c3cc(O)ccc3C12', 'Oc1ccc2c(c1)C1CCCCC13CCNCC23']","[-1.3130507469, -1.5468593836, -2.7538449764, -3.1028094292, -3.2656848431, -3.4410023689, -4.080493927, -4.2181820869, -4.5239567757, -4.6944909096, -4.908891201, -5.0119419098, -5.0453343391, -5.0886163712]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1', 'O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'Nc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2', 'O=C1CN=C(c2ccccc2)c2cc(Cl)cc(O)c2N1', 'O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1O', 'CC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O', 'CC1N=C(c2ccccc2)c2cc(Cl)ccc2N1', 'NC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C1CN=C(c2ccccc2)c2cc(Cl)c(O)cc2N1', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'Cn1cc(C2=NCC(=O)Nc3ccc(Cl)cc32)c2ccccc21', 'NC(=O)N1c2ccc(Cl)cc2C(c2ccccc2)=NCC1O']","[-0.1966830641, -3.2833955288, -3.3908090591, -4.4898805618, -4.5731935501, -6.620508194, -7.3393712044, -7.6068916321, -8.0506019592, -8.2343358994, -8.3688173294, -8.4386959076, -9.0095405579, -9.3409376144]"
