index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['CC(C)[N+]1(C)C2CCC1CC(O)C2', 'C=C(Cc1ccccc1)C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C', 'C=C(CO)c1ccccc1', 'CC(C)[N+]1(C2OC(C(=O)O)C(O)C(O)C2O)C2CCC1CC2', 'CC(C)[N+]1(C)C2CCC1C(O)C2', 'O=C(O)C(CO)c1ccccc1', 'CC(C)[N+]1([O-])C2CCC1CC(O)C2', 'CC(C)[N+]1(C)C2CCC1CC(O)(O)C2', 'CC(CO)c1ccccc1', 'CC(C)[N+]12CCC1CC(O)C2', 'C=C(CO)C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C', 'C=C(Cc1ccccc1)C(=O)OC1CC2CCC(C1)N2C(C)C', 'C=C(Cc1ccccc1)C(=O)O', 'CC(C)[N+]1(C2OC(C(=O)O)C(O)C(O)C2O)C2CCC1C(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(O)(OC(=O)C(CO)c1ccccc1)C2']","[-0.255779922, -1.6521099806, -4.3418087959, -4.918279171, -5.380241394, -5.6361851692, -6.8569326401, -7.696354866, -7.7514734268, -8.1436414719, -8.1595573425, -8.6211309433, -8.9216079712, -9.090681076, -9.2365379333]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCN(C)C2Cc3ccc(O)cc3C3(CCCCC23)CC1', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCCN3C', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCCN3', 'CN1CCC23CCN(C)C(Cc4ccc(O)cc42)C3C1', 'COc1ccc2c(c1)C13CCC(O)CC1C(C2)N(C)CC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3O']","[-1.6402837038, -2.2108693123, -2.2498586178, -2.3414671421, -2.6371965408, -2.7762556076, -2.8750288486, -3.8372848034]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1CO', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'CC(=O)NC1=NC(C(=O)O)C(=O)Nc2ccc(Cl)cc21', 'CC(=O)NC1C(=O)Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)O', 'O=C(O)C1=Nc2ccc(Cl)cc2C(c2ccc(O)cc2)=NC1', 'O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2N=C1O', 'CC(=O)N1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O']","[-0.5085512996, -1.9553900957, -3.3578038216, -5.0303125381, -5.3696832657, -5.702811718, -6.7558894157, -6.8938541412, -6.8991351128, -7.1709198952, -7.3075060844]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4ccc(O)cc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(O)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5cc(O)c(OC)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(O)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC(O)C1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC5OC(C(=O)O)C(O)C(O)C5O)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCC4c5ccc(OC)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCOc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CC(O)C2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(ccc4O)C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(O)c4O)C3CCC21C', 'C#CC(O)CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(OS(=O)(=O)O)CCC2C3CCc4cc(OC)ccc4C3CCC21C']","[-0.1331210136, -2.3477227688, -5.5105681419, -5.6548867226, -5.871658802, -6.8154916763, -7.5638241768, -7.6380500793, -8.1043844223, -8.4482355118, -8.5181703568, -8.8042697906, -8.8803815842, -8.9407997131, -9.0225353241, -9.0891208649, -9.113825798]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(O)cc1', 'O=C(O)C1OC(ONCCC(Oc2ccc(C(F)(F)F)cc2)c2ccccc2)C(O)C(O)C1O', 'Oc1ccc(C(F)(F)F)cc1', 'OCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1cccc(O)c1', 'CNCCC(Oc1ccc(C#N)cc1)c1ccccc1', 'O=C(O)CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'C[N+](C)([O-])CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'NC(CC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)c1ccccc1', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)c1ccc(O)cc1']","[-0.2998596132, -1.7683781385, -2.7176890373, -6.2631545067, -6.6138634682, -6.6624388695, -7.7682542801, -8.2423095703, -8.2632894516, -8.3476657867, -8.448018074, -8.6075286865]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCO', 'CCCCCCCCCCCO', 'CCCCCCCCCCCCCO', 'CCCCCCCCCCCCOCCCO', 'CCCCCCCCCCCOCCCO', 'CCCCCCCCCCCCCOCCCO', 'CCCCCCCCCCCCOCCCOP(=O)(O)O', 'CCCCCCCCCCCCCCO', 'CCCCCCCCCCCOCCCOP(=O)(O)O', 'CCCCCCCCCCCCCOCCCOP(=O)(O)O', 'Nc1ccn(CC(O)COP(=O)(O)O)c(=O)n1', 'CC(O)CCCCCCCCCOCCCO', 'CCCCCCCCCCCCOCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCOCCC(=O)O', 'CC(O)CCCCCCCCCCOCCCO', 'CCCCCCCCCCCOCCCOP(=O)(O)OCCCn1ccc(N)nc1=O', 'CCCCCCCCCCCCOCCCOP(=O)(O)OCCCn1ccc(N)nc1=O', 'CCCCCCCCCCCOCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCOCCCOP(=O)(O)OCC(O)CO', 'CCCCCCCCCCCCCOCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O']","[-1.1859688759, -1.4091265202, -2.3357791901, -2.5353195667, -2.9726271629, -3.5368413925, -3.6696987152, -4.2024054527, -4.564789772, -4.6217622757, -4.8117370605, -5.209174633, -5.2183856964, -5.2705430984, -5.279984951, -5.4237513542, -5.7053904533, -5.8191924095, -5.850148201, -6.3680677414]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CC(O)C12', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)CC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OS(=O)(=O)O)CCC12', 'CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)CC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(O)CCC12', 'CC12CCC(O)CC1CCC1c3ccc(O)cc3CCC12', 'CC12CCC3c4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2C1CCC1CC(O)CCC12C', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(Oc3ccc(O)cc3)CCC12', 'CC(=O)Oc1ccc2c(c1)C(O)CC1C2CCC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2C(O)C(O)CC12C', 'CC(=O)O']","[-0.2715815902, -2.9430701733, -2.9818923473, -4.0385203362, -4.0940060616, -5.497194767, -6.567085743, -6.6667819023, -7.3441200256, -7.4880032539, -7.5052194595, -7.7236042023, -7.8455181122, -7.8840327263, -7.960811615, -7.9713797569]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CCC(CC)C(=O)O', 'CCC(CC)C(=O)OCOC(=O)C1=C([S+]([O-])C2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)C2NC(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)CSC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCO', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)C2SC(C(C)O)C(=O)N12', 'CCC(C(=O)O)C(=O)O', 'CC(O)C(C)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C(C(=O)O)C(C)OC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)C2C(C(C)O)C(=O)N12', 'CC(O)C(C(=O)O)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)CC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(O)C(C)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)C2NC(=O)C(C(C)O)N2C1=O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12']","[-1.1724610329, -3.3314244747, -3.5480279922, -3.5635092258, -4.1534748077, -4.2213602066, -4.3199577332, -4.3605089188, -4.3643670082, -4.5492386818, -4.5669598579, -4.5705142021, -5.0154933929, -5.0155062675, -5.1666359901]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(O)c13', 'Oc1ccc2c(c1)C1CCCCC1C1Cc3ccc(O)cc3C21', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC1C2Cc1cc(O)c(O)cc13', 'CN1CCC23CCCCC2C(Cc2ccc(OC4OC(C(=O)O)C(O)C(O)C4O)cc23)C1Cc1ccc(O)cc1', 'CN1CCC23CCCCC2C1Cc1cc(O)c(O)cc13', 'CN1CCC23CCCCC2C(Cc2ccc(OC4OC(C(=O)O)C(O)C(O)C4O)cc23)N1C', 'CC1C2Cc3ccc(OC4OC(C(=O)O)C(O)C(O)C4O)cc3C3(CCCCC23)CCN1C', 'CN1CCC23CCCCC1C2Cc1cc(OS(=O)(=O)O)c(O)cc13', 'Oc1ccc2c(c1)CCN1CCc3ccc(O)cc3C3CCCCC3C1C2', 'C[N+]1([O-])CCC23CCCCC2C1Cc1ccc(O)cc13']","[-0.5400287509, -2.0184307098, -3.1598029137, -3.5064380169, -3.9565610886, -4.4819369316, -4.7007656097, -5.0609021187, -5.544690609, -5.7433686256, -5.7696881294, -5.8012418747]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1', 'O=C1CN=C(c2ccccc2)c2cc(Cl)cc(O)c2N1', 'Nc1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'CC(=O)NC1=NCC(=O)Nc2ccc(Cl)cc21', 'O=c1nc(-c2ccc(O)cc2)c2cc(Cl)ccc2[nH]1', 'CC(=O)N1CN=C(c2ccccc2)c2cc(Cl)ccc2NC(=O)C1', 'O=C1CN=C(c2ccc(OC3OC(C(=O)O)C(O)C(O)C3O)cc2)c2cc(Cl)ccc2N1', 'O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1O', 'O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O', 'CC(=O)Nc1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'O=C1CN(C2OC(C(=O)O)C(O)C(O)C2O)c2cc(Cl)ccc2N1', 'CC(O)=C1N=C(c2ccccc2)c2cc(Cl)ccc2N1', 'O=C1CN(C2OC(C(=O)O)C(O)C(O)C2O)c2ccc(Cl)cc2C(c2ccccc2)=N1', 'O=C1CC(=O)N(C2OC(C(=O)O)C(O)C(O)C2O)c2ccc(Cl)cc2N1']","[-0.7999724746, -1.0758417845, -4.5333256721, -4.6895184517, -5.9382133484, -6.0059256554, -6.1414399147, -6.3461670876, -6.4280743599, -6.494020462, -6.5118699074, -6.5402054787, -6.699696064, -6.7200145721, -7.6643271446, -7.821870327]"
