index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['CC(C)[N+]1(C)C2CCC1CC(O)C2', 'CC(C)[N+]1([O-])C2CCC1CC(O)C2', 'O=C(O)C(CO)c1ccccc1', 'C=C(Cc1ccccc1)C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C', 'CC(C)[N+]1([O-])C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(O)(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccc(O)cc1)C2', 'CC(C)[N+]1(C2OC(C(=O)O)C(O)C(O)C2O)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1([O])C2CCC1CC(O)C2', 'C=C(Cc1ccccc1)C(=O)OC1CC2CCC(C1)N2', 'CC(C)N1C2CCC1CC(O)C2', 'CN1C2CCC1CC(O)C2', 'CC(C)[N+]1(C2OC(C(=O)O)C(O)C(O)C2O)C2CCC1CC(O)C2', 'CC(C)[N+]12CCC1CC(O)C2', 'CC(C)[N+]1(C)C2CCC1CC(O)(O)C2', 'O=C(OC1CC2CCC(C1)N2)C(CO)c1ccccc1']","[-0.0627497658, -3.3155286312, -4.6286821365, -5.0568704605, -6.045340538, -7.2612943649, -7.468208313, -7.5701394081, -7.7964081764, -8.0390768051, -8.1791591644, -8.8041791916, -8.8451852798, -8.9005117416, -8.9347515106, -9.2334671021]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['COc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCN(C)C(Cc4ccc(O)cc42)C3C1', 'CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCC(O)CC1C(C2)N(C)CC3', 'CN(C)C1Cc2ccc(O)cc2C23CCCCC(C12)N(C)CC3', 'COc1cc2c(cc1O)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23c4cc(O)ccc4CC(N(C)C)C2CCCCC3C1', 'Cc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'COc1cc2c(cc1O)CC1CCN(C)C2C2CCCCC12', 'CN1CCC23CCCCCC2C1Cc1ccc(O)cc13']","[-0.8055002093, -1.3020989895, -5.0772862434, -5.4209918976, -5.5982756615, -6.0188703537, -6.3690991402, -6.3807377815, -6.5175828934, -6.6388344765]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)c(O)cc2NC1=O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2N=C1O', 'O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(O)ccc2NC1=O', 'O=C1NC(C(=O)O)C(c2ccccc2)=Nc2ccc(Cl)cc21', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)c(O)cc2N=C1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)cc(O)c2NC1=O', 'O=C1NC(C(=O)O)C(c2ccc(O)cc2)=Nc2ccc(Cl)cc21', 'O=C(O)C1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'NC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2cccc(O)c2)c2cc(Cl)ccc2NC1=O']","[-0.4919976592, -2.4322171211, -2.5239503384, -2.5859453678, -3.7593023777, -4.6206469536, -4.6508607864, -4.6564922333, -4.8987560272, -5.4833936691, -5.8246350288, -5.8722653389, -5.9840216637, -7.1450614929, -7.2051839828]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(O)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(O)c4O)C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5cc(O)c(O)cc5CCC4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CC(O)C2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC)c(O)cc4C3CCC21C', 'C#CC1(OS(=O)(=O)O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3C(O)Cc4cc(OC)ccc4C3CCC21C', 'C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC5OC(C(=O)O)C(O)C(O)C5O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3c4ccc(O)cc4CCC3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C#C', 'C#CC1(O)CCC2C3CCc4c(ccc(OC)c4O)C3CCC21C', 'C#CC1(O)CCC2C3CC(=O)c4cc(OC)ccc4C3CCC21C']","[-0.3450781107, -2.7892634869, -2.8872485161, -4.5027246475, -4.5317668915, -5.4092502594, -5.7530026436, -6.0750350952, -6.4916453362, -6.6989488602, -6.8331270218, -6.9507465363, -7.3285269737, -7.8184022903, -7.9150223732, -7.9728484154, -8.2793569565, -8.5480337143]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(O)cc1', 'O=C(NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)OC1OC(C(=O)O)C(O)C(O)C1O', 'C[N+](C)([O-])CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'OCNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'Oc1ccc(C(F)(F)F)cc1', 'OCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'C[N+]([O-])(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'FC(F)(F)c1ccccc1', 'NCNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'O=C1C2OC2C=CN1CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1']","[-0.4254803658, -1.1074846983, -5.1040291786, -7.0654993057, -7.146478653, -7.5375390053, -7.671204567, -7.7103047371, -7.8733229637, -8.926156044, -8.9899158478, -9.5195493698]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCCCO', 'CCCCCCCCCCCCCO', 'CCCCCCCCCCCCCCCO', 'CCCCCCCCCCCCCCOCCC(=O)O', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCCCO)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)OCCCO)c(=O)n1', 'CCCCCCCCCCCCO', 'CCCCCCCCCCCCCCCCO', 'CCCCCCCCCCCCCCOCC(O)C(=O)O', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCCO)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCCCCCOCC(O)C(=O)O', 'Nc1ccn(CC(O)COP(=O)(O)O)c(=O)n1', 'CCCCCCCCCCCCCOCCC(=O)O', 'CCCCCCCCCCCCCCCOP(=O)(O)OCCCO', 'Nc1ccn(CC(O)COP(=O)(O)OP(=O)(O)OCCCO)c(=O)n1', 'CC(O)CCCCCCCCCCCOCCCOP(=O)(O)COCC(CO)Cn1ccc(N)nc1=O', 'Nc1ccn(CC(O)COP(=O)(O)OP(=O)(O)OCCCOCCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'Nc1ccn(CC(O)COP(=O)(O)OP(=O)(O)OCCCOCCCCCCCCCCO)c(=O)n1']","[-2.5595657825, -2.7675511837, -2.8897171021, -3.4913167953, -3.5035617352, -3.6357381344, -3.7352581024, -3.9007649422, -4.0062012672, -4.0063171387, -4.0832033157, -4.1838459969, -4.1899595261, -4.2632522583, -4.6802873611, -4.7201452255, -4.9500761032, -5.0124549866, -5.0330519676, -5.1590323448]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OS(=O)(=O)O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CC(O)C12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)CC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(O)CCC12', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)C(O)CC1C2CCC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CC(O)C2(C)C(O)CCC12', 'CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2O', 'CC(=O)O', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(=O)CC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CC(O)C1C2CCC2(C)C(O)CCC12', 'CC(=O)OC1CCC2C1CCC1C2CCC2(C)C(O)CCC12']","[-0.3633680344, -1.9741758108, -2.7146427631, -3.1437072754, -3.6963481903, -4.9640874863, -5.1839995384, -6.8508896828, -7.1420063972, -7.4203257561, -7.5451097488, -8.1972141266, -8.922706604, -9.1863765717]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)=O)C(=O)N12', 'CCC(C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12)C(C)O', 'CCC(CC)C(=O)OCOC(=O)C1=C([S+]C2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12', 'CC(O)C(C)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)O', 'CCC(CC)C(=O)OCOC(=O)C1=C([S+]C2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCP(=O)(O)C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCO', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)CSC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)OC3OC(C(=O)O)C(O)C(O)C3O)C(=O)N12']","[-2.2828564644, -2.6002264023, -4.2597351074, -4.479279995, -4.6553845406, -4.718580246, -4.7269806862, -4.9383320808, -5.0013132095, -5.2516102791, -5.5520324707, -5.761631012, -6.5672264099]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'Oc1ccc2c(c1)C1CC3CCCCC3C1CC2', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(O)c13', 'Oc1ccc2c(c1)C1CCCCC1C1CCNCC21', 'Oc1ccc2c(c1)C1CCCCC1C1CCNC21', 'CN1CCC23CCCCC1C2Cc1cc(O)c(O)cc13', 'CN1CCC23CCCCC1C2Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'Oc1ccc2c(c1)C1CCCCC1C1CCNCCC21', 'Oc1ccc2c(c1)C1CCCCC1C1CCC(O)C=C21', 'Oc1ccc2c(c1)C1CC3CCCCC3C(C2)N1', 'CN1CCC23CCCCC2c2cc(OC4OC(C(=O)O)C(O)C(O)C4O)ccc2CC13', 'CN1CCC23CCCCC2c2cc(OC4OC(C(=O)O)C(O)C(O)C4O)ccc2C1C3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'Oc1ccc2c(c1)C1NC(C2)C2CCCCC12', 'Oc1ccc2c(c1)C1CCCCC1C1Cc3ccc(O)cc3C1CC2', 'Oc1ccc2c(c1)C1CCNC(C2)C2CCCCC12', 'COc1ccc2c(c1)C1CCCCC1C1CCN(C)C21']","[-0.9676684141, -1.6460088491, -1.9453297853, -3.0271697044, -3.135014534, -3.90879035, -4.2781262398, -4.4103012085, -4.4991798401, -4.8436636925, -5.0126986504, -5.2923212051, -5.3640899658, -5.5099935532, -5.5598196983, -5.5950713158, -5.6005868912]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C1CN=C(c2ccccc2)c2cc(Cl)cc(O)c2N1', 'O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1', 'Nc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2', 'O=C1CN=C(c2ccccc2)c2cc(Cl)c(O)cc2N1', 'O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'Nc1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'CC(O)=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1', 'CC(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'CC(=O)Nc1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1O', 'O=C1CN=C(c2ccccc2)c2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc2N1', 'NC(CCC(=O)NC(CSC1C(=O)Nc2ccc(Cl)cc2C1c1ccccc1)C(=O)NCC(=O)O)C(=O)O', 'CSc1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'O=C(O)C1OC(OC2Nc3ccc(Cl)cc3C(c3ccccc3)=NCC2O)C(O)C(O)C1O']","[-0.2860757113, -2.0613501072, -2.8780217171, -3.4649460316, -5.4523148537, -5.4672174454, -5.8801259995, -6.5637784004, -6.5677604675, -6.6541085243, -6.6994280815, -7.2621054649, -7.4464988708, -7.70429039, -7.8631267548, -8.2196292877]"
