epoch	training_loss	validation_loss	validation_token_accuracy	metabolite_coverage_score	top_1_metabolite_score	lr-Adam
0	0.41660684	0.3259776	0.93086594	0.23828125	0.078125	
1	0.35157824	0.2961306	0.9354671	0.21484375	0.09375	
2	0.35050786	0.2732718	0.9364568	0.23046875	0.0859375	
3	0.2847223	0.25585005	0.9376053	0.20703125	0.078125	
4	0.35233432	0.24305263	0.93805313	0.22135417	0.078125	
5	0.3691548	0.23336199	0.9389778	0.22135417	0.078125	
6	0.30056593	0.22543173	0.941152	0.20833333	0.0703125	
7	0.2487465	0.21815652	0.9440628	0.2109375	0.046875	
8	0.24026525	0.2106932	0.9481802	0.22135417	0.0625	
9	0.30060828	0.20329663	0.9491698	0.26302084	0.09375	
10	0.25188348	0.19637957	0.94971156	0.29947916	0.1171875	
11	0.30781275	0.19056615	0.95015943	0.29166666	0.125	
12	0.27962798	0.1861879	0.9508312	0.3046875	0.1328125	
13	0.2304	0.18322936	0.95073724	0.28645834	0.1171875	
14	0.3034054	0.18155634	0.95134395	0.32552084	0.1171875	
15	0.24145986	0.18065234	0.95028937	0.37890625	0.125	
16	0.28688455	0.17994937	0.9496176	0.37890625	0.140625	
17	0.17708546	0.17913075	0.9498705	0.41015625	0.1484375	
18	0.2664525	0.17810617	0.95009446	0.40234375	0.1796875	
19	0.17875004	0.17652285	0.951084	0.44140625	0.1875	
20	0.18646619	0.17505035	0.9520737	0.4440104	0.2109375	
21	0.23833029	0.17355162	0.9535111	0.4752604	0.2578125	
22	0.21529801	0.17214462	0.9529693	0.4674479	0.2578125	
23	0.21694866	0.17094094	0.95456564	0.4596354	0.25	
24	0.18407977	0.17077318	0.95418286	0.4674479	0.2578125	0.00038714064
25	0.1704451	0.17156208	0.95220363	0.4518229	0.2578125	0.00038714064
26	0.20047739	0.17305398	0.95182073	0.4466146	0.28125	0.00038714064
27	0.19020584	0.17527409	0.94984156	0.4700521	0.2578125	0.00038714064
28	0.15178709	0.17612869	0.95015943	0.4622396	0.2421875	0.00038714064
29	0.15262051	0.1770861	0.9505423	0.4934896	0.21875	0.00038714064
30	0.22128373	0.17785937	0.95031834	0.4700521	0.25	0.00038714064
31	0.19372395	0.17883945	0.9519797	0.46614584	0.265625	0.00038714064
32	0.1811144	0.18262485	0.9547896	0.46614584	0.2890625	0.00038714064
33	0.1307165	0.18532029	0.9534461	0.43489584	0.3359375	0.00038714064
34	0.18428001	0.19026591	0.95140195	0.45052084	0.328125	0.00038714064
35	0.12447239	0.19694509	0.95086014	0.42708334	0.3125	0.00038714064
36	0.1503685	0.20139223	0.9503473	0.44010416	0.3203125	0.00038714064
37	0.13310488	0.20969993	0.9488809	0.4153646	0.2890625	0.00038714064
38	0.15373154	0.21458276	0.9484981	0.4075521	0.2578125	0.00038714064
39	0.10378824	0.21916719	0.9493287	0.42708334	0.265625	0.00038714064
40	0.14026777	0.22351842	0.9494587	0.40364584	0.2890625	0.00038714064
41	0.14539495	0.22733894	0.9495237	0.39583334	0.2890625	0.00038714064
42	0.16098236	0.22350189	0.951214	0.40364584	0.3046875	0.00038714064
43	0.11157218	0.21681595	0.9502244	0.38671875	0.3125	0.00038714064
44	0.26355723	0.21272479	0.9492348	0.41796875	0.3359375	0.00038714064
45	0.18817605	0.21468419	0.9485341	0.37890625	0.3359375	0.00038714064
46	0.16698109	0.22351196	0.94897485	0.4205729	0.3125	0.00038714064
47	0.19089256	0.22356716	0.948787	0.4388021	0.3359375	0.00038714064
48	0.20080993	0.21868598	0.94843304	0.42578125	0.3203125	0.00038714064
49	0.11286421	0.22299413	0.95000046	0.3684896	0.3515625	0.0009330339
50	0.15799123	0.22240195	0.9476094	0.40364584	0.3203125	0.0009330339
51	0.13406347	0.2317261	0.9491408	0.41145834	0.3203125	0.0009330339
52	0.20441876	0.2324527	0.9467138	0.40364584	0.3515625	0.0009330339
53	0.17496254	0.23446527	0.9470606	0.45052084	0.3515625	0.0009330339
54	0.13914251	0.22599241	0.94696665	0.4309896	0.34375	0.0009330339
55	0.16632764	0.22105032	0.9467138	0.4596354	0.375	0.0009330339
56	0.18633465	0.21390477	0.9497186	0.4596354	0.34375	0.0009330339
57	0.12663577	0.21947506	0.9494008	0.4596354	0.359375	0.0009330339
58	0.13354185	0.24193564	0.9476454	0.4388021	0.328125	0.0009330339
59	0.15361726	0.2394179	0.94630194	0.4388021	0.3515625	0.0009330339
60	0.15942997	0.23968329	0.9475155	0.46614584	0.328125	0.0009330339
61	0.09950954	0.23666757	0.94425774	0.45833334	0.328125	0.0009330339
62	0.11405868	0.2388618	0.9454423	0.42708334	0.3359375	0.0009330339
63	0.14777167	0.23500675	0.9449295	0.41927084	0.296875	0.0009330339
64	0.16577908	0.27225363	0.930873	0.33333334	0.2265625	0.0009330339
65	0.14521196	0.2635474	0.93623984	0.37239584	0.265625	0.0009330339
66	0.17490698	0.2378341	0.9375833	0.3294271	0.3125	0.0009330339
67	0.15625937	0.23057643	0.94479954	0.3919271	0.3359375	0.0009330339
68	0.13830133	0.23156087	0.94511735	0.45703125	0.2890625	0.0009330339
69	0.12367214	0.23572937	0.9454713	0.44921875	0.328125	0.0009330339
70	0.16904485	0.2281248	0.94792736	0.4765625	0.359375	0.0009330339
71	0.10703833	0.2319918	0.9420546	0.4765625	0.3515625	0.0009330339
72	0.10705378	0.23260844	0.94403386	0.4765625	0.3359375	0.0009330339
73	0.14399849	0.24312168	0.94457567	0.43489584	0.3515625	0.0009330339
74	0.11768833	0.24253917	0.94329715	0.4453125	0.3359375	0.0009726307
75	0.16713181	0.23917602	0.9429792	0.421875	0.3046875	0.0009726307
76	0.13248275	0.24036683	0.9447056	0.3919271	0.34375	0.0009726307
77	0.13911287	0.25143874	0.9457891	0.4075521	0.3515625	0.0009726307
78	0.11377177	0.25873005	0.9457242	0.4075521	0.328125	0.0009726307
79	0.13071118	0.25675943	0.94409883	0.3841146	0.3203125	0.0009726307
80	0.11255963	0.25043318	0.9447706	0.3919271	0.3203125	0.0009726307
81	0.10233788	0.25278163	0.94565916	0.4075521	0.3359375	0.0009726307
82	0.18776955	0.25475115	0.9455652	0.3997396	0.34375	0.0009726307
83	0.15073653	0.24572244	0.9446406	0.4231771	0.3359375	0.0009726307
84	0.13427073	0.24359542	0.9443517	0.4309896	0.3046875	0.0009726307
85	0.14472502	0.2402653	0.9450234	0.4075521	0.3046875	0.0009726307
86	0.10968029	0.24491982	0.9429792	0.4153646	0.296875	0.0009726307
87	0.079764344	0.2570381	0.94016933	0.4153646	0.2890625	0.0009726307
88	0.12469637	0.25527775	0.9424374	0.43489584	0.3046875	0.0009726307
89	0.11960933	0.24875173	0.94100004	0.47395834	0.3203125	0.0009726307
90	0.14586194	0.2505253	0.9393387	0.43489584	0.3359375	0.0009726307
91	0.15017596	0.25485194	0.9405232	0.4309896	0.375	0.0009726307
92	0.11606534	0.2549827	0.9430152	0.4309896	0.3515625	0.0009726307
93	0.09954145	0.2495062	0.9418017	0.4075521	0.3203125	0.0009726307
94	0.109228455	0.24868211	0.9418017	0.3528646	0.296875	0.0009726307
95	0.12152772	0.25381792	0.9402993	0.3606771	0.3046875	0.0009726307
96	0.13277926	0.25414026	0.9420546	0.3763021	0.3125	0.0009726307
97	0.09456031	0.25567883	0.9442867	0.3606771	0.296875	0.0009726307
98	0.11801693	0.25558442	0.94441664	0.3684896	0.25	0.0009726307
99	0.12337793	0.25911522	0.94221354	0.3372396	0.2890625	0.0008139283
100	0.1336988	0.25873217	0.94090605	0.3372396	0.296875	0.0008139283
101	0.1440974	0.2602451	0.94320315	0.3372396	0.296875	0.0008139283
102	0.1700595	0.26199207	0.9420546	0.3528646	0.296875	0.0008139283
103	0.10335182	0.2627759	0.94368	0.3372396	0.2734375	0.0008139283
104	0.13270001	0.26094413	0.9440628	0.37239584	0.3203125	0.0008139283
105	0.11614632	0.2539343	0.94259644	0.38020834	0.2890625	0.0008139283
106	0.13335802	0.24927829	0.9427264	0.38020834	0.28125	0.0008139283
107	0.13662037	0.25830066	0.9451534	0.36458334	0.34375	0.0008139283
108	0.15284012	0.26381058	0.9444817	0.3528646	0.3515625	0.0008139283
109	0.14964531	0.26561213	0.9446406	0.3372396	0.3359375	0.0008139283
110	0.15239005	0.26599276	0.94310915	0.3216146	0.3203125	0.0008139283
111	0.17338316	0.27135813	0.9426614	0.3450521	0.296875	0.0008139283
112	0.12099228	0.27252537	0.94295025	0.36458334	0.3203125	0.0008139283
113	0.1805155	0.27171543	0.94368696	0.3684896	0.3203125	0.0008139283
114	0.094660275	0.26970744	0.94202566	0.3606771	0.3125	0.0008139283
115	0.1414593	0.27279863	0.94237953	0.3606771	0.328125	0.0008139283
116	0.16066958	0.27348158	0.94352806	0.3763021	0.3203125	0.0008139283
