epoch	training_loss	validation_loss	validation_token_accuracy	metabolite_coverage_score	top_1_metabolite_score	lr-Adam
0	0.5309713	0.36263067	0.9190167	0.08916171	0.09821428	
1	0.35796687	0.322585	0.9226649	0.09697421	0.11383928	
2	0.3634478	0.2932296	0.92666346	0.09853671	0.09040178	
3	0.28313157	0.27161008	0.9296898	0.123462304	0.094494045	
4	0.28817695	0.25609335	0.9307891	0.115649804	0.094494045	
5	0.30396578	0.2449053	0.9323395	0.12867063	0.102306545	
6	0.26637498	0.23670194	0.9336666	0.14429563	0.09821428	
7	0.29618296	0.22973903	0.93506813	0.12743056	0.102306545	
8	0.2802497	0.22262834	0.93726665	0.13933532	0.117931545	
9	0.23640701	0.21526149	0.93784034	0.16686508	0.14136904	
10	0.35689926	0.20814511	0.9381163	0.16909721	0.14136904	
11	0.17986478	0.20197344	0.93904036	0.2046255	0.14136904	
12	0.20595829	0.19669007	0.942763	0.22218502	0.13355654	
13	0.29201373	0.19212297	0.94588554	0.2311136	0.13355654	
14	0.16442369	0.1877552	0.94670886	0.27129215	0.13355654	
15	0.18602288	0.1839036	0.9481585	0.28059277	0.12574404	
16	0.19650607	0.18057968	0.94873226	0.2923735	0.12574404	
17	0.32333413	0.17766896	0.9506811	0.268688	0.1845238	
18	0.20625761	0.17490673	0.9527308	0.31990328	0.1845238	
19	0.3339432	0.17298612	0.95347965	0.31365326	0.17299107	
20	0.24557014	0.17242712	0.95485485	0.3175595	0.18489583	
21	0.28664836	0.17212844	0.9551789	0.31359127	0.18489583	
22	0.16698149	0.17165557	0.955227	0.3265377	0.19270833	
23	0.14950998	0.1716102	0.9535014	0.3592758	0.20870535	
24	0.25888473	0.17147137	0.9543774	0.38055557	0.22023809	0.00038714064
25	0.24805361	0.17170176	0.95390445	0.40833333	0.2514881	0.00038714064
26	0.16521062	0.17254457	0.9549293	0.40052083	0.3299851	0.00038714064
27	0.19289845	0.1740216	0.9540796	0.37442955	0.3221726	0.00038714064
28	0.14607072	0.17441833	0.95323	0.36438492	0.4125744	0.00038714064
29	0.18496428	0.17467225	0.9529804	0.35753968	0.3500744	0.00038714064
30	0.18928456	0.17478743	0.9523059	0.3747272	0.40104166	0.00038714064
31	0.17241774	0.17521098	0.9537556	0.39444444	0.42485118	0.00038714064
32	0.245685	0.17594683	0.95438194	0.3843998	0.3612351	0.00038714064
33	0.112784036	0.17674318	0.95153075	0.37243304	0.33035713	0.00038714064
34	0.1767095	0.17720741	0.95165324	0.39611855	0.28385416	0.00038714064
35	0.24079554	0.1805643	0.9523014	0.4095858	0.2719494	0.00038714064
36	0.15887627	0.18100192	0.95355403	0.42149058	0.41778272	0.00038714064
37	0.18215261	0.1826883	0.9535014	0.42149058	0.43712798	0.00038714064
38	0.12677582	0.18327096	0.9548984	0.396565	0.39025298	0.00038714064
39	0.091363996	0.1844033	0.9567992	0.41367808	0.38988096	0.00038714064
40	0.17823237	0.18904972	0.95297587	0.42155257	0.41666666	0.00038714064
41	0.16064027	0.19437493	0.9519774	0.39768106	0.26339287	0.00038714064
42	0.24253519	0.19689858	0.95110136	0.41950646	0.37425596	0.00038714064
43	0.16271496	0.19246657	0.9539262	0.4002852	0.3575149	0.00038714064
44	0.15181032	0.19138849	0.9569962	0.41367808	0.3705357	0.00038714064
45	0.19844511	0.18834162	0.9543247	0.40846974	0.3735119	0.00038714064
46	0.12845144	0.19264415	0.9548503	0.40716767	0.32291666	0.00038714064
47	0.23289457	0.19365668	0.95404875	0.3996032	0.3422619	0.00038714064
48	0.12123778	0.20230877	0.9521262	0.39662698	0.3110119	0.00038714064
49	0.18559499	0.20422749	0.9523277	0.40865576	0.3500744	0.0009330339
50	0.14435531	0.19928715	0.9501555	0.4045635	0.33072916	0.0009330339
51	0.17220572	0.20153746	0.95190287	0.40648562	0.38950893	0.0009330339
52	0.21199928	0.20303132	0.9509789	0.4250868	0.39732143	0.0009330339
53	0.15663356	0.21103111	0.9495074	0.42297867	0.35416666	0.0009330339
54	0.1390814	0.21540818	0.950554	0.42074654	0.26785713	0.0009330339
55	0.19187416	0.21007639	0.9524548	0.43785962	0.29166666	0.0009330339
56	0.14682801	0.22160998	0.95248115	0.4030754	0.2831101	0.0009330339
57	0.10713164	0.22583684	0.9499322	0.41609624	0.2514881	0.0009330339
58	0.17146085	0.22398663	0.948233	0.3924727	0.3139881	0.0009330339
59	0.19786316	0.2149815	0.94768107	0.43227926	0.27827382	0.0009330339
60	0.2135217	0.21132468	0.9465555	0.40281498	0.28645834	0.0009330339
61	0.12522958	0.21172664	0.9487059	0.42409474	0.2987351	0.0009330339
62	0.13795516	0.21861237	0.94895554	0.3829861	0.3299851	0.0009330339
63	0.13571134	0.22727388	0.9467788	0.4030754	0.3497024	0.0009330339
64	0.21628445	0.22180457	0.94575393	0.41044146	0.3656994	0.0009330339
65	0.19362572	0.22006357	0.9478036	0.43060517	0.3422619	0.0009330339
66	0.082592115	0.21912402	0.9506021	0.43060517	0.36235118	0.0009330339
67	0.07635782	0.21815214	0.9505013	0.40828374	0.37797618	0.0009330339
68	0.12545368	0.22242874	0.95220065	0.42688492	0.3578869	0.0009330339
69	0.08170625	0.2318742	0.9503525	0.37554562	0.35044643	0.0009330339
70	0.11090494	0.22612825	0.94712913	0.39154267	0.4564732	0.0009330339
71	0.109828435	0.23297864	0.9490781	0.39154267	0.37723213	0.0009330339
72	0.14892648	0.23557198	0.94867504	0.39507687	0.3575149	0.0009330339
73	0.09779238	0.25625637	0.9475975	0.38856646	0.35379463	0.0009330339
74	0.14089909	0.25008518	0.9481712	0.3704117	0.26004463	0.0009726307
75	0.17594694	0.23853385	0.9483509	0.4049355	0.3377976	0.0009726307
76	0.17026569	0.24626268	0.95174944	0.396565	0.3028274	0.0009726307
77	0.13635278	0.24203742	0.9506502	0.4203745	0.2987351	0.0009726307
78	0.14820164	0.23421592	0.94990134	0.45434028	0.40104166	0.0009726307
79	0.14979844	0.23195553	0.95187205	0.4467882	0.40885416	0.0009726307
80	0.13369666	0.23286688	0.9535232	0.41125992	0.42447916	0.0009726307
81	0.098393105	0.23112139	0.9539262	0.4175099	0.4047619	0.0009726307
82	0.093028285	0.25194788	0.9483246	0.34596974	0.3690476	0.0009726307
83	0.14830767	0.28950042	0.93843126	0.25586557	0.22767857	0.0009726307
84	0.09083517	0.27295786	0.9439276	0.33555308	0.23958333	0.0009726307
85	0.12487904	0.24354611	0.9445539	0.3736855	0.3612351	0.0009726307
86	0.082474165	0.2460573	0.9467788	0.39340279	0.31808037	0.0009726307
87	0.11712501	0.25116217	0.9483292	0.39637896	0.3221726	0.0009726307
88	0.13883646	0.25061372	0.9491788	0.40828374	0.3340774	0.0009726307
89	0.1974231	0.25207332	0.94747955	0.34764385	0.34933037	0.0009726307
90	0.1269683	0.23817796	0.9482284	0.39749503	0.3690476	0.0009726307
91	0.13623531	0.2367397	0.95080364	0.41349205	0.3809524	0.0009726307
92	0.13060278	0.24396326	0.9500811	0.4030754	0.3456101	0.0009726307
93	0.16159795	0.24237171	0.9509307	0.41609624	0.3809524	0.0009726307
94	0.109869055	0.24121222	0.9483555	0.40828374	0.3575149	0.0009726307
95	0.13016467	0.24345651	0.94847804	0.4030754	0.34151787	0.0009726307
96	0.15057433	0.23758918	0.9482021	0.41862598	0.3653274	0.0009726307
97	0.17347543	0.23519856	0.949551	0.41498017	0.35379463	0.0009726307
98	0.087052405	0.24403471	0.94760203	0.3952629	0.3262649	0.0009726307
99	0.15058683	0.24987358	0.9474269	0.4093254	0.33816963	0.0008139283
100	0.15603419	0.25393307	0.9480051	0.40679562	0.33035713	0.0008139283
101	0.22112942	0.2489292	0.9482547	0.42390874	0.3340774	0.0008139283
102	0.13172801	0.24528196	0.94705474	0.37926587	0.3377976	0.0008139283
103	0.08330389	0.2443277	0.94485617	0.35582837	0.31026787	0.0008139283
104	0.13656957	0.24916744	0.947554	0.35992062	0.3377976	0.0008139283
105	0.13890672	0.2563492	0.9471773	0.3718254	0.3188244	0.0008139283
106	0.09159678	0.25718278	0.94860053	0.39265874	0.3031994	0.0008139283
107	0.17028317	0.2524032	0.949551	0.39154267	0.3106399	0.0008139283
108	0.11470144	0.25366664	0.95005023	0.4045635	0.3809524	0.0008139283
109	0.100554325	0.25561947	0.94785166	0.39265874	0.3809524	0.0008139283
110	0.19844805	0.25768563	0.9492006	0.40865576	0.3690476	0.0008139283
111	0.0827948	0.25574178	0.947878	0.40344742	0.3184524	0.0008139283
112	0.19324666	0.2498359	0.94638026	0.4231647	0.3418899	0.0008139283
113	0.13293502	0.24943691	0.94692767	0.412376	0.3299851	0.0008139283
114	0.15298651	0.25364852	0.9476547	0.3874504	0.3575149	0.0008139283
115	0.13642097	0.25696328	0.9476547	0.42725694	0.3456101	0.0008139283
116	0.1645985	0.2578587	0.944878	0.4075397	0.39322916	0.0008139283
117	0.112387516	0.25683975	0.94475543	0.39563492	0.3575149	0.0008139283
118	0.15429848	0.25497326	0.945881	0.41907242	0.36941963	0.0008139283
119	0.13957976	0.25626522	0.9447336	0.42688492	0.35379463	0.0008139283
120	0.117068425	0.2590499	0.9451585	0.38763642	0.3656994	0.0008139283
121	0.15302056	0.25707644	0.94660807	0.41925845	0.3656994	0.0008139283
122	0.16484955	0.25379768	0.9459337	0.37982392	0.3500744	0.0008139283
123	0.12640968	0.2508667	0.9454825	0.42297867	0.41294643	0.0008139283
124	0.10030878	0.25231266	0.94675696	0.4075397	0.40513393	0.0005594581
125	0.12524147	0.2583663	0.9483555	0.41944444	0.4047619	0.0005594581
126	0.12903431	0.25799072	0.9490299	0.44697422	0.3969494	0.0005594581
127	0.096458174	0.2505685	0.94962996	0.45478672	0.3813244	0.0005594581
128	0.15777227	0.24829078	0.9504533	0.44288194	0.40104166	0.0005594581
129	0.09332926	0.25069386	0.9503525	0.4309772	0.38541666	0.0005594581
130	0.13054414	0.25402072	0.9503262	0.45478672	0.36979166	0.0005594581
131	0.14304075	0.254359	0.95047504	0.44288194	0.37760416	0.0005594581
132	0.073489204	0.2539426	0.95029986	0.4231647	0.40141368	0.0005594581
133	0.1749752	0.25327975	0.95005023	0.41125992	0.38578868	0.0005594581
134	0.12353113	0.25180364	0.9488765	0.41907242	0.36197916	0.0005594581
135	0.16464414	0.25175413	0.94967806	0.42707095	0.38578868	0.0005594581
136	0.19189863	0.2507764	0.95037884	0.43488345	0.3813244	0.0005594581
137	0.09375588	0.25050896	0.9503044	0.42297867	0.3813244	0.0005594581
138	0.19297396	0.25066653	0.9495555	0.40344742	0.3813244	0.0005594581
139	0.18488795	0.25221667	0.9497788	0.39935517	0.39322916	0.0005594581
140	0.14405261	0.25457656	0.9490036	0.4203745	0.36941963	0.0005594581
141	0.08730952	0.25684085	0.94875395	0.428187	0.38504463	0.0005594581
142	0.14909871	0.2569841	0.94867957	0.4359995	0.38504463	0.0005594581
143	0.14570934	0.2567638	0.9486051	0.43079117	0.3418899	0.0005594581
144	0.10945439	0.25558883	0.94880664	0.38354415	0.3418899	0.0005594581
145	0.13983853	0.25357053	0.94795704	0.41107392	0.33816963	0.0005594581
146	0.13920265	0.25260913	0.9485307	0.39916915	0.36197916	0.0005594581
147	0.15366894	0.25318727	0.9489292	0.412562	0.39322916	0.0005594581
148	0.096795134	0.25458622	0.94885474	0.41665426	0.3813244	0.0005594581
149	0.12633036	0.25629106	0.9485043	0.42446676	0.3813244	0.00028684994
150	0.106446385	0.25673434	0.94875395	0.42446676	0.3813244	0.00028684994
151	0.11191128	0.25718242	0.9488021	0.41144595	0.38504463	0.00028684994
152	0.116622314	0.2572295	0.94947654	0.41144595	0.38504463	0.00028684994
153	0.12991539	0.25678846	0.9500021	0.443998	0.38504463	0.00028684994
154	0.15462245	0.25536388	0.9499277	0.4361855	0.40066963	0.00028684994
155	0.09455618	0.25463885	0.9502517	0.428373	0.4125744	0.00028684994
156	0.12134063	0.25453344	0.9506021	0.39935517	0.3887649	0.00028684994
157	0.13201001	0.25412852	0.9500284	0.39935517	0.40066963	0.00028684994
158	0.14431837	0.25414133	0.950554	0.40344742	0.40066963	0.00028684994
159	0.1272577	0.255297	0.95010287	0.40344742	0.40066963	0.00028684994
160	0.1436645	0.25625637	0.9500021	0.40344742	0.40066963	0.00028684994
161	0.10808758	0.25675583	0.9506021	0.40344742	0.40066963	0.00028684994
162	0.16422527	0.25702655	0.9506021	0.41144595	0.3418899	0.00028684994
163	0.13559444	0.25779158	0.9503525	0.4153522	0.3418899	0.00028684994
164	0.083912335	0.25862986	0.95085174	0.4153522	0.3418899	0.00028684994
165	0.15597638	0.25925642	0.9503525	0.41144595	0.3418899	0.00028684994
166	0.12572002	0.25970474	0.9507773	0.41925845	0.3656994	0.00028684994
167	0.15020564	0.25986674	0.9507773	0.41925845	0.3418899	0.00028684994
168	0.134558	0.259979	0.95027804	0.41925845	0.3418899	0.00028684994
169	0.1430874	0.2598203	0.9492532	0.41925845	0.3418899	0.00028684994
170	0.112613164	0.2596639	0.9490036	0.4153522	0.3418899	0.00028684994
171	0.16633011	0.25982454	0.9482284	0.41144595	0.3575149	0.00028684994
172	0.12990147	0.26005712	0.94805324	0.41144595	0.3575149	0.00028684994
173	0.05434871	0.2601354	0.9489773	0.41144595	0.3418899	0.00028684994
174	0.13565822	0.26048538	0.94872767	0.40735367	0.3731399	7.926694e-05
175	0.07554132	0.26080543	0.94872767	0.40735367	0.3731399	7.926694e-05
176	0.091069706	0.26123726	0.94872767	0.40735367	0.3731399	7.926694e-05
177	0.08853155	0.261679	0.94847804	0.40735367	0.3731399	7.926694e-05
178	0.11826925	0.26222056	0.94890285	0.40735367	0.3731399	7.926694e-05
179	0.171235	0.2629277	0.9485525	0.41516617	0.3731399	7.926694e-05
180	0.07610773	0.26340348	0.94837725	0.40326142	0.3731399	7.926694e-05
181	0.12938538	0.26373369	0.94905174	0.40326142	0.3731399	7.926694e-05
182	0.14739947	0.26395535	0.94905174	0.40326142	0.3731399	7.926694e-05
183	0.10007405	0.26421544	0.94905174	0.41516617	0.3731399	7.926694e-05
184	0.08769191	0.26439995	0.9488021	0.41516617	0.3731399	7.926694e-05
185	0.09878924	0.26463544	0.94905174	0.41516617	0.3731399	7.926694e-05
186	0.13663962	0.2648001	0.94905174	0.41516617	0.3731399	7.926694e-05
187	0.11211512	0.26485083	0.94905174	0.41516617	0.3612351	7.926694e-05
188	0.1335527	0.26487568	0.9492269	0.41516617	0.3612351	7.926694e-05
189	0.11203738	0.26488116	0.9492269	0.41516617	0.3612351	7.926694e-05
190	0.11546256	0.26486528	0.94972616	0.41516617	0.3612351	7.926694e-05
191	0.14032876	0.26483184	0.94990134	0.41516617	0.3612351	7.926694e-05
192	0.16415228	0.26478162	0.94990134	0.41516617	0.3612351	7.926694e-05
193	0.16310123	0.26473927	0.94972616	0.41516617	0.3612351	7.926694e-05
