epoch	training_loss	validation_loss	validation_token_accuracy	metabolite_coverage_score	top_1_metabolite_score	lr-Adam
0	0.40521526	0.32392502	0.92430437	0.13713418	0.08221726	
1	0.34668353	0.2757485	0.92880255	0.16441593	0.09002976	
2	0.28935945	0.25173998	0.9312432	0.18760541	0.10193452	
3	0.29370633	0.23830283	0.9338354	0.212407	0.10714286	
4	0.3275234	0.2278912	0.9361004	0.23229255	0.15029761	
5	0.30435058	0.21868111	0.93836945	0.25386992	0.1592262	
6	0.2853926	0.21142665	0.9412637	0.2736244	0.16555059	
7	0.2321357	0.20630044	0.9428717	0.29005545	0.17633928	
8	0.26113525	0.20249496	0.9442799	0.28410307	0.18638393	
9	0.20103554	0.19870187	0.9451767	0.3026883	0.203125	
10	0.25131822	0.19497064	0.94624704	0.2955605	0.22916667	
11	0.18040147	0.19146413	0.94800013	0.30975056	0.23177083	
12	0.2658484	0.18818161	0.94900787	0.3197084	0.21614583	0.00013593769
13	0.23555279	0.18511727	0.9494446	0.33263358	0.2265625	0.00013593769
14	0.22139221	0.1818935	0.95035326	0.33090633	0.26302084	0.00013593769
15	0.18899147	0.17895222	0.95134544	0.34644452	0.2890625	0.00013593769
16	0.2757215	0.17690033	0.95191133	0.36535573	0.30208334	0.00013593769
17	0.18197723	0.17657186	0.9515111	0.37213895	0.31808037	0.00013593769
18	0.21354795	0.17587411	0.9522087	0.37511516	0.33184522	0.00013593769
19	0.22118695	0.17478764	0.95255196	0.37859622	0.36049107	0.00013593769
20	0.1675576	0.17465083	0.95362526	0.39161706	0.35528272	0.00013593769
21	0.1853478	0.1758597	0.9526055	0.38960814	0.38058037	0.00013593769
22	0.18848321	0.17810537	0.95306045	0.38595346	0.3783482	0.00013593769
23	0.18907708	0.18236344	0.952183	0.38794643	0.39620537	0.00013593769
24	0.20829587	0.18451928	0.95229095	0.39812747	0.39620537	0.00039146078
25	0.18072888	0.18541737	0.9531648	0.3997396	0.40401787	0.00039146078
26	0.16072147	0.18848984	0.9524963	0.41822916	0.38578868	0.00039146078
27	0.15601376	0.19028051	0.95362914	0.41945684	0.4095982	0.00039146078
28	0.15136951	0.19572547	0.95346224	0.43055555	0.40662202	0.00039146078
29	0.15060851	0.19943629	0.9538725	0.4343688	0.3828125	0.00039146078
30	0.17493838	0.20007962	0.9542675	0.42974064	0.40104166	0.00039146078
31	0.14615068	0.20329463	0.95264	0.4244703	0.41666666	0.00039146078
32	0.13808021	0.21013753	0.95354176	0.4460477	0.39583334	0.00039146078
33	0.16776307	0.2106191	0.9522892	0.43148917	0.43824404	0.00039146078
34	0.16784807	0.21790947	0.95127094	0.42135772	0.39918154	0.00039146078
35	0.18017505	0.22484119	0.95057523	0.43179917	0.41778272	0.00039146078
36	0.1199578	0.22757791	0.9515607	0.42440832	0.37462798	0.00039146078
37	0.16891983	0.22760098	0.95191526	0.42000604	0.43675596	0.00070040824
38	0.14006802	0.22927085	0.9510178	0.42068806	0.3965774	0.00070040824
39	0.15788154	0.23303184	0.9507568	0.43255562	0.41517857	0.00070040824
40	0.16673467	0.23646086	0.95054674	0.41575256	0.44047618	0.00070040824
41	0.1551035	0.23390622	0.9504263	0.42775652	0.44233632	0.00070040824
42	0.113485254	0.24242862	0.9510681	0.44201744	0.4263393	0.00070040824
43	0.13637418	0.24049044	0.95015913	0.40443063	0.39546132	0.00070040824
44	0.13551709	0.24872579	0.94985294	0.4104326	0.44791666	0.00070040824
45	0.14612216	0.24798879	0.94943196	0.38956207	0.43675596	0.00070040824
46	0.14751318	0.2462496	0.948286	0.40123123	0.4419643	0.00070040824
47	0.13968083	0.2545908	0.9492972	0.3930963	0.42485118	0.00070040824
48	0.1456343	0.25628164	0.9478117	0.3836717	0.42075893	0.00070040824
49	0.15227261	0.27521542	0.9448303	0.3585477	0.40625	0.0009343732
50	0.09146534	0.25910765	0.94863576	0.3758468	0.40848213	0.0009343732
