epoch	training_loss	validation_loss	validation_token_accuracy	metabolite_coverage_score	top_1_metabolite_score	lr-Adam
0	0.5646441	0.56171805	0.83445704	0.0078125	0.0052083335	
1	0.5003685	0.44614238	0.8635775	0.013020833	0.0078125	
2	0.3826649	0.3824933	0.88674885	0.025421627	0.020833334	
3	0.37449086	0.34555358	0.9011527	0.05059524	0.026041666	
4	0.32411098	0.31312004	0.910975	0.08947173	0.046875	
5	0.26515752	0.28711623	0.9162793	0.1296441	0.06287202	5.9421895e-05
6	0.27578887	0.26859605	0.9204776	0.14898933	0.065476194	5.9421895e-05
7	0.24836071	0.25623196	0.92420787	0.1796193	0.055059522	5.9421895e-05
8	0.24226035	0.24400839	0.9260981	0.19933656	0.047247022	5.9421895e-05
9	0.20758979	0.23479597	0.9286207	0.24032739	0.04203869	5.9421895e-05
10	0.18818311	0.22401734	0.9318362	0.26677206	0.05282738	5.9421895e-05
11	0.16177493	0.21722363	0.93309	0.3012215	0.0639881	0.00011763368
12	0.18341954	0.2066517	0.9363038	0.33006573	0.09188988	0.00011763368
13	0.14211679	0.19977231	0.93934524	0.3589534	0.09747024	0.00011763368
14	0.14295672	0.19143642	0.94296914	0.38420138	0.15178572	0.00011763368
15	0.12755159	0.18969618	0.9444003	0.37476438	0.21688989	0.00011763368
16	0.14279048	0.18823348	0.9463875	0.38483384	0.1982887	0.00020973987
17	0.121312365	0.18666726	0.9466042	0.3891369	0.24925596	0.00020973987
18	0.0911853	0.1895192	0.94712764	0.38712177	0.27418154	0.00020973987
19	0.1112532	0.1911419	0.9475314	0.39942956	0.2924107	0.00020973987
20	0.102139264	0.19539325	0.94727874	0.42286706	0.2689732	0.00020973987
21	0.0826917	0.19459088	0.94690937	0.42903647	0.29017857	0.00020973987
22	0.09406052	0.19485527	0.9464608	0.43993056	0.3065476	0.00032798166
23	0.08117509	0.19941504	0.9453843	0.4424293	0.28831846	0.00032798166
24	0.08184791	0.2071119	0.9465593	0.44735864	0.3218006	0.00032798166
25	0.08363482	0.21063685	0.94612813	0.4656126	0.30505952	0.00032798166
26	0.06768454	0.2145221	0.946996	0.43857887	0.32924107	0.00032798166
27	0.055566967	0.21848905	0.9492613	0.4672557	0.3549107	0.00046239863
28	0.07202826	0.21369891	0.9487558	0.47410715	0.36607143	0.00046239863
29	0.0705715	0.21216714	0.9504051	0.46958086	0.3422619	0.00046239863
30	0.07675502	0.22009903	0.9469736	0.4624008	0.34747022	0.00046239863
31	0.056368403	0.21987043	0.95054877	0.49148065	0.37462798	0.00046239863
32	0.050975468	0.22547066	0.945864	0.44440725	0.43973213	0.00046239863
33	0.07106098	0.23497322	0.94815177	0.4768353	0.3794643	0.0006016678
34	0.056865424	0.2197939	0.9475979	0.45988962	0.35639882	0.0006016678
35	0.06998267	0.23280974	0.9493516	0.48472223	0.38690478	0.0006016678
36	0.060985535	0.23044187	0.9473769	0.49622396	0.38802084	0.0006016678
37	0.05659761	0.22927633	0.9493137	0.4920573	0.4252232	0.0006016678
38	0.06560139	0.22006606	0.9479743	0.4642175	0.43452382	0.00073405745
39	0.055333193	0.22963499	0.94674087	0.47315848	0.41927084	0.00073405745
40	0.047299925	0.22715835	0.9487777	0.4781064	0.43266368	0.00073405745
41	0.051801052	0.23767638	0.94838554	0.48429438	0.40922618	0.00073405745
42	0.06910807	0.23171489	0.9488209	0.4736421	0.40625	0.00073405745
43	0.05898534	0.2358917	0.9495171	0.48574528	0.42894346	0.00073405745
44	0.0330048	0.23687483	0.94782597	0.49023438	0.42447916	0.0008484154
45	0.060572635	0.24052657	0.9479909	0.5147259	0.42410713	0.0008484154
46	0.046389394	0.2420907	0.9482504	0.49019718	0.40327382	0.0008484154
47	0.052644588	0.23532999	0.9468025	0.48717138	0.43191963	0.0008484154
48	0.042934522	0.23166457	0.9477985	0.49081722	0.41889882	0.0008484154
49	0.05167116	0.24065508	0.94603705	0.4515687	0.41294643	0.00093510846
50	0.06017907	0.24455729	0.9469717	0.46772695	0.421875	0.00093510846
51	0.055795092	0.26546308	0.9451246	0.48338914	0.45610118	0.00093510846
52	0.07919367	0.23913726	0.9420853	0.46496156	0.37239584	0.00093510846
53	0.06805438	0.24407926	0.9456333	0.4578435	0.4564732	0.00093510846
54	0.060724054	0.23377782	0.94816816	0.48658234	0.40587798	0.00093510846
55	0.049263023	0.23684232	0.948701	0.47134796	0.41145834	0.0009868337
56	0.043234147	0.24987999	0.9486475	0.46518478	0.4296875	0.0009868337
57	0.047431786	0.25903457	0.9492897	0.4722036	0.4281994	0.0009868337
58	0.047358748	0.26330456	0.9483763	0.47706473	0.41927084	0.0009868337
59	0.052092604	0.2670773	0.9478438	0.46799976	0.3861607	0.0009868337
60	0.048578538	0.26888853	0.94819486	0.47903645	0.43973213	0.0009868337
61	0.049190022	0.26955935	0.94797987	0.47743675	0.46875	0.000999854
62	0.047314007	0.26119587	0.9477529	0.48094618	0.46130952	0.000999854
63	0.042054668	0.26444435	0.94977295	0.4843192	0.4311756	0.000999854
64	0.04504521	0.26512003	0.94787264	0.48977554	0.4330357	0.000999854
65	0.04197815	0.2783846	0.9474129	0.47866443	0.46875	0.000999854
66	0.042054877	0.26690435	0.949187	0.49572793	0.47135416	0.0009944772
67	0.036657162	0.30383998	0.9493789	0.4910156	0.43675596	0.0009944772
68	0.041407127	0.26572946	0.9474894	0.5045821	0.4497768	0.0009944772
69	0.0407007	0.2947618	0.9490644	0.4875806	0.46130952	0.0009944772
70	0.046700682	0.28088447	0.9504223	0.5023376	0.46577382	0.0009944772
71	0.03853056	0.27494666	0.9520907	0.51139015	0.46800596	0.0009944772
72	0.03658253	0.28923222	0.9497068	0.5096044	0.46354166	0.0009814339
73	0.039903086	0.2843734	0.94986355	0.49476066	0.44159228	0.0009814339
74	0.03854006	0.30731872	0.9484446	0.48815104	0.4549851	0.0009814339
75	0.033792764	0.2874584	0.9483967	0.49765006	0.47730654	0.0009814339
76	0.038866684	0.2924897	0.95087385	0.49587673	0.4624256	0.0009814339
77	0.041813333	0.2900314	0.9500366	0.49978298	0.44754463	0.00096092623
78	0.041135173	0.30304506	0.9505617	0.49489707	0.46614584	0.00096092623
79	0.047800716	0.3136892	0.9492239	0.49135044	0.47098213	0.00096092623
80	0.038306538	0.3056955	0.9491819	0.4904948	0.48139882	0.00096092623
81	0.034446802	0.30452245	0.9502397	0.49039558	0.50595236	0.00096092623
82	0.027439568	0.31084093	0.94828635	0.4999814	0.46912202	0.00096092623
83	0.02988198	0.30568203	0.95016474	0.49482268	0.46763393	0.0009332723
84	0.041786622	0.3169241	0.94955724	0.50418526	0.47172618	0.0009332723
85	0.029772172	0.3072294	0.9503331	0.49967137	0.45535713	0.0009332723
86	0.032736827	0.3032614	0.9493648	0.4798921	0.48214287	0.0009332723
87	0.036374677	0.30108082	0.948992	0.4769779	0.4654018	0.0009332723
88	0.03120702	0.31755653	0.94810915	0.4844804	0.48474702	0.0008989008
89	0.028774945	0.32034686	0.949245	0.49122643	0.4720982	0.0008989008
90	0.032642793	0.31371194	0.94851303	0.49805927	0.48139882	0.0008989008
91	0.032052763	0.33123922	0.9476814	0.48722097	0.47879463	0.0008989008
92	0.043348793	0.332088	0.9502142	0.5015439	0.46577382	0.0008989008
93	0.03715029	0.33162686	0.94920254	0.49266493	0.47879463	0.0008989008
94	0.032837734	0.32502547	0.94979763	0.50210196	0.4784226	0.00085834455
95	0.033291474	0.30596036	0.9496599	0.499721	0.47619048	0.00085834455
96	0.031077623	0.32878017	0.9489058	0.4812934	0.47879463	0.00085834455
97	0.032153204	0.32757425	0.9510795	0.50886035	0.47098213	0.00085834455
98	0.033651896	0.3316677	0.9508318	0.5157924	0.48809522	0.00085834455
99	0.033299733	0.3266873	0.9503011	0.5020399	0.49776787	0.0008122325
100	0.034617193	0.3444541	0.94816774	0.48894468	0.47916666	0.0008122325
101	0.029871408	0.3336364	0.9483297	0.5151228	0.45275298	0.0008122325
102	0.033026297	0.33633086	0.9494145	0.50393724	0.4720982	0.0008122325
103	0.036790993	0.3535826	0.94956815	0.50187874	0.453125	0.0008122325
104	0.026636887	0.32419145	0.9501492	0.49118924	0.46912202	0.0008122325
105	0.034232423	0.34893987	0.9485954	0.49257812	0.48363096	0.0007612794
