epoch	training_loss	validation_loss	validation_token_accuracy	metabolite_coverage_score	top_1_metabolite_score	lr-Adam
0	0.39833188	0.5351269	0.84469616	0.03234127	0.111979164	
1	0.32413885	0.41753164	0.87782025	0.03642113	0.10900298	
2	0.32009315	0.36179173	0.90122986	0.054476686	0.122395836	
3	0.30312827	0.32193	0.9112411	0.079734445	0.122395836	
4	0.22136556	0.29137605	0.918456	0.11470468	0.14583333	5.302456e-05
5	0.2614444	0.272112	0.9230742	0.15066698	0.13839285	5.302456e-05
6	0.23326898	0.25939402	0.9265443	0.18548222	0.12834822	5.302456e-05
7	0.15723705	0.24648972	0.92907447	0.21864814	0.120163694	5.302456e-05
8	0.19691212	0.23709883	0.9327619	0.26399785	0.13318452	5.302456e-05
9	0.08755807	0.22637558	0.9359822	0.30984357	0.14397322	9.242595e-05
10	0.19917198	0.217442	0.93860865	0.33154497	0.14992559	9.242595e-05
11	0.12062015	0.20757198	0.94100356	0.3773349	0.15513393	9.242595e-05
12	0.09844079	0.20339763	0.9429408	0.3991851	0.16071428	9.242595e-05
13	0.10386987	0.2021057	0.944068	0.41536814	0.15811011	0.0001559836
14	0.12275602	0.1983405	0.94475555	0.4260204	0.15550596	0.0001559836
15	0.07547472	0.19422299	0.9468293	0.4478148	0.16443452	0.0001559836
16	0.086982645	0.1937319	0.9476977	0.4562757	0.171875	0.0001559836
17	0.10371698	0.19132724	0.94786847	0.4516874	0.19382441	0.0001559836
18	0.09332971	0.1947183	0.9478442	0.45492047	0.20684524	0.00024010675
19	0.08359646	0.19400018	0.9487204	0.4729016	0.18303572	0.00024010675
20	0.06984074	0.19689927	0.94879764	0.47264475	0.20163691	0.00024010675
21	0.083775535	0.1998342	0.9490329	0.49645427	0.22395833	0.00024010675
22	0.048481863	0.20250636	0.9502256	0.4964011	0.22433035	0.00034004275
23	0.06498138	0.21049309	0.9509442	0.5029239	0.20349702	0.00034004275
24	0.07880276	0.21338107	0.94858825	0.48684365	0.22916667	0.00034004275
25	0.061275724	0.20888507	0.9497568	0.4816353	0.25520834	0.00034004275
26	0.053552732	0.21459547	0.948179	0.48813865	0.23251489	0.00034004275
27	0.06508534	0.21757571	0.9479886	0.4970619	0.30245537	0.00045014566
28	0.08160396	0.22311151	0.948089	0.4935082	0.22209822	0.00045014566
29	0.063977756	0.21035892	0.9489926	0.51285964	0.31175596	0.00045014566
30	0.07235232	0.2258716	0.9492273	0.51745766	0.23697917	0.00045014566
31	0.04445103	0.20720166	0.9506843	0.5252082	0.2689732	0.00056419504
32	0.055343647	0.2293436	0.94976497	0.49861732	0.2373512	0.00056419504
33	0.043207597	0.2192269	0.9507358	0.5057921	0.25855654	0.00056419504
34	0.0552652	0.22530945	0.9501812	0.5017175	0.2518601	0.00056419504
35	0.04768708	0.20733705	0.9517633	0.52038425	0.2779018	0.00056419504
36	0.040521767	0.23544098	0.94981223	0.50680184	0.24107143	0.0006757476
37	0.057283826	0.22141258	0.9482093	0.49967137	0.28199404	0.0006757476
38	0.05047503	0.24405314	0.9479065	0.5034536	0.2313988	0.0006757476
39	0.06755668	0.23077178	0.94863987	0.5231709	0.26041666	0.0006757476
40	0.053833243	0.24169883	0.9516091	0.49820542	0.29650298	0.000778501
41	0.057741843	0.2304104	0.9479673	0.50239956	0.27269346	0.000778501
42	0.047610007	0.22325942	0.95031697	0.51696163	0.26785713	0.000778501
43	0.050608236	0.23430288	0.9504388	0.52006185	0.2622768	0.000778501
44	0.053205736	0.24364632	0.9469378	0.49897695	0.2734375	0.000778501
45	0.046544492	0.23350576	0.94933647	0.5053979	0.22581846	0.00086665014
46	0.03709776	0.23331736	0.9487946	0.50709945	0.25483632	0.00086665014
47	0.04277961	0.23917188	0.94993234	0.50735986	0.28422618	0.00086665014
48	0.051512923	0.23528048	0.9500631	0.4960663	0.24330357	0.00086665014
49	0.048843887	0.22950637	0.94834197	0.4814422	0.29799107	0.00093521486
50	0.041764047	0.24035487	0.95030123	0.49737725	0.24776785	0.00093521486
51	0.041393984	0.24005198	0.94990003	0.49285093	0.28236607	0.00093521486
52	0.039854813	0.25671726	0.9494659	0.51290655	0.24255952	0.00093521486
53	0.033334915	0.23802705	0.9498643	0.5147507	0.2845982	0.00093521486
54	0.0338025	0.24166167	0.9493555	0.5171078	0.26785713	0.0009803217
55	0.039444856	0.24550177	0.9499036	0.49917534	0.27306548	0.0009803217
56	0.03996301	0.2551013	0.948411	0.5078435	0.24851191	0.0009803217
57	0.041231066	0.25907272	0.9487878	0.5147569	0.2563244	0.0009803217
58	0.035900485	0.2890384	0.9486289	0.48922372	0.2767857	0.0009803217
59	0.04945456	0.25307608	0.9485383	0.52278644	0.2637649	0.000999422
60	0.039156005	0.27057603	0.9485308	0.49939236	0.30059522	0.000999422
61	0.04797151	0.29138535	0.9495255	0.48316592	0.24739583	0.000999422
62	0.038371664	0.2574071	0.94927955	0.51083827	0.26004463	0.000999422
63	0.03141869	0.26917008	0.9519893	0.50718623	0.26636904	0.0009983627
64	0.036274258	0.28202394	0.94924635	0.5101501	0.24590774	0.0009983627
65	0.044287678	0.27295223	0.94957095	0.48865327	0.25892857	0.0009983627
66	0.031575587	0.27655357	0.94813806	0.51928324	0.21800596	0.0009983627
67	0.034405082	0.26614428	0.9493538	0.515315	0.2689732	0.0009983627
68	0.03745161	0.28128475	0.94895244	0.52129835	0.2451637	0.0009916598
69	0.033355005	0.2819045	0.9478022	0.5138703	0.2559524	0.0009916598
70	0.041550864	0.29669908	0.9499141	0.515532	0.2518601	0.0009916598
71	0.035556827	0.30203605	0.9496024	0.49257192	0.27901787	0.0009916598
72	0.035939712	0.27201667	0.95020956	0.49877232	0.27566963	0.0009798509
73	0.044758834	0.29950362	0.94836706	0.4956411	0.27604166	0.0009798509
74	0.029951347	0.27883136	0.94985884	0.50069445	0.27046132	0.0009798509
