epoch	training_loss	validation_loss	validation_token_accuracy	metabolite_coverage_score	top_1_metabolite_score	lr-Adam
0	0.6189491	0.6155883	0.82691085	0.0052083335	0.0026041667	
1	0.5361451	0.48220643	0.8532804	0.010416667	0.0078125	
2	0.39434296	0.4122393	0.87422436	0.016493056	0.0078125	
3	0.42308056	0.36890894	0.89283264	0.036892362	0.020833334	
4	0.33438832	0.33874738	0.90422595	0.05530754	0.0234375	
5	0.28741747	0.31072927	0.9124486	0.083944514	0.0390625	
6	0.22608213	0.28755334	0.9170512	0.12151272	0.0546875	
7	0.21814339	0.2698468	0.92020166	0.14904249	0.06287202	7.198673e-05
8	0.27935004	0.25709933	0.9241551	0.17558017	0.06026786	7.198673e-05
9	0.1579147	0.246811	0.92575824	0.19399536	0.04464286	7.198673e-05
10	0.17239572	0.238067	0.92848045	0.22956084	0.04761905	7.198673e-05
11	0.1562846	0.22887513	0.9311944	0.2572208	0.04278274	7.198673e-05
12	0.27750525	0.22001861	0.9340712	0.3008654	0.057291668	7.198673e-05
13	0.21270204	0.21143009	0.9364858	0.34222203	0.09002976	7.198673e-05
14	0.14858615	0.20471433	0.93923557	0.36453107	0.1030506	0.0001661035
15	0.13433418	0.19833647	0.94232017	0.39083582	0.125	0.0001661035
16	0.12688749	0.19012478	0.94503915	0.39330712	0.171875	0.0001661035
17	0.08720872	0.18624094	0.9466597	0.3994455	0.20424107	0.0001661035
18	0.10861366	0.18363665	0.9480283	0.39839143	0.23251489	0.0001661035
19	0.12197373	0.18968669	0.94676596	0.413508	0.2641369	0.0001661035
20	0.08277087	0.18848976	0.9475558	0.4262188	0.28794643	0.0001661035
21	0.07900043	0.19073877	0.94830024	0.42432505	0.28125	0.00030930893
22	0.086076096	0.19122802	0.9477506	0.44534704	0.32440478	0.00030930893
23	0.12823057	0.19290724	0.9488536	0.46218377	0.3456101	0.00030930893
24	0.09963833	0.1932944	0.94919765	0.46733984	0.3262649	0.00030930893
25	0.076074265	0.20825626	0.9472273	0.44905755	0.37127978	0.00030930893
26	0.08790959	0.20228791	0.9478335	0.48125	0.3549107	0.00030930893
27	0.07853356	0.20850551	0.94959325	0.47981152	0.3549107	0.00030930893
28	0.092309244	0.22042921	0.9481233	0.4869455	0.35825893	0.00048173912
29	0.049023233	0.21599846	0.9483058	0.48780736	0.42113096	0.00048173912
30	0.060478024	0.220153	0.9483321	0.47921714	0.38950893	0.00048173912
31	0.045595337	0.22436303	0.94794095	0.49172956	0.4122024	0.00048173912
32	0.07253947	0.22225812	0.9489054	0.49531692	0.38058037	0.00048173912
33	0.042552944	0.22673328	0.94776946	0.48015252	0.4047619	0.00048173912
34	0.05152171	0.23522207	0.9492461	0.51396686	0.44047618	0.00048173912
35	0.04629641	0.2311393	0.9477793	0.48325628	0.42745537	0.00065947644
36	0.07197139	0.23173429	0.95036864	0.5060082	0.4125744	0.00065947644
37	0.025715752	0.24190567	0.95032454	0.49185267	0.41480654	0.00065947644
38	0.03416913	0.23060197	0.95062774	0.52562445	0.43861607	0.00065947644
39	0.054851457	0.23840287	0.9499238	0.5245757	0.45275298	0.00065947644
40	0.051845163	0.24076563	0.94884884	0.48629093	0.4341518	0.00065947644
41	0.039601095	0.237789	0.94958085	0.4967076	0.43712798	0.00065947644
42	0.033391416	0.24206169	0.94952106	0.487655	0.4609375	0.0008178671
43	0.03871066	0.24511474	0.9503438	0.49178448	0.4471726	0.0008178671
44	0.059779182	0.23956029	0.9487163	0.49151164	0.40252978	0.0008178671
45	0.028941523	0.25492677	0.95043	0.5011099	0.4627976	0.0008178671
46	0.040504884	0.24426916	0.94856834	0.49886534	0.4627976	0.0008178671
47	0.031835448	0.24184549	0.94997394	0.5081597	0.4497768	0.0008178671
48	0.036045007	0.2439283	0.949499	0.5008743	0.45014882	0.0008178671
49	0.05280903	0.24856813	0.94968426	0.5196278	0.45052084	0.00093494094
50	0.036661148	0.25118667	0.9490997	0.496844	0.4311756	0.00093494094
51	0.036265146	0.25686806	0.95032585	0.49793527	0.4281994	0.00093494094
52	0.042019773	0.24904105	0.9482532	0.4891927	0.48549107	0.00093494094
53	0.041097745	0.2478107	0.9502531	0.51951265	0.49627978	0.00093494094
54	0.045566645	0.27195376	0.94939065	0.49937376	0.4825149	0.00093494094
55	0.046353143	0.26317462	0.94843006	0.48196304	0.4940476	0.00093494094
56	0.0434492	0.26799178	0.9497393	0.48671255	0.49144346	0.00093494094
57	0.025776688	0.26757938	0.9484854	0.4888579	0.4784226	0.0009944587
58	0.03833494	0.27709526	0.94961035	0.49291295	0.46056548	0.0009944587
59	0.025940899	0.25801352	0.9503301	0.5040737	0.48400298	0.0009944587
60	0.03412202	0.27403945	0.949841	0.4921689	0.44940478	0.0009944587
61	0.042194165	0.27178273	0.95124805	0.48105514	0.4921875	0.0009944587
62	0.03528239	0.27064133	0.94995874	0.49576512	0.5126488	0.0009944587
63	0.0410991	0.27689102	0.9503748	0.4845424	0.49516368	0.0009944587
64	0.03486335	0.2799231	0.9491936	0.49768725	0.48139882	0.0009977387
65	0.05191899	0.27220106	0.94910336	0.48218626	0.46800596	0.0009977387
66	0.03458246	0.27738014	0.95133746	0.4923549	0.48474702	0.0009977387
67	0.03325141	0.29682112	0.94839895	0.4832031	0.51599705	0.0009977387
68	0.021907784	0.27578944	0.9504348	0.47836682	0.45796132	0.0009977387
69	0.029505644	0.28951013	0.9493962	0.49371278	0.5342262	0.0009977387
70	0.03890315	0.26926613	0.94264615	0.42613822	0.4043899	0.0009977387
71	0.02807732	0.2929	0.9472855	0.49979538	0.47693452	0.0009837922
72	0.019198101	0.2873751	0.94942105	0.48733258	0.46651787	0.0009837922
73	0.050396744	0.28880265	0.9490335	0.4890997	0.44308037	0.0009837922
74	0.021107718	0.2923895	0.94909084	0.47583705	0.4828869	0.0009837922
75	0.028849507	0.27652955	0.9513711	0.50589657	0.47879463	0.0009837922
76	0.03145784	0.29204726	0.9500014	0.5011595	0.49739584	0.0009837922
77	0.03148632	0.2871864	0.9507578	0.48820063	0.50706846	0.0009837922
78	0.043639857	0.2940132	0.9500014	0.50843877	0.50223213	0.00095746084
79	0.03409526	0.3143211	0.9487853	0.5030816	0.50818455	0.00095746084
80	0.028886974	0.30526358	0.9505181	0.49954736	0.52678573	0.00095746084
81	0.03686364	0.30627698	0.95027906	0.5043837	0.52901787	0.00095746084
82	0.041149784	0.28904858	0.9486939	0.49142486	0.4888393	0.00095746084
83	0.033558536	0.3018491	0.9490303	0.4968192	0.50818455	0.00095746084
84	0.022732371	0.29899696	0.9501887	0.49097842	0.48214287	0.00095746084
85	0.018410545	0.30575353	0.9494915	0.4841084	0.48958334	0.00091941847
86	0.014398088	0.32071352	0.949557	0.4922309	0.5182292	0.00091941847
87	0.023385387	0.32384628	0.9493703	0.4858259	0.5	0.00091941847
88	0.032398604	0.325675	0.94941026	0.5077443	0.5264137	0.00091941847
89	0.027960578	0.34568095	0.949358	0.493471	0.49739584	0.00091941847
90	0.0130749	0.31896007	0.9490185	0.4920449	0.4627976	0.00091941847
91	0.023351941	0.34590882	0.94821995	0.48332712	0.48400298	0.00091941847
92	0.03821897	0.32093936	0.9493238	0.48999876	0.48697916	0.00087063905
93	0.01952569	0.34646952	0.94895494	0.4853768	0.48139882	0.00087063905
94	0.03241966	0.3224451	0.9484967	0.50047743	0.48511904	0.00087063905
95	0.024819799	0.3268232	0.9494425	0.4946154	0.4981399	0.00087063905
