epoch	training_loss	validation_loss	validation_token_accuracy	metabolite_coverage_score	top_1_metabolite_score	lr-Adam
0	0.61451286	0.624549	0.82289654	0.0034722222	0.0026041667	
1	0.58569056	0.48592317	0.85079193	0.010416667	0.0078125	
2	0.39182523	0.41855407	0.87385386	0.013020833	0.015625	
3	0.31712934	0.37810072	0.8914863	0.017609127	0.0052083335	
4	0.46012935	0.34735754	0.903529	0.0531374	0.0052083335	
5	0.33734772	0.3171717	0.91109836	0.0743587	0.0234375	
6	0.2972834	0.2928977	0.9158963	0.12541898	0.036458332	
7	0.32511774	0.2749387	0.9208078	0.15666898	0.05766369	7.198673e-05
8	0.35004532	0.2622471	0.9239322	0.16458687	0.05245536	7.198673e-05
9	0.2868455	0.25098348	0.9262353	0.20526148	0.05245536	7.198673e-05
10	0.20598297	0.24036968	0.9288647	0.2400767	0.03422619	7.198673e-05
11	0.19645724	0.23122597	0.93175715	0.25666276	0.04278274	7.198673e-05
12	0.19014645	0.2239927	0.93299174	0.29672354	0.059151787	7.198673e-05
13	0.1391021	0.21381664	0.9363192	0.33435994	0.08556548	7.198673e-05
14	0.14016105	0.20556846	0.93898076	0.36242294	0.12537202	0.0001661035
15	0.107796125	0.19946475	0.94206333	0.37213275	0.13318452	0.0001661035
16	0.14020042	0.19451772	0.94345313	0.39181903	0.17447917	0.0001661035
17	0.124361165	0.19089127	0.9446578	0.38983488	0.21242559	0.0001661035
18	0.15994652	0.1882058	0.94585145	0.40981257	0.21949404	0.0001661035
19	0.14154705	0.19205594	0.9472457	0.42026645	0.23772322	0.0001661035
20	0.09086392	0.19509676	0.94725627	0.43925205	0.26153272	0.0001661035
21	0.13024393	0.19087543	0.949218	0.44560125	0.30840772	0.00030930893
22	0.13736346	0.19051601	0.94862854	0.45536953	0.3221726	0.00030930893
23	0.06516027	0.19982815	0.9489063	0.4734933	0.30059522	0.00030930893
24	0.08470422	0.20075054	0.9490661	0.48415533	0.3344494	0.00030930893
25	0.08521935	0.20554018	0.9497105	0.47155967	0.34784228	0.00030930893
26	0.09289808	0.21218199	0.9495593	0.479071	0.34933037	0.00030930893
27	0.05897678	0.22351791	0.94707125	0.49528503	0.41294643	0.00030930893
28	0.07008156	0.21651895	0.94914305	0.49420884	0.3422619	0.00048173912
29	0.053247347	0.22439544	0.94905126	0.4876984	0.37574404	0.00048173912
30	0.052631762	0.22579192	0.948768	0.49737102	0.38058037	0.00048173912
31	0.060894452	0.22910301	0.94903463	0.4953249	0.3969494	0.00048173912
32	0.06804015	0.22909059	0.9486344	0.46633804	0.4081101	0.00048173912
33	0.047775295	0.24467579	0.94947994	0.4684648	0.4125744	0.00048173912
34	0.048606977	0.24129418	0.9482762	0.48679936	0.38653272	0.00048173912
35	0.04393546	0.24402763	0.94812524	0.47808158	0.4419643	0.00065947644
36	0.051999003	0.23738594	0.9486743	0.4720424	0.43861607	0.00065947644
37	0.04885162	0.23971789	0.94653195	0.49238324	0.43675596	0.00065947644
38	0.0896609	0.24600884	0.94758475	0.48404017	0.42150298	0.00065947644
39	0.050431244	0.25150374	0.94833595	0.48853546	0.43377978	0.00065947644
40	0.06309852	0.25511616	0.94916767	0.49161085	0.43638393	0.00065947644
41	0.04266123	0.25317836	0.9481006	0.48682415	0.44270834	0.00065947644
42	0.043100618	0.25355646	0.9479186	0.4825211	0.44456846	0.0008178671
43	0.048168056	0.25576615	0.9488704	0.51321924	0.46354166	0.0008178671
44	0.045415316	0.26004416	0.94795144	0.5069568	0.4497768	0.0008178671
45	0.052036542	0.2650048	0.94843596	0.49963418	0.42857143	0.0008178671
46	0.03596461	0.2712415	0.94741267	0.4923611	0.43452382	0.0008178671
47	0.058428477	0.2748768	0.94893575	0.4921503	0.46056548	0.0008178671
48	0.052182507	0.25822735	0.9498654	0.4979946	0.46056548	0.0008178671
49	0.041735064	0.26064262	0.9494625	0.52393085	0.47879463	0.00093494094
50	0.040092755	0.26589894	0.95047843	0.50331724	0.48958334	0.00093494094
51	0.05246787	0.25445747	0.94967306	0.5124876	0.4203869	0.00093494094
52	0.027971115	0.28079256	0.94910836	0.48069197	0.47098213	0.00093494094
53	0.040831275	0.26973754	0.9484631	0.50704986	0.47581846	0.00093494094
54	0.05602458	0.26650703	0.94830686	0.503466	0.46465772	0.00093494094
55	0.049486693	0.2832721	0.9498223	0.49430802	0.48697916	0.00093494094
56	0.026286287	0.2645826	0.9473658	0.48140502	0.4497768	0.00093494094
57	0.03194009	0.27611956	0.9476336	0.48602432	0.4799107	0.0009944587
58	0.038548175	0.33654684	0.9309173	0.18987475	0.18601191	0.0009944587
59	0.0338287	0.27541557	0.9421849	0.4280568	0.42857143	0.0009944587
60	0.036067557	0.27352726	0.9476703	0.4597718	0.4029018	0.0009944587
61	0.04038641	0.27196807	0.9472922	0.47891244	0.48846728	0.0009944587
62	0.038657684	0.27623528	0.94948435	0.48847347	0.45796132	0.0009944587
63	0.039041612	0.29032224	0.9407588	0.43864706	0.38988096	0.0009944587
64	0.04045387	0.28852594	0.94620234	0.49411583	0.4825149	0.0009977387
65	0.048642628	0.2913624	0.94865495	0.47995412	0.48511904	0.0009977387
66	0.031525362	0.27632937	0.9486909	0.5013579	0.4825149	0.0009977387
67	0.04429803	0.29044294	0.9504144	0.49211928	0.48549107	0.0009977387
68	0.032833997	0.28418955	0.94948375	0.50417286	0.49107143	0.0009977387
69	0.031774227	0.29476067	0.94905245	0.4910156	0.48400298	0.0009977387
70	0.032893304	0.29808548	0.9493438	0.477846	0.49627978	0.0009977387
71	0.036603954	0.30399057	0.9486506	0.50335443	0.51004463	0.0009837922
72	0.023284847	0.30326912	0.94874704	0.4830543	0.48177084	0.0009837922
73	0.03385556	0.29575664	0.94931155	0.49545512	0.5026042	0.0009837922
74	0.032463618	0.30157825	0.94916445	0.51308906	0.4810268	0.0009837922
75	0.03776336	0.3044138	0.94804406	0.4998698	0.4877232	0.0009837922
76	0.045797337	0.3072092	0.9505158	0.5159288	0.4780506	0.0009837922
77	0.03187112	0.31692335	0.9485902	0.50537574	0.49441963	0.0009837922
78	0.028749293	0.30232868	0.949423	0.4908544	0.49925596	0.00095746084
79	0.055342916	0.31209302	0.9496764	0.49328497	0.49925596	0.00095746084
80	0.043177098	0.3027946	0.94616735	0.49963418	0.48995537	0.00095746084
81	0.0308308	0.3010991	0.9500314	0.51056546	0.4862351	0.00095746084
82	0.025148476	0.32336217	0.9492676	0.5072917	0.4627976	0.00095746084
83	0.017704759	0.30320454	0.94999987	0.52406996	0.5130208	0.00095746084
84	0.030047199	0.32142273	0.9493671	0.5220238	0.4590774	0.00095746084
85	0.029635176	0.32753557	0.94953495	0.5141741	0.48511904	0.00091941847
86	0.027316224	0.32658872	0.9500932	0.5171503	0.49107143	0.00091941847
87	0.041130196	0.31425542	0.9502878	0.53808904	0.5011161	0.00091941847
88	0.030896254	0.3339961	0.94865346	0.50082463	0.49888393	0.00091941847
89	0.03851267	0.33514437	0.9493449	0.5106585	0.5011161	0.00091941847
