epoch	training_loss	validation_loss	validation_token_accuracy	metabolite_coverage_score	top_1_metabolite_score	lr-Adam
0	0.5918712	0.6243929	0.82252586	0.00086805556	0.0026041667	
1	0.5143622	0.4838028	0.8530493	0.0078125	0.0052083335	
2	0.4212244	0.41517457	0.87445134	0.020213293	0.013020833	
3	0.270234	0.3746406	0.8912437	0.025421627	0.0052083335	
4	0.26831943	0.3446863	0.9030338	0.03844246	0.0078125	
5	0.32644066	0.3141206	0.911012	0.076132014	0.026041666	
6	0.26200157	0.28915054	0.91522574	0.119851016	0.0390625	
7	0.20108022	0.2717571	0.920142	0.15953356	0.05766369	7.198673e-05
8	0.2513757	0.2601053	0.92356145	0.18121634	0.05766369	7.198673e-05
9	0.3156621	0.24936002	0.925578	0.20839268	0.04985119	7.198673e-05
10	0.15832858	0.23864506	0.9283887	0.23552562	0.03683036	7.198673e-05
11	0.1600197	0.2297916	0.93069005	0.25924835	0.04575893	7.198673e-05
12	0.17151354	0.22107112	0.9336666	0.29399535	0.04315476	7.198673e-05
13	0.19542472	0.21287914	0.93479514	0.32987085	0.09375	7.198673e-05
14	0.13694848	0.20426825	0.9378781	0.3538664	0.117931545	0.0001661035
15	0.186105	0.19804913	0.9410811	0.3837895	0.15252976	0.0001661035
16	0.16009608	0.19133484	0.94279397	0.40012756	0.16815476	0.0001661035
17	0.17669846	0.18940054	0.944634	0.39950752	0.21205357	0.0001661035
18	0.15363018	0.18744822	0.9457581	0.41163194	0.22581846	0.0001661035
19	0.1384823	0.18740122	0.94662285	0.4192744	0.22767857	0.0001661035
20	0.12734208	0.1869063	0.9479265	0.41849932	0.2373512	0.0001661035
21	0.15536328	0.19523324	0.94821614	0.4246315	0.30096728	0.00030930893
22	0.08993019	0.19359195	0.9476954	0.44958812	0.28199404	0.00030930893
23	0.07912047	0.19564909	0.9478771	0.4593449	0.36049107	0.00030930893
24	0.093009144	0.20307176	0.94867957	0.45287433	0.3686756	0.00030930893
25	0.06480816	0.2064301	0.9485866	0.45924833	0.38318452	0.00030930893
26	0.10496752	0.20795885	0.9469949	0.47063845	0.36755952	0.00030930893
27	0.076814525	0.2121473	0.947368	0.47881678	0.3656994	0.00030930893
28	0.074913636	0.21303135	0.9462486	0.47221956	0.36049107	0.00048173912
29	0.04332821	0.21694326	0.9460069	0.4821464	0.40625	0.00048173912
30	0.06745205	0.22468808	0.94941443	0.4609933	0.3578869	0.00048173912
31	0.04826713	0.2155528	0.9483414	0.48090985	0.41294643	0.00048173912
32	0.038193185	0.22506134	0.94927156	0.5069046	0.4029018	0.00048173912
33	0.059408285	0.2346048	0.9460629	0.46298364	0.4155506	0.00048173912
34	0.10427273	0.24495175	0.94832826	0.49679795	0.40104166	0.00048173912
35	0.036075298	0.24248783	0.94888353	0.48452735	0.4159226	0.00065947644
36	0.051484436	0.23118654	0.9480223	0.49765006	0.45052084	0.00065947644
37	0.056499403	0.2386816	0.9491831	0.48712885	0.41331846	0.00065947644
38	0.05758013	0.22731705	0.94873774	0.4794891	0.40327382	0.00065947644
39	0.039319854	0.24225746	0.94620556	0.46906623	0.39732143	0.00065947644
40	0.03902918	0.2490397	0.94858116	0.47935888	0.43973213	0.00065947644
41	0.06314734	0.2404146	0.94815415	0.49746403	0.45796132	0.00065947644
42	0.04420815	0.24905187	0.94857013	0.48652035	0.42410713	0.0008178671
43	0.042752635	0.24373403	0.94883174	0.49503967	0.4315476	0.0008178671
44	0.040575415	0.24180847	0.94957817	0.5133247	0.42559522	0.0008178671
45	0.047517296	0.24727912	0.9473491	0.5076203	0.42075893	0.0008178671
46	0.046635978	0.27389076	0.94938487	0.50532615	0.40364584	0.0008178671
47	0.051594645	0.2488433	0.9497594	0.5087054	0.44494048	0.0008178671
48	0.05555062	0.2526346	0.94868654	0.50132686	0.42150298	0.0008178671
49	0.051140353	0.25514504	0.94694227	0.5046352	0.40141368	0.00093494094
50	0.04953944	0.2598226	0.9479292	0.49878472	0.44791666	0.00093494094
51	0.056855384	0.26085448	0.94858974	0.4684958	0.46205357	0.00093494094
52	0.052306216	0.27317855	0.94879234	0.49910802	0.4575893	0.00093494094
53	0.034798335	0.2646154	0.94733447	0.5052987	0.46354166	0.00093494094
54	0.056190126	0.27049458	0.9479883	0.51259303	0.45833334	0.00093494094
55	0.05410417	0.2729872	0.9473162	0.4983941	0.47879463	0.00093494094
56	0.03954914	0.2758963	0.94892615	0.48221105	0.48511904	0.00093494094
57	0.045529515	0.2806166	0.9470818	0.49199882	0.47619048	0.0009944587
58	0.032267027	0.28524223	0.9478903	0.46302703	0.48139882	0.0009944587
59	0.042245895	0.27865356	0.9464327	0.5031684	0.39880952	0.0009944587
