epoch	training_loss	validation_loss	validation_token_accuracy	metabolite_coverage_score	top_1_metabolite_score	lr-Adam
0	0.4158964	0.3506553	0.92271346	0.11111111	0.06349207	
1	0.42287764	0.31363988	0.9244009	0.105820104	0.06349207	
2	0.41833857	0.28733107	0.9284509	0.12698413	0.06349207	
3	0.2954846	0.26823995	0.93115085	0.12698413	0.06349207	
4	0.31038827	0.2554551	0.93452585	0.12698413	0.0952381	
5	0.39901608	0.24641351	0.9352008	0.15873016	0.14285715	
6	0.30826858	0.23901503	0.9358758	0.21428572	0.12698413	
7	0.3329477	0.23220904	0.9362133	0.20634921	0.12698413	
8	0.31409743	0.22538625	0.9355383	0.25396827	0.12698413	
9	0.33907425	0.21881592	0.93722576	0.27513227	0.14285715	
10	0.30606356	0.21291104	0.93857574	0.25132275	0.12698413	
11	0.25934207	0.2083133	0.9412757	0.32539684	0.11111111	
12	0.27271745	0.20501342	0.94195074	0.3148148	0.11111111	
13	0.23376167	0.20290038	0.94161326	0.3227513	0.12698413	
14	0.24669062	0.20144095	0.94195074	0.3068783	0.17460318	
15	0.2385633	0.20004609	0.9436382	0.33333334	0.1904762	
16	0.2690003	0.19796266	0.94431317	0.34920636	0.34920636	
17	0.23308475	0.19504671	0.9460007	0.34391534	0.3968254	
18	0.22878334	0.1923094	0.9473507	0.35978836	0.3968254	
19	0.21732771	0.19017947	0.94768816	0.35978836	0.3809524	
20	0.201985	0.18817957	0.94870067	0.3809524	0.36507937	
21	0.2086965	0.18582602	0.9483631	0.35449734	0.36507937	
22	0.17235777	0.18215239	0.95038813	0.3809524	0.33333334	
23	0.20758119	0.17975496	0.9507256	0.36507937	0.42857143	
24	0.23208195	0.17873685	0.9514006	0.42328042	0.42857143	0.00038714064
25	0.1802608	0.17872025	0.9510631	0.42857143	0.41269842	0.00038714064
26	0.17325835	0.17962904	0.95005065	0.48412699	0.41269842	0.00038714064
27	0.19913962	0.18107489	0.95038813	0.48412699	0.44444445	0.00038714064
28	0.16636623	0.18255948	0.9507256	0.5	0.4920635	0.00038714064
29	0.19803722	0.1849343	0.9520756	0.47619048	0.50793654	0.00038714064
30	0.19320925	0.18474405	0.95275056	0.51058203	0.52380955	0.00038714064
31	0.17905964	0.18404335	0.9517381	0.515873	0.46031746	0.00038714064
32	0.17918727	0.18505192	0.9534256	0.51058203	0.53968257	0.00038714064
33	0.110834755	0.18781999	0.9520756	0.51058203	0.5555556	0.00038714064
34	0.16299494	0.18964134	0.9520756	0.48677248	0.50793654	0.00038714064
35	0.16024257	0.19340938	0.9524131	0.5026455	0.46031746	0.00038714064
36	0.1577822	0.19500253	0.9514006	0.5185185	0.46031746	0.00038714064
37	0.1569654	0.19389503	0.95005065	0.5026455	0.4920635	0.00038714064
38	0.17063041	0.1934744	0.95005065	0.48677248	0.47619048	0.00038714064
39	0.1420651	0.19745746	0.94802564	0.46296296	0.47619048	0.00038714064
40	0.16009669	0.19935912	0.9507256	0.44708994	0.52380955	0.00038714064
41	0.14187996	0.19889061	0.95005065	0.45767197	0.52380955	0.00038714064
42	0.13881788	0.20793104	0.95005065	0.489418	0.52380955	0.00038714064
43	0.14385694	0.20517881	0.9483631	0.47354499	0.50793654	0.00038714064
44	0.12354419	0.21121725	0.9507256	0.47354499	0.50793654	0.00038714064
45	0.16713212	0.2101909	0.9497131	0.47354499	0.52380955	0.00038714064
