epoch	training_loss	validation_loss	validation_token_accuracy	metabolite_coverage_score	top_1_metabolite_score	lr-Adam
0	0.32368925	0.3032851	0.91939723	0.08476563	0.049479168	
1	0.2721949	0.26125094	0.9279054	0.13334574	0.072916664	
2	0.32963973	0.2403682	0.9350822	0.1710725	0.057291668	
3	0.37165806	0.22817028	0.93813026	0.21249114	0.06584822	
4	0.25017244	0.2181745	0.94108593	0.23316947	0.09970238	
5	0.328626	0.21014209	0.9433466	0.27210796	0.13616072	
6	0.2684976	0.20251977	0.9451466	0.29684755	0.10528274	
7	0.23623657	0.19623223	0.9468652	0.3210911	0.1186756	7.198673e-05
8	0.3195855	0.19086018	0.9480848	0.33036068	0.16443452	7.198673e-05
9	0.20419289	0.18693401	0.94914395	0.35053676	0.18712798	7.198673e-05
10	0.24124569	0.18243772	0.9492458	0.3632786	0.21800596	7.198673e-05
11	0.19148599	0.17790222	0.9501413	0.36424586	0.27901787	7.198673e-05
12	0.24644668	0.17409356	0.9513468	0.38799337	0.32775298	7.198673e-05
13	0.19568294	0.17144765	0.95166075	0.4044953	0.34598213	7.198673e-05
14	0.2806708	0.17047511	0.95243084	0.40248635	0.36235118	0.0001661035
15	0.24508484	0.17037305	0.95329016	0.40862474	0.3939732	0.0001661035
16	0.18785834	0.16673407	0.9540376	0.42865205	0.4122024	0.0001661035
17	0.25504723	0.16666247	0.95470595	0.43413937	0.40848213	0.0001661035
18	0.21425985	0.1686395	0.9547623	0.44306797	0.43861607	0.0001661035
19	0.19691385	0.16787325	0.9552184	0.43857267	0.4174107	0.0001661035
20	0.1459723	0.17125037	0.9547461	0.45075026	0.44568452	0.0001661035
21	0.2756624	0.16996017	0.9557991	0.48392236	0.46986607	0.00030930893
22	0.16897392	0.17162636	0.9556842	0.47940847	0.47581846	0.00030930893
23	0.18569227	0.17523491	0.9549093	0.46662328	0.48549107	0.00030930893
24	0.1375937	0.17332149	0.9546695	0.47116196	0.4784226	0.00030930893
25	0.1493839	0.17314453	0.9564503	0.47926322	0.46465772	0.00030930893
26	0.17078784	0.17924953	0.9545285	0.46200398	0.43080357	0.00030930893
27	0.1755667	0.17820235	0.95388967	0.48155737	0.48065478	0.00030930893
28	0.12895212	0.18775909	0.9546893	0.49672	0.48065478	0.00048173912
29	0.15790473	0.18660904	0.95485306	0.49553305	0.4419643	0.00048173912
30	0.19038767	0.19043463	0.95356643	0.46248496	0.45238096	0.00048173912
31	0.12626472	0.19507347	0.9530345	0.467145	0.4609375	0.00048173912
32	0.20549715	0.19266793	0.9536518	0.46300843	0.46502978	0.00048173912
33	0.12242604	0.19196154	0.95476806	0.47212657	0.50446427	0.00048173912
34	0.1673118	0.19892944	0.95398617	0.4865735	0.4940476	0.00048173912
35	0.07274178	0.20655133	0.9513267	0.43609872	0.41964287	0.00065947644
36	0.13045843	0.19021605	0.9540099	0.4764757	0.47544643	0.00065947644
37	0.1298422	0.20499809	0.95327806	0.46173823	0.44568452	0.00065947644
38	0.21898139	0.20307238	0.9502586	0.45472825	0.49330357	0.00065947644
39	0.18410987	0.19213599	0.9536319	0.49345592	0.48065478	0.00065947644
40	0.13427216	0.20266868	0.954682	0.46349826	0.47395834	0.00065947644
41	0.15486278	0.19782864	0.95446646	0.47782737	0.48214287	0.00065947644
42	0.19259763	0.1994097	0.95271796	0.46801835	0.5104167	0.0008178671
43	0.19070618	0.1984832	0.9549092	0.49501488	0.5204613	0.0008178671
44	0.13286011	0.1974479	0.9553301	0.48028895	0.46614584	0.0008178671
45	0.15103927	0.20600568	0.95339113	0.47229043	0.50446427	0.0008178671
46	0.113063045	0.20605615	0.9538449	0.47808158	0.48511904	0.0008178671
47	0.12882715	0.19932003	0.9522766	0.4876736	0.50446427	0.0008178671
48	0.17456095	0.20152366	0.9536389	0.46953124	0.4765625	0.0008178671
49	0.2330613	0.20939794	0.95457965	0.48270443	0.5141369	0.00093494094
50	0.17610002	0.20227137	0.95393234	0.48054317	0.46763393	0.00093494094
51	0.19172357	0.20698394	0.9532255	0.47894698	0.48214287	0.00093494094
52	0.14138664	0.21302573	0.9535512	0.5018043	0.49888393	0.00093494094
53	0.13943745	0.21431735	0.95232695	0.4751249	0.4419643	0.00093494094
54	0.15893199	0.21390146	0.95153713	0.4720433	0.41666666	0.00093494094
55	0.16204529	0.20575286	0.9531316	0.47135505	0.4393601	0.00093494094
56	0.19286186	0.21124335	0.9531971	0.46511126	0.4732143	0.00093494094
57	0.100623116	0.22289027	0.95208204	0.46483225	0.46316963	0.0009944587
58	0.22684965	0.20127396	0.9520815	0.45293632	0.44159228	0.0009944587
59	0.18719165	0.21919782	0.9502613	0.4722417	0.4624256	0.0009944587
60	0.15856953	0.21706307	0.95359844	0.46449122	0.4468006	0.0009944587
61	0.12736335	0.20802991	0.95470214	0.49292004	0.46577382	0.0009944587
62	0.1971078	0.20876119	0.95273465	0.49584043	0.46875	0.0009944587
63	0.12208846	0.21860456	0.95214033	0.47400883	0.4981399	0.0009944587
64	0.13061057	0.21839342	0.9536406	0.47136125	0.49888393	0.0009977387
65	0.1300657	0.21876624	0.9515361	0.4574688	0.48921132	0.0009977387
66	0.17161427	0.20885259	0.95211333	0.48659208	0.48474702	0.0009977387
67	0.2037176	0.21705118	0.9505492	0.46632034	0.4609375	0.0009977387
68	0.14918235	0.22099426	0.95304835	0.45866904	0.46019346	0.0009977387
69	0.13723636	0.21622674	0.9498379	0.4657189	0.4609375	0.0009977387
70	0.17888369	0.2278175	0.9503761	0.46447262	0.4564732	0.0009977387
71	0.18982893	0.22508657	0.9517912	0.46105886	0.4642857	0.0009837922
72	0.1843014	0.23251374	0.9505184	0.46228653	0.4575893	0.0009837922
73	0.15932284	0.22191367	0.9514954	0.4816229	0.52418154	0.0009837922
74	0.11848434	0.2258784	0.95041895	0.44295102	0.47098213	0.0009837922
75	0.12557575	0.2235194	0.9518999	0.4532251	0.4981399	0.0009837922
76	0.16072592	0.22546394	0.95112646	0.47177935	0.4702381	0.0009837922
77	0.1313985	0.2324777	0.9508606	0.4545892	0.48065478	0.0009837922
78	0.1444586	0.22790459	0.9516451	0.4764146	0.46614584	0.00095746084
79	0.11404306	0.2314803	0.95116615	0.49158075	0.47358632	0.00095746084
80	0.14257428	0.21833396	0.9528202	0.4846735	0.46800596	0.00095746084
81	0.14380495	0.22814223	0.9515514	0.48025528	0.47358632	0.00095746084
82	0.12922336	0.2268966	0.95169413	0.48235455	0.49107143	0.00095746084
83	0.17152385	0.22185303	0.95173126	0.4837523	0.48177084	0.00095746084
84	0.12535916	0.23583841	0.9518322	0.46672955	0.4642857	0.00095746084
85	0.15051961	0.23645265	0.9520758	0.45566452	0.46502978	0.00091941847
86	0.09483617	0.23279354	0.95256436	0.47913036	0.47730654	0.00091941847
87	0.16889247	0.22922339	0.95142794	0.49924445	0.47172618	0.00091941847
88	0.13735022	0.23016044	0.9505151	0.46751082	0.43340772	0.00091941847
89	0.078429155	0.23580913	0.95183074	0.47637382	0.44308037	0.00091941847
90	0.16434743	0.23364398	0.9515308	0.47965118	0.4750744	0.00091941847
91	0.15977834	0.2359123	0.9520564	0.48317567	0.46986607	0.00091941847
92	0.11169763	0.23123764	0.95363	0.4787176	0.453125	0.00087063905
93	0.087760836	0.23430087	0.9522847	0.5029027	0.4516369	0.00087063905
94	0.17709483	0.22820483	0.9523574	0.49128312	0.49330357	0.00087063905
95	0.1362423	0.23964164	0.9521259	0.4813253	0.5249256	0.00087063905
96	0.11261257	0.24483244	0.95316947	0.46384016	0.52008927	0.00087063905
97	0.15662064	0.23717803	0.9514616	0.48075485	0.52157736	0.00087063905
98	0.15253372	0.23747766	0.9531551	0.48836893	0.48809522	0.00087063905
99	0.10052336	0.24843967	0.9520118	0.45886746	0.48214287	0.0008123714
100	0.14275075	0.23503047	0.9517164	0.49743038	0.51525295	0.0008123714
101	0.12353803	0.24907315	0.9516181	0.489299	0.5093006	0.0008123714
102	0.1199414	0.23692061	0.95320046	0.47777867	0.5037202	0.0008123714
103	0.12751512	0.24060489	0.9528824	0.4780391	0.49962798	0.0008123714
104	0.15945095	0.23646595	0.9531493	0.47446766	0.49441963	0.0008123714
105	0.1276213	0.24095695	0.95326144	0.48826975	0.54501486	0.0008123714
106	0.11534848	0.23932667	0.9522242	0.49351528	0.52418154	0.0008123714
107	0.12610377	0.23534824	0.9530841	0.4878729	0.49293154	0.0007461071
108	0.10115521	0.24300927	0.9538391	0.49310604	0.51525295	0.0007461071
109	0.104359515	0.24483234	0.952895	0.4981124	0.5379464	0.0007461071
110	0.1422601	0.23710315	0.9514217	0.47419482	0.5029762	0.0007461071
111	0.14305171	0.24770091	0.9522216	0.49450734	0.50186014	0.0007461071
112	0.15224664	0.24923927	0.9520287	0.47469085	0.4936756	0.0007461071
113	0.12994163	0.24844337	0.9512254	0.48433867	0.5130208	0.0007461071
114	0.08373235	0.24415158	0.95289016	0.47665018	0.5026042	0.0006735425
115	0.092627116	0.253705	0.9515631	0.47766706	0.48846728	0.0006735425
116	0.12195639	0.25880486	0.9518171	0.49504057	0.5107887	0.0006735425
117	0.09625059	0.25444934	0.95217586	0.5006209	0.5126488	0.0006735425
118	0.1130565	0.26263255	0.9517224	0.5032871	0.50744045	0.0006735425
119	0.15608163	0.25673506	0.95228535	0.49029106	0.47767857	0.0006735425
120	0.14251226	0.24929908	0.9512743	0.4879659	0.47247022	0.0006735425
121	0.14127663	0.25750566	0.95081896	0.47093344	0.5089286	0.0005965353
122	0.103166	0.25265786	0.95245683	0.47766706	0.48549107	0.0005965353
123	0.11304983	0.25684428	0.9518394	0.47461647	0.47135416	0.0005965353
124	0.1704844	0.2580734	0.9503537	0.4626497	0.47730654	0.0005965353
125	0.121169426	0.25884968	0.95104265	0.44998848	0.47767857	0.0005965353
126	0.12718159	0.26266974	0.9509549	0.45861945	0.49627978	0.0005965353
127	0.06300474	0.26318595	0.9518928	0.4752117	0.4747024	0.0005965353
128	0.13856952	0.26133573	0.9514449	0.4736244	0.47247022	0.00051705685
129	0.12045412	0.264149	0.951451	0.47415763	0.4750744	0.00051705685
130	0.09551397	0.26063633	0.95228016	0.47596815	0.4825149	0.00051705685
131	0.1307705	0.26820877	0.95216244	0.45508167	0.47953868	0.00051705685
132	0.14013496	0.27317512	0.9520512	0.46778363	0.4888393	0.00051705685
133	0.115658425	0.25748008	0.9525308	0.4517866	0.50037205	0.00051705685
134	0.08382928	0.26047534	0.9517581	0.47944036	0.49144346	0.00051705685
135	0.11439192	0.2766491	0.9524935	0.47203356	0.5119048	0.00043714177
136	0.11523898	0.27232483	0.951472	0.4865336	0.51116073	0.00043714177
137	0.13030295	0.26780185	0.9525135	0.49314326	0.49293154	0.00043714177
138	0.12215895	0.26809555	0.9510464	0.47772905	0.47953868	0.00043714177
139	0.14814441	0.27572787	0.9510298	0.45280346	0.47730654	0.00043714177
140	0.12751552	0.27480155	0.95062923	0.4706606	0.4720982	0.00043714177
141	0.112210535	0.26893812	0.95208335	0.47448006	0.48995537	0.00043714177
142	0.10117797	0.27431235	0.95091766	0.46629554	0.48735118	0.00035883594
143	0.14259881	0.28039995	0.95145893	0.4485872	0.4955357	0.00035883594
144	0.12998648	0.27690306	0.9506928	0.4599339	0.4747024	0.00035883594
145	0.120724216	0.28481376	0.9515208	0.4627861	0.5141369	0.00035883594
146	0.16664097	0.27492404	0.9506505	0.48492151	0.5141369	0.00035883594
147	0.16401939	0.27548793	0.9515572	0.47779107	0.48511904	0.00035883594
148	0.08992477	0.28124806	0.9519362	0.4770098	0.49776787	0.00035883594
149	0.16622844	0.2751888	0.9522426	0.46960655	0.4906994	0.00028414393
150	0.15275629	0.2783632	0.9523721	0.4578878	0.5197173	0.00028414393
151	0.14829753	0.2807794	0.9522529	0.4657003	0.5126488	0.00028414393
152	0.13278623	0.27917635	0.9518968	0.4612732	0.49888393	0.00028414393
153	0.13374607	0.28073454	0.95250535	0.46346813	0.5223214	0.00028414393
154	0.08255592	0.27815	0.95306236	0.47276875	0.55394346	0.00028414393
155	0.12738995	0.28255528	0.9530123	0.47239673	0.5327381	0.00028414393
156	0.10236647	0.27696732	0.95280886	0.47388482	0.5093006	0.00028414393
157	0.092784196	0.2755792	0.9522513	0.47295475	0.5249256	0.00021497789
158	0.11471271	0.28117427	0.9522394	0.47704703	0.5197173	0.00021497789
159	0.083292395	0.28402132	0.95193404	0.47355	0.54129463	0.00021497789
160	0.15092044	0.28387123	0.9516834	0.46625832	0.52269346	0.00021497789
161	0.097882934	0.28605205	0.9518798	0.46291012	0.50074404	0.00021497789
162	0.17330277	0.28276682	0.9520248	0.464175	0.47693452	0.00021497789
163	0.13971269	0.28067237	0.951769	0.46243888	0.49330357	0.00021497789
164	0.13662675	0.2856474	0.95215124	0.47580695	0.4936756	0.00015310844
165	0.0955709	0.2849255	0.95195055	0.47111943	0.49888393	0.00015310844
166	0.14422235	0.28311437	0.9514106	0.45896667	0.4985119	0.00015310844
167	0.069091424	0.28385267	0.9513371	0.45896667	0.48809522	0.00015310844
168	0.14441282	0.28223908	0.9517714	0.46547708	0.49627978	0.00015310844
169	0.15193374	0.2813588	0.9517818	0.47016457	0.5014881	0.00015310844
170	0.12500553	0.28301233	0.9516635	0.47314078	0.5037202	0.00015310844
171	0.09537627	0.2864787	0.95255816	0.47183868	0.49330357	0.00010011944
172	0.10883575	0.28979808	0.9521198	0.4567345	0.5011161	0.00010011944
173	0.08998823	0.28930208	0.9518893	0.46194285	0.49627978	0.00010011944
174	0.11771436	0.28793195	0.95163864	0.46663034	0.5014881	0.00010011944
175	0.091637	0.28757238	0.95157254	0.46105	0.49627978	0.00010011944
176	0.10447622	0.28706613	0.95144105	0.46365416	0.49107143	0.00010011944
177	0.119855724	0.28716314	0.95140874	0.47146666	0.49590772	0.00010011944
178	0.10769409	0.28710294	0.95172715	0.47146666	0.49590772	5.7367404e-05
179	0.14153528	0.2873352	0.951822	0.46105	0.48549107	5.7367404e-05
180	0.124485835	0.28799632	0.9518983	0.45896667	0.48809522	5.7367404e-05
181	0.08012467	0.28867984	0.95163083	0.4563625	0.49330357	5.7367404e-05
182	0.08923413	0.28866506	0.9517759	0.45844582	0.49330357	5.7367404e-05
183	0.10856598	0.2888194	0.9515329	0.46105	0.49330357	5.7367404e-05
184	0.112481736	0.288933	0.9515464	0.46067798	0.49627978	5.7367404e-05
185	0.10384854	0.28896707	0.9517155	0.4658863	0.49627978	2.5946782e-05
186	0.10293122	0.2892745	0.95177805	0.46849048	0.49627978	2.5946782e-05
187	0.11174352	0.28939652	0.95177805	0.4658863	0.49627978	2.5946782e-05
188	0.07476067	0.28937927	0.9519016	0.46328214	0.49627978	2.5946782e-05
189	0.079226576	0.28907377	0.95203066	0.46625832	0.49627978	2.5946782e-05
190	0.12893893	0.2888882	0.9519678	0.46625832	0.49627978	2.5946782e-05
191	0.1149738	0.28868192	0.95189947	0.4688625	0.49627978	2.5946782e-05
192	0.1354884	0.2884801	0.95207214	0.47146666	0.49627978	6.661939e-06
193	0.08234653	0.28827757	0.95207214	0.47146666	0.49627978	6.661939e-06
194	0.1044515	0.2881834	0.95207214	0.47146666	0.49627978	6.661939e-06
195	0.081132315	0.28811723	0.95207214	0.46849048	0.49627978	6.661939e-06
196	0.12927747	0.2881043	0.95213586	0.46849048	0.49627978	6.661939e-06
197	0.13532048	0.2881037	0.95207214	0.4658863	0.49627978	6.661939e-06
198	0.1327392	0.28810453	0.95207214	0.4658863	0.49627978	6.661939e-06
199	0.111138076	0.28810906	0.95207214	0.4658863	0.49627978	6.56546e-09
