epoch	training_loss	validation_loss	validation_token_accuracy	metabolite_coverage_score	top_1_metabolite_score	lr-Adam
0	0.5800546	0.57266873	0.82719797	0.0052083335	0.0026041667	
1	0.4921939	0.46544194	0.84853834	0.015625	0.0078125	
2	0.47924972	0.4060085	0.87140775	0.018229166	0.013020833	
3	0.48467544	0.36872786	0.8859176	0.020833334	0.0234375	
4	0.43588695	0.33714455	0.89698094	0.046999007	0.036458332	
5	0.33871722	0.31146008	0.907562	0.06940724	0.059895832	5.9421895e-05
6	0.40420315	0.29396105	0.91353506	0.10254836	0.06026786	5.9421895e-05
7	0.37136695	0.28041646	0.9169785	0.10744668	0.055059522	5.9421895e-05
8	0.44298977	0.26897293	0.91791177	0.10509053	0.052083332	5.9421895e-05
9	0.33288634	0.25964293	0.9203336	0.12468378	0.052083332	5.9421895e-05
10	0.34431678	0.25156197	0.9230847	0.13476562	0.049479168	5.9421895e-05
11	0.24954106	0.24330768	0.9252652	0.15264757	0.052083332	0.00011763368
12	0.3112444	0.23604405	0.92763597	0.18588169	0.07403274	0.00011763368
13	0.2735899	0.23003703	0.92887294	0.19443825	0.0796131	0.00011763368
14	0.24158235	0.22558233	0.93056226	0.21167535	0.096354164	0.00011763368
15	0.25602514	0.21973386	0.9340028	0.22773437	0.11755952	0.00011763368
16	0.24687876	0.21431571	0.9366485	0.24798487	0.17373511	0.00020973987
17	0.24175991	0.2093943	0.9375142	0.28695437	0.18898809	0.00020973987
18	0.30418703	0.20737635	0.9398557	0.3123264	0.20163691	0.00020973987
19	0.24939187	0.20280835	0.9420681	0.29620537	0.20052083	0.00020973987
20	0.22408162	0.2009871	0.9408712	0.32370412	0.24627976	0.00020973987
21	0.20730008	0.19901358	0.9420221	0.35088044	0.29315478	0.00020973987
22	0.214289	0.19984652	0.9431895	0.34127605	0.2935268	0.00032798166
23	0.2350163	0.19789247	0.9447553	0.33151042	0.3344494	0.00032798166
24	0.23195204	0.2007557	0.94309044	0.34096602	0.32328868	0.00032798166
25	0.23431733	0.19649386	0.9443938	0.38033235	0.32849702	0.00032798166
26	0.19505471	0.1965797	0.94593114	0.34932417	0.31733632	0.00032798166
27	0.20868555	0.19799171	0.9462417	0.3498574	0.3377976	0.00046239863
28	0.19353256	0.19225363	0.9476767	0.3798921	0.3422619	0.00046239863
29	0.20149213	0.19809692	0.9460242	0.37636408	0.33891368	0.00046239863
30	0.21224986	0.20642564	0.94370455	0.36984748	0.31175596	0.00046239863
31	0.17998031	0.20456678	0.9469234	0.40656003	0.359375	0.00046239863
32	0.16368735	0.20216502	0.9443909	0.40038443	0.32849702	0.00046239863
33	0.21189745	0.20352653	0.94621116	0.3923921	0.375	0.0006016678
34	0.19738756	0.20549801	0.9483305	0.4298053	0.36197916	0.0006016678
35	0.18925926	0.20142646	0.94705856	0.4221788	0.3794643	0.0006016678
36	0.1773482	0.20844328	0.94752496	0.409561	0.35044643	0.0006016678
37	0.1710225	0.20895454	0.94698966	0.42391494	0.37909228	0.0006016678
38	0.17488123	0.2077705	0.94611156	0.42123017	0.4095982	0.00073405745
39	0.15107551	0.21115997	0.9456079	0.39837548	0.33668154	0.00073405745
40	0.26561967	0.21041831	0.94824415	0.40497893	0.38690478	0.00073405745
41	0.22669688	0.21504226	0.94627935	0.4184028	0.35230654	0.00073405745
42	0.2200338	0.21277891	0.9445428	0.4157986	0.38839287	0.00073405745
43	0.21238653	0.20516624	0.94796544	0.409716	0.3656994	0.00073405745
44	0.17856687	0.21267553	0.94876987	0.44406623	0.3470982	0.0008484154
45	0.19069809	0.21044314	0.9463956	0.4203249	0.39546132	0.0008484154
46	0.2092538	0.21473646	0.9485433	0.418781	0.36979166	0.0008484154
47	0.15231301	0.21319675	0.94899386	0.44419023	0.36049107	0.0008484154
48	0.17194612	0.20248842	0.9498831	0.4328187	0.40848213	0.0008484154
49	0.22227122	0.21987309	0.94885886	0.44589534	0.3872768	0.00093510846
50	0.16281107	0.21477655	0.94788146	0.4311446	0.43712798	0.00093510846
51	0.15335286	0.21392757	0.94822073	0.43552208	0.38392857	0.00093510846
52	0.14763726	0.21364215	0.9468041	0.4392237	0.4315476	0.00093510846
53	0.14434138	0.21915162	0.9482102	0.4441344	0.4341518	0.00093510846
54	0.16316082	0.21030137	0.94842	0.46189237	0.39546132	0.00093510846
55	0.14838794	0.2148877	0.94772446	0.41344246	0.44791666	0.0009868337
56	0.1669337	0.21082145	0.9495435	0.44044518	0.3861607	0.0009868337
57	0.19774336	0.21472156	0.9500022	0.43365577	0.3374256	0.0009868337
58	0.18416768	0.22415636	0.94800997	0.4606337	0.3872768	0.0009868337
