epoch	training_loss	validation_loss	validation_token_accuracy	metabolite_coverage_score	top_1_metabolite_score	lr-Adam
0	0.40962923	0.5476523	0.8361874	0.029737104	0.106770836	
1	0.4331575	0.43799073	0.86539716	0.03208085	0.10119048	
2	0.3425496	0.38457683	0.88415104	0.03642113	0.1171875	
3	0.47127762	0.3461725	0.8994812	0.050983205	0.12760417	
4	0.28410637	0.31638926	0.90874314	0.07091748	0.13020833	5.302456e-05
5	0.35577103	0.29652756	0.91487616	0.07786193	0.13541667	5.302456e-05
6	0.42584166	0.28357518	0.9168608	0.08035448	0.13541667	5.302456e-05
7	0.29364172	0.273707	0.9199814	0.08360969	0.13020833	5.302456e-05
8	0.23146641	0.2646215	0.9222025	0.08658589	0.1357887	5.302456e-05
9	0.23394382	0.25516266	0.92542386	0.09012011	0.1357887	9.242595e-05
10	0.16281563	0.24679568	0.92723984	0.10890731	0.13839285	9.242595e-05
11	0.23524654	0.23901919	0.9303941	0.11771188	0.1436012	9.242595e-05
12	0.26565808	0.23134184	0.9330382	0.14090136	0.1436012	9.242595e-05
13	0.19395238	0.22555228	0.9353432	0.14397056	0.1357887	0.0001559836
14	0.21290906	0.2184658	0.93767035	0.16439466	0.14136904	0.0001559836
15	0.23253447	0.21372265	0.9402832	0.18640608	0.14025298	0.0001559836
16	0.20567977	0.21059763	0.94088674	0.20513128	0.14397322	0.0001559836
17	0.21873316	0.20539345	0.9417608	0.23783836	0.1514137	0.0001559836
18	0.23848912	0.20343135	0.9429427	0.23153876	0.15959822	0.00024010675
19	0.19078352	0.2017505	0.9447014	0.25416756	0.17857143	0.00024010675
20	0.23467487	0.19958425	0.9444376	0.2767928	0.16741072	0.00024010675
21	0.23633242	0.20147549	0.9441922	0.29830816	0.18638393	0.00024010675
22	0.19662398	0.19924301	0.9446617	0.28022075	0.15736607	0.00034004275
23	0.1915857	0.19983059	0.94536585	0.3210601	0.17075893	0.00034004275
24	0.15367682	0.19771612	0.94603145	0.3114867	0.19122024	0.00034004275
25	0.16529131	0.19874845	0.946559	0.32093608	0.17336309	0.00034004275
26	0.120499216	0.20088398	0.9466172	0.3519841	0.19903274	0.00034004275
