epoch	training_loss	validation_loss	validation_token_accuracy	metabolite_coverage_score	top_1_metabolite_score	lr-Adam
0	0.62662214	0.6242515	0.8213363	0.0052083335	0.0052083335	
1	0.5436292	0.49967062	0.84132004	0.010416667	0.0052083335	
2	0.5488651	0.43365723	0.86070967	0.015625	0.0052083335	
3	0.44457424	0.39169464	0.87743074	0.013020833	0.013020833	
4	0.4181312	0.36233708	0.888869	0.018229166	0.015625	
5	0.35308143	0.33468807	0.8988488	0.05746882	0.03125	
6	0.45158133	0.31101975	0.9064018	0.06685622	0.057291668	
7	0.41702014	0.2929288	0.91369337	0.099036284	0.065476194	7.198673e-05
8	0.25149524	0.2789094	0.91781896	0.10896312	0.06287202	7.198673e-05
9	0.42462054	0.26875237	0.91995084	0.11600057	0.055059522	7.198673e-05
10	0.242675	0.2601905	0.92018795	0.12355885	0.041666668	7.198673e-05
11	0.26909763	0.25395223	0.92198527	0.1321154	0.052083332	7.198673e-05
12	0.3518354	0.24684764	0.924343	0.15000974	0.05766369	7.198673e-05
13	0.233678	0.2407172	0.9279801	0.15859109	0.05543155	7.198673e-05
14	0.26535743	0.23315223	0.92897964	0.17322403	0.07254464	0.0001661035
15	0.21504812	0.22817019	0.93120444	0.19449139	0.06138393	0.0001661035
16	0.39536333	0.22100495	0.9334431	0.21755686	0.0796131	0.0001661035
17	0.2307441	0.21744439	0.9365692	0.23249982	0.13132441	0.0001661035
18	0.2853125	0.21421859	0.9379576	0.25532347	0.17559524	0.0001661035
19	0.23577759	0.20942831	0.9387222	0.29466236	0.18973215	0.0001661035
20	0.24241555	0.2057596	0.9401537	0.29317424	0.19419643	0.0001661035
21	0.22339524	0.20403452	0.9406948	0.31554174	0.23549107	0.00030930893
22	0.21986443	0.20061962	0.9424387	0.3422433	0.27566963	0.00030930893
23	0.22632523	0.19416574	0.9440933	0.3422123	0.33630952	0.00030930893
24	0.18731801	0.19658102	0.9446647	0.35929438	0.3497024	0.00030930893
25	0.21826081	0.19452763	0.9447714	0.35921115	0.33110118	0.00030930893
26	0.21342708	0.19461693	0.9451597	0.37392733	0.34486607	0.00030930893
27	0.23558396	0.19409868	0.94588816	0.3702009	0.375	0.00030930893
28	0.19290888	0.19272724	0.9464818	0.3861421	0.4043899	0.00048173912
29	0.15280513	0.19124947	0.9474052	0.4110057	0.37574404	0.00048173912
30	0.16487044	0.1921988	0.94677925	0.4204241	0.39136904	0.00048173912
31	0.18412411	0.19654176	0.94728076	0.42723835	0.41369048	0.00048173912
32	0.21841377	0.19752085	0.94612557	0.43849206	0.40252978	0.00048173912
33	0.15535745	0.19745839	0.9479642	0.43519965	0.41183037	0.00048173912
34	0.20735231	0.19417198	0.9470122	0.43071055	0.40550596	0.00048173912
35	0.17332247	0.2018376	0.9466548	0.42974952	0.4047619	0.00065947644
36	0.20287348	0.20040119	0.94983125	0.44900793	0.37202382	0.00065947644
37	0.18173689	0.20297441	0.94898695	0.43351668	0.4311756	0.00065947644
38	0.17807986	0.20151561	0.94959307	0.42273685	0.41480654	0.00065947644
39	0.12232892	0.20556486	0.9470021	0.41033605	0.37239584	0.00065947644
40	0.1892797	0.21187153	0.9479179	0.4467324	0.4047619	0.00065947644
41	0.20169075	0.20877025	0.9474239	0.42860243	0.37090772	0.00065947644
42	0.1565343	0.20862432	0.9494762	0.44270214	0.44419643	0.0008178671
43	0.18289495	0.20715939	0.9490683	0.431126	0.4107143	0.0008178671
44	0.19488017	0.21404289	0.94827574	0.42824635	0.4624256	0.0008178671
45	0.21022052	0.2209328	0.9469962	0.45650157	0.3843006	0.0008178671
46	0.17980072	0.21532606	0.9454216	0.45279017	0.42857143	0.0008178671
47	0.23286282	0.21516159	0.94779724	0.46765873	0.44605654	0.0008178671
48	0.18489659	0.20840672	0.94816613	0.4563182	0.43080357	0.0008178671
49	0.14689855	0.21388483	0.9499042	0.4671379	0.41369048	0.00093494094
50	0.25288764	0.2117607	0.9493699	0.461205	0.43638393	0.00093494094
51	0.26311094	0.20778374	0.948865	0.47825256	0.44419643	0.00093494094
52	0.1995189	0.21974215	0.94897115	0.44439837	0.48400298	0.00093494094
53	0.23506887	0.21285197	0.94947696	0.46042642	0.4549851	0.00093494094
54	0.18894617	0.213092	0.9507272	0.4359012	0.4315476	0.00093494094
55	0.15346795	0.22097448	0.9497026	0.4424364	0.41294643	0.00093494094
56	0.2183782	0.21340363	0.9492339	0.45971957	0.4720982	0.00093494094
57	0.16320893	0.21655999	0.9506912	0.44938704	0.43229166	0.0009944587
58	0.10987282	0.21372849	0.9512258	0.4620695	0.45014882	0.0009944587
59	0.14955148	0.22354305	0.9479049	0.46968713	0.43452382	0.0009944587
60	0.121366136	0.21779059	0.9477883	0.43237582	0.42894346	0.0009944587
61	0.16296011	0.23229179	0.94874257	0.4408482	0.43080357	0.0009944587
62	0.17355804	0.22538817	0.9465771	0.47316557	0.40215772	0.0009944587
63	0.122271806	0.23279941	0.9486026	0.44176322	0.4233631	0.0009944587
64	0.14165352	0.22546582	0.94862866	0.44362953	0.42894346	0.0009977387
65	0.16491063	0.2240243	0.94921124	0.4503481	0.4393601	0.0009977387
66	0.13386269	0.22232696	0.94940835	0.46672335	0.42075893	0.0009977387
67	0.21180852	0.23314121	0.94922864	0.466726	0.43489584	0.0009977387
68	0.12609757	0.22452334	0.9502481	0.47080943	0.42745537	0.0009977387
69	0.14100936	0.21634425	0.9507807	0.47134265	0.40513393	0.0009977387
70	0.14205539	0.22314568	0.9502695	0.47409564	0.46056548	0.0009977387
71	0.11520575	0.22274329	0.9505533	0.45900032	0.46837798	0.0009837922
72	0.1812809	0.2242758	0.9491645	0.45666632	0.4549851	0.0009837922
73	0.16032282	0.23194382	0.9489088	0.4660351	0.47879463	0.0009837922
74	0.17449877	0.2316958	0.94789547	0.4760886	0.453125	0.0009837922
75	0.12759513	0.2353842	0.9484337	0.4450246	0.42410713	0.0009837922
76	0.14151342	0.22871958	0.9511573	0.4432885	0.4627976	0.0009837922
77	0.18066682	0.23356807	0.9476827	0.4638189	0.4360119	0.0009837922
78	0.1332316	0.22454655	0.948288	0.45119402	0.4438244	0.00095746084
79	0.15010543	0.22535528	0.9475064	0.4552863	0.4468006	0.00095746084
80	0.12600026	0.22804706	0.9498829	0.47225058	0.4706101	0.00095746084
81	0.16022624	0.23396169	0.9506274	0.4647109	0.453125	0.00095746084
82	0.14276475	0.23556241	0.9481718	0.47447652	0.46019346	0.00095746084
83	0.14433071	0.22532497	0.9509734	0.4807389	0.43973213	0.00095746084
84	0.09976811	0.23668727	0.94892573	0.47829595	0.45572916	0.00095746084
85	0.1128645	0.23613	0.948698	0.46904495	0.45796132	0.00091941847
86	0.11598434	0.24854568	0.94979465	0.47494775	0.46763393	0.00091941847
87	0.13977806	0.25125325	0.9502517	0.4658739	0.4203869	0.00091941847
88	0.18019071	0.23964228	0.9490129	0.48286298	0.44159228	0.00091941847
89	0.15184513	0.2415603	0.9494657	0.48258397	0.46316963	0.00091941847
90	0.15138303	0.23872228	0.95048577	0.4580614	0.46651787	0.00091941847
91	0.20374316	0.24052523	0.94905066	0.4517246	0.4720982	0.00091941847
92	0.1600681	0.24286197	0.9496022	0.4720557	0.44940478	0.00087063905
93	0.14035575	0.25132483	0.948663	0.46274891	0.44828868	0.00087063905
94	0.12792622	0.24366	0.950458	0.4735376	0.48921132	0.00087063905
95	0.20267199	0.24431285	0.95235556	0.4798	0.4747024	0.00087063905
96	0.12491996	0.24816383	0.95124006	0.4656879	0.4575893	0.00087063905
97	0.11352991	0.25661165	0.95067954	0.47913036	0.4799107	0.00087063905
98	0.12064552	0.25231606	0.95149803	0.48246616	0.46130952	0.00087063905
99	0.14952108	0.24994983	0.95069855	0.47873	0.48995537	0.0008123714
100	0.19390559	0.2427994	0.9508388	0.4758034	0.46391368	0.0008123714
101	0.112561345	0.24841608	0.95119643	0.4570782	0.48735118	0.0008123714
102	0.16369142	0.25881678	0.9493374	0.46013853	0.4825149	0.0008123714
103	0.13835327	0.25794482	0.9507446	0.4966899	0.47953868	0.0008123714
104	0.14411055	0.25100857	0.95196396	0.47777867	0.47135416	0.0008123714
105	0.12992977	0.24800451	0.9523409	0.4580738	0.46316963	0.0008123714
106	0.14579488	0.25103402	0.95136213	0.46289772	0.46502978	0.0008123714
107	0.11672662	0.24839512	0.9497212	0.452109	0.4765625	0.0007461071
108	0.08675269	0.24679235	0.95085835	0.49293244	0.45424107	0.0007461071
109	0.09514092	0.24850427	0.9521509	0.4785475	0.47433037	0.0007461071
110	0.1259335	0.25067747	0.9505379	0.47400883	0.48511904	0.0007461071
111	0.101716496	0.24336569	0.9525028	0.4862856	0.48735118	0.0007461071
112	0.11611862	0.24793251	0.95258373	0.49428412	0.45796132	0.0007461071
113	0.16293675	0.2560284	0.9501024	0.47882032	0.4471726	0.0007461071
114	0.13296677	0.25850984	0.9516642	0.4736368	0.48735118	0.0006735425
115	0.13408142	0.26383278	0.95153797	0.46675435	0.5026042	0.0006735425
116	0.18188284	0.25264877	0.9520961	0.48777372	0.50074404	0.0006735425
117	0.097478256	0.25841242	0.9516995	0.48082927	0.4828869	0.0006735425
118	0.14345701	0.25460693	0.9521694	0.48206934	0.50074404	0.0006735425
119	0.14529528	0.25257036	0.95186174	0.47878313	0.46316963	0.0006735425
120	0.10165224	0.2719347	0.95090747	0.47239673	0.45982143	0.0006735425
121	0.13022405	0.2573643	0.95158875	0.4750009	0.4706101	0.0005965353
122	0.09042397	0.2612158	0.95248586	0.47784066	0.4985119	0.0005965353
123	0.17681594	0.25831425	0.95144796	0.48250335	0.50074404	0.0005965353
124	0.13899027	0.2591484	0.9512548	0.47560853	0.46354166	0.0005965353
125	0.15824628	0.2532981	0.9509363	0.47151625	0.49590772	0.0005965353
126	0.12383333	0.2633969	0.951564	0.47753066	0.48995537	0.0005965353
127	0.14394128	0.25439298	0.95034695	0.47455445	0.50074404	0.0005965353
128	0.10962179	0.26252806	0.9513335	0.49182877	0.4955357	0.00051705685
129	0.112781405	0.26339084	0.9513613	0.48714125	0.4828869	0.00051705685
130	0.13383806	0.26599032	0.95060277	0.48199493	0.4877232	0.00051705685
131	0.13551304	0.26381117	0.95018923	0.4702142	0.45052084	0.00051705685
132	0.090301976	0.2682356	0.9503091	0.48267698	0.47433037	0.00051705685
133	0.15265062	0.27438608	0.9504843	0.47263235	0.46168154	0.00051705685
134	0.100069575	0.26619676	0.94993806	0.46481985	0.43229166	0.00051705685
135	0.0965182	0.26437557	0.94992065	0.47083423	0.46651787	0.00043714177
136	0.11330128	0.26776123	0.95018315	0.47579452	0.46354166	0.00043714177
137	0.13504086	0.26300734	0.95080185	0.47932875	0.48474702	0.00043714177
138	0.13543351	0.265341	0.9512669	0.4800728	0.51636904	0.00043714177
139	0.09726089	0.26577324	0.95184815	0.48404106	0.4906994	0.00043714177
140	0.10264237	0.26340747	0.95150244	0.49482974	0.4765625	0.00043714177
