parent_name,child_name,parent_smiles,child_smiles,source,fps
(-)-Epigallocatechin gallate,"(-)-Epigallocatechin gallate, 3p-OH-glucuronide",O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c1)c1cc(O)c(O)c(O)c1,MetXBioDB,[0 0 0 ... 0 0 0]
(-)-Epigallocatechin gallate,"(-)-Epigallocatechin gallate, 4p-OH-glucuronide",O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c(O)c1)c1cc(O)c(O)c(O)c1,MetXBioDB,[0 0 0 ... 0 0 0]
(-)-Epigallocatechin,"(-)-Epigallocatechin, 3p-OH-glucuronide",Oc1cc(O)c2c(c1)O[C@H](c1cc(O)c(O)c(O)c1)[C@H](O)C2,O=C(O)[C@H]1O[C@@H](Oc2cc([C@H]3Oc4cc(O)cc(O)c4C[C@H]3O)cc(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,MetXBioDB,[0 0 0 ... 0 0 0]
2-Hydroxychalcone,"2-Hydroxychalcone, 2-OH glucuronide",O=C(/C=C/c1ccccc1O)c1ccccc1,O=C(/C=C/c1ccccc1O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,MetXBioDB,[0 0 0 ... 0 0 0]
4-Hydroxychalcone,"4-Hydroxychalcone, 4-OH-glucuronide",O=C(/C=C/c1ccc(O)cc1)c1ccccc1,O=C(/C=C/c1ccc(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc1)c1ccccc1,MetXBioDB,[0 0 0 ... 0 0 0]
2p-Hydroxychalcone,"2p-Hydroxychalcone, 2p-OH-glucuronide",O=C(/C=C/c1ccccc1)c1ccccc1O,O=C(/C=C/c1ccccc1)c1ccccc1O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O,MetXBioDB,[0 0 0 ... 0 0 0]
4p-Hydroxychalcone,"4p-Hydroxychalcone, 4p-OH-glucuronide",O=C(/C=C/c1ccccc1)c1ccc(O)cc1,O=C(/C=C/c1ccccc1)c1ccc(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc1,MetXBioDB,[0 0 0 ... 0 0 0]
Phloretin,"Phloretin, 4p-OH-glucuronide",O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,O=C(CCc1ccc(O)cc1)c1c(O)cc(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc1O,MetXBioDB,[0 0 0 ... 0 0 0]
7-Hydroxychromone,"7-Hydroxychromone, 7-OH-glucuronide",O=c1ccoc2cc(O)ccc12,O=C(O)[C@H]1O[C@@H](Oc2ccc3c(=O)ccoc3c2)[C@H](O)[C@@H](O)[C@@H]1O,MetXBioDB,[0 0 0 ... 0 0 0]
"3,4-Diphenyl-7-hydroxycoumarin","3,4-Diphenyl-7-hydroxycoumarin, 7-OH-glucuronide",O=c1oc2cc(O)ccc2c(-c2ccccc2)c1-c1ccccc1,O=C(O)[C@H]1O[C@@H](Oc2ccc3c(-c4ccccc4)c(-c4ccccc4)c(=O)oc3c2)[C@H](O)[C@@H](O)[C@@H]1O,MetXBioDB,[0 0 0 ... 0 0 0]
4-Methylumbelliferone,4-Methylumbelliferone O-glucuronide,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)ccc12,MetXBioDB,[0 0 0 ... 0 0 0]
4-Hydroxy-6-methylcoumarin,"6-methylcoumarin, 4-O-glucuronide",Cc1ccc2oc(=O)cc(O)c2c1,Cc1ccc2oc(=O)cc(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c2c1,MetXBioDB,[0 0 0 ... 0 0 0]
6-Hydroxy-7-methoxyl-4-phenylcoumarin,"7-methoxyl-4-phenylcoumarin, 6-O-glucuronide",COc1cc2oc(=O)cc(-c3ccccc3)c2cc1O,COc1cc2oc(=O)cc(-c3ccccc3)c2cc1O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O,MetXBioDB,[0 0 0 ... 0 0 0]
