epoch	training_loss	validation_loss	validation_token_accuracy	metabolite_coverage_score	top_1_metabolite_score	lr-Adam
0	0.28345576	0.27441445	0.9265618	0.13779762	0.15401785	
1	0.26778084	0.24254464	0.9364711	0.18008433	0.14880952	
2	0.2645419	0.22607592	0.9403904	0.22593626	0.14099702	
3	0.24059632	0.212336	0.94313693	0.290563	0.14694941	
4	0.27442953	0.20590831	0.9446629	0.29911333	0.14694941	5.0950268e-05
5	0.2612813	0.19978112	0.9468529	0.309344	0.14174107	5.0950268e-05
6	0.20146109	0.19549848	0.94673014	0.33538565	0.14174107	5.0950268e-05
7	0.24504697	0.19149764	0.94745684	0.3472284	0.15550596	5.0950268e-05
8	0.24248406	0.18688683	0.9492362	0.36195436	0.171875	8.4175794e-05
9	0.21899956	0.18120085	0.95037377	0.38880208	0.20386904	8.4175794e-05
10	0.20127277	0.17904551	0.95169294	0.37874505	0.19866072	8.4175794e-05
11	0.2276053	0.17836916	0.9509948	0.38635913	0.19605654	8.4175794e-05
12	0.20899434	0.1747352	0.95267963	0.39475447	0.21986607	0.00013810294
13	0.19296417	0.17636076	0.9522521	0.39243552	0.21465774	0.00013810294
14	0.17007542	0.173886	0.9525542	0.39798486	0.23809524	0.00013810294
15	0.19331796	0.17532034	0.9528774	0.41292164	0.20647322	0.00013810294
16	0.16908655	0.17541143	0.953053	0.42106894	0.20833333	0.00021017017
17	0.175929	0.17969517	0.9537965	0.41958085	0.21465774	0.00021017017
18	0.19358727	0.18044852	0.95233464	0.43519965	0.20126489	0.00021017017
19	0.20603435	0.17979027	0.9533752	0.4456101	0.2217262	0.00021017017
20	0.19393413	0.18416594	0.9528748	0.4379216	0.22693452	0.0002969543
21	0.19197598	0.18273391	0.9523146	0.45881698	0.20052083	0.0002969543
22	0.19030635	0.18928039	0.95277476	0.4344308	0.18936011	0.0002969543
23	0.1355161	0.18595046	0.9533502	0.4513579	0.23697917	0.0002969543
24	0.1693097	0.18689993	0.9541803	0.45247397	0.23325893	0.00039433307
25	0.16493474	0.18918146	0.9537209	0.4639323	0.20163691	0.00039433307
26	0.14371681	0.18899798	0.9545325	0.45419767	0.2641369	0.00039433307
27	0.17377365	0.19192342	0.95402145	0.45203993	0.22023809	0.00039433307
28	0.14452828	0.19329913	0.952751	0.44788566	0.22805059	0.00039433307
29	0.13040039	0.1919446	0.9523163	0.44571552	0.23363096	0.00049768103
30	0.16693239	0.19687605	0.9524357	0.43249628	0.2061012	0.00049768103
31	0.1672127	0.19050881	0.9528625	0.4485987	0.23325893	0.00049768103
32	0.16735394	0.1960978	0.95291233	0.44339657	0.21614583	0.00049768103
33	0.14847341	0.19422013	0.955704	0.4389509	0.21316965	0.00060208916
34	0.18049939	0.20734876	0.95256126	0.4455915	0.23772322	0.00060208916
35	0.15695152	0.19823748	0.9533678	0.4515005	0.25037202	0.00060208916
36	0.1717833	0.20872878	0.9519916	0.44655257	0.24739583	0.00060208916
37	0.1637699	0.21019235	0.9506524	0.4375496	0.2079613	0.000702598
38	0.15912434	0.2015192	0.9526029	0.44450644	0.20163691	0.000702598
39	0.15069465	0.20621423	0.952975	0.4418589	0.21837798	0.000702598
40	0.15093431	0.20389685	0.9515682	0.43492684	0.22991072	0.000702598
41	0.186343	0.19900969	0.9515972	0.46207216	0.23363096	0.0007944335
42	0.13350187	0.2039202	0.95351195	0.4343564	0.2611607	0.0007944335
43	0.15843664	0.20641503	0.95198184	0.44146827	0.25111607	0.0007944335
44	0.1665505	0.20195475	0.9513388	0.44828868	0.24627976	0.0007944335
45	0.13789195	0.20114748	0.95302767	0.4468688	0.26860118	0.0008732334
46	0.15704016	0.20611703	0.9513329	0.4425409	0.21354167	0.0008732334
47	0.16783878	0.20248142	0.95276165	0.45866194	0.2109375	0.0008732334
48	0.16146617	0.20798238	0.95201826	0.41772074	0.234375	0.0008732334
49	0.18476991	0.20576026	0.9541295	0.45903397	0.26785713	0.00093525473
50	0.15648878	0.21190716	0.95187026	0.4262339	0.23325893	0.00093525473
51	0.13881561	0.20615219	0.9539167	0.4340588	0.24293154	0.00093525473
52	0.15109916	0.2112666	0.9520174	0.42731896	0.23958333	0.00093525473
53	0.1570966	0.21050166	0.95083076	0.431405	0.24479167	0.00093525473
54	0.14909506	0.21276109	0.95097387	0.44365078	0.2373512	0.0009775516
55	0.15291764	0.20946947	0.9520028	0.46775794	0.24107143	0.0009775516
56	0.14918448	0.20996708	0.951849	0.46964905	0.30580357	0.0009775516
57	0.13901137	0.20532283	0.9517281	0.44035217	0.23325893	0.0009775516
58	0.17551205	0.2070828	0.953375	0.45898438	0.26636904	0.0009981146
59	0.14572783	0.21489039	0.9513561	0.44764385	0.21912202	0.0009981146
60	0.13764887	0.22188604	0.95156455	0.43963915	0.25855654	0.0009981146
61	0.16527425	0.22066066	0.950752	0.42576885	0.22805059	0.0009981146
62	0.15466046	0.21655191	0.951453	0.42585567	0.24255952	0.0009992297
63	0.15249935	0.22488679	0.949276	0.44583952	0.24255952	0.0009992297
64	0.16573423	0.21762973	0.95132035	0.45058283	0.24255952	0.0009992297
65	0.15213254	0.22407661	0.95113623	0.44932416	0.234375	0.0009992297
66	0.15592723	0.21043861	0.95255506	0.46037325	0.29315478	0.0009944618
67	0.14333102	0.21189809	0.9526458	0.46499875	0.25111607	0.0009944618
68	0.13899648	0.22175089	0.95264155	0.44035217	0.26004463	0.0009944618
69	0.16492979	0.21994884	0.9518097	0.45073783	0.23363096	0.0009944618
70	0.13148563	0.22355565	0.95076853	0.4544581	0.24925596	0.0009853779
71	0.14648718	0.21682893	0.94946706	0.4312686	0.23846726	0.0009853779
72	0.13963853	0.23520419	0.95053875	0.43629092	0.2715774	0.0009853779
73	0.15691122	0.22483884	0.95265615	0.43539187	0.25037202	0.0009853779
74	0.1568779	0.21008635	0.9531671	0.45121527	0.26450893	0.0009720574
