epoch	training_loss	validation_loss	validation_token_accuracy	metabolite_coverage_score	top_1_metabolite_score	lr-Adam
0	0.267571	0.29634133	0.92093074	0.083525546	0.049479168	
1	0.26670325	0.25118494	0.9299511	0.14579967	0.072916664	
2	0.20467141	0.22752844	0.93759763	0.18518725	0.065104164	
3	0.17770061	0.21459247	0.942013	0.22306281	0.0546875	
4	0.17616141	0.2042044	0.9440669	0.26702362	0.11495536	
5	0.19241983	0.19516012	0.94576615	0.29052314	0.118303575	
6	0.21663824	0.18694757	0.94703764	0.3162548	0.11346726	
7	0.15047097	0.179468	0.94895303	0.34366053	0.17447917	7.198673e-05
8	0.14807747	0.17449012	0.9502165	0.36889616	0.2061012	7.198673e-05
9	0.18001015	0.17144668	0.9519714	0.37968484	0.24367559	7.198673e-05
10	0.22213776	0.16730952	0.9524286	0.4055095	0.3002232	7.198673e-05
11	0.12712015	0.16421647	0.9528321	0.42285466	0.3169643	7.198673e-05
12	0.13124663	0.16263601	0.9542656	0.42067567	0.32849702	7.198673e-05
13	0.14920358	0.16156557	0.95529187	0.42552084	0.3735119	7.198673e-05
14	0.097978875	0.16315155	0.95541716	0.4463577	0.41889882	0.0001661035
15	0.11018429	0.16596529	0.9558941	0.4576513	0.4434524	0.0001661035
16	0.10294327	0.16870438	0.95630264	0.4638083	0.43080357	0.0001661035
17	0.100953884	0.17253229	0.95630306	0.48068932	0.47767857	0.0001661035
18	0.06844831	0.18060577	0.9557163	0.48844865	0.45721728	0.0001661035
19	0.08330441	0.18586008	0.955265	0.49631432	0.46949404	0.0001661035
20	0.0728566	0.1875232	0.955713	0.48735738	0.43452382	0.0001661035
21	0.07166857	0.19489755	0.95510674	0.4819232	0.4940476	0.00030930893
22	0.05382527	0.19808291	0.9552649	0.48909083	0.47433037	0.00030930893
23	0.06409765	0.20194116	0.9547769	0.48732638	0.4627976	0.00030930893
24	0.08108764	0.20626912	0.95435816	0.49370393	0.50074404	0.00030930893
25	0.046299927	0.20898837	0.95420504	0.4890138	0.43377978	0.00030930893
26	0.05920204	0.20598707	0.9552009	0.50192565	0.4263393	0.00030930893
27	0.043164704	0.21232335	0.9557979	0.50450766	0.4486607	0.00030930893
28	0.05123697	0.21441603	0.9544493	0.48124734	0.48809522	0.00048173912
29	0.05367946	0.21702272	0.9552318	0.4985863	0.4750744	0.00048173912
30	0.052199014	0.21342196	0.95688283	0.475698	0.48697916	0.00048173912
31	0.060759272	0.21644495	0.9554428	0.49964038	0.4981399	0.00048173912
32	0.038843863	0.22598407	0.9537832	0.47899306	0.49627978	0.00048173912
33	0.05685117	0.22627698	0.9555507	0.49274907	0.45610118	0.00048173912
34	0.035031423	0.22852293	0.9546481	0.49326637	0.49479166	0.00048173912
35	0.06493137	0.22895901	0.9543683	0.4966766	0.4672619	0.00065947644
36	0.06191177	0.2224001	0.9516075	0.47657225	0.46875	0.00065947644
37	0.053902563	0.23374766	0.9538598	0.5035156	0.47098213	0.00065947644
38	0.04199009	0.2296522	0.9537085	0.50065726	0.51116073	0.00065947644
39	0.05922165	0.23457333	0.95449996	0.5046627	0.5186012	0.00065947644
40	0.036565576	0.24246594	0.9525277	0.4796565	0.4654018	0.00065947644
41	0.023813605	0.23102845	0.9536964	0.4892857	0.4784226	0.00065947644
42	0.036793996	0.24167112	0.9526825	0.49097222	0.52380955	0.0008178671
43	0.056535993	0.24095601	0.9545842	0.5017795	0.5063244	0.0008178671
44	0.031679314	0.24039583	0.9537953	0.47808778	0.5014881	0.0008178671
45	0.050918046	0.25054306	0.953297	0.5063058	0.46577382	0.0008178671
46	0.027982235	0.23978218	0.954415	0.51086307	0.49255952	0.0008178671
47	0.0332829	0.24867983	0.95452034	0.49719122	0.46019346	0.0008178671
48	0.034444578	0.25078112	0.953093	0.46755332	0.4888393	0.0008178671
49	0.044282164	0.2453109	0.9541764	0.4889819	0.5	0.00093494094
50	0.030554086	0.24483697	0.9542657	0.4673053	0.4706101	0.00093494094
51	0.036219373	0.2455899	0.95181936	0.47935888	0.46130952	0.00093494094
52	0.03900016	0.27157944	0.9537684	0.48789063	0.49255952	0.00093494094
53	0.040091887	0.24717338	0.9546039	0.48045015	0.47767857	0.00093494094
54	0.029596033	0.23722714	0.9524763	0.4970672	0.49590772	0.00093494094
55	0.05515944	0.26310217	0.9535483	0.48807663	0.48735118	0.00093494094
56	0.03177761	0.23419328	0.9547783	0.49282613	0.53311014	0.00093494094
57	0.030450134	0.24490963	0.9519422	0.4975544	0.47172618	0.0009944587
58	0.044260222	0.2401582	0.95049995	0.4492471	0.3999256	0.0009944587
59	0.032033525	0.255526	0.9518608	0.4688554	0.46130952	0.0009944587
60	0.01676833	0.2621154	0.9522716	0.4927553	0.43824404	0.0009944587
61	0.029409088	0.24828413	0.95271415	0.4920201	0.48958334	0.0009944587
62	0.042052604	0.25329226	0.953827	0.5016927	0.48697916	0.0009944587
63	0.02259272	0.2760597	0.9540103	0.47676712	0.4940476	0.0009944587
64	0.038376853	0.26862895	0.95447236	0.4704427	0.4906994	0.0009977387
65	0.041765485	0.25679782	0.9538685	0.4710787	0.4732143	0.0009977387
66	0.046518333	0.26815045	0.9534554	0.5011382	0.47358632	0.0009977387
67	0.026743734	0.2794728	0.95286417	0.4931397	0.48474702	0.0009977387
68	0.032606937	0.27103892	0.95435846	0.50509405	0.4453125	0.0009977387
69	0.033628132	0.2935822	0.95199704	0.4663912	0.48214287	0.0009977387
70	0.031801604	0.29072815	0.95267826	0.48859215	0.4825149	0.0009977387
71	0.030402625	0.3014904	0.95327497	0.45595858	0.44159228	0.0009837922
72	0.039554823	0.27017397	0.9538115	0.48061135	0.48549107	0.0009837922
73	0.028442625	0.2904749	0.9531816	0.4827691	0.4784226	0.0009837922
74	0.032364767	0.2899522	0.95207554	0.48927066	0.4750744	0.0009837922
75	0.035280533	0.28123182	0.95268846	0.50935996	0.45833334	0.0009837922
76	0.021068344	0.2835793	0.9540602	0.49078354	0.47284228	0.0009837922
77	0.02834255	0.29016352	0.9520884	0.48043776	0.47098213	0.0009837922
78	0.020813098	0.2878743	0.95344585	0.4781064	0.48921132	0.00095746084
79	0.020888692	0.2875406	0.95427597	0.49174726	0.48363096	0.00095746084
80	0.027440028	0.29341513	0.9521632	0.4812314	0.46912202	0.00095746084
81	0.023848899	0.2932584	0.9521724	0.47689113	0.4747024	0.00095746084
82	0.044175632	0.29395252	0.9525512	0.4963887	0.44456846	0.00095746084
83	0.032452967	0.299492	0.9531225	0.47744915	0.49330357	0.00095746084
