epoch	training_loss	validation_loss	validation_token_accuracy	metabolite_coverage_score	top_1_metabolite_score	lr-Adam
0	0.2923348	0.31087816	0.91475266	0.08541667	0.0703125	
1	0.30728528	0.2621607	0.9268228	0.1407738	0.065104164	
2	0.20179795	0.23710135	0.934034	0.16951884	0.052083332	
3	0.18620792	0.22447151	0.9394503	0.2092138	0.02938988	
4	0.26392114	0.21250945	0.9429889	0.25753704	0.08370536	
5	0.18024239	0.20201734	0.9454603	0.29692814	0.12053572	
6	0.17571764	0.1927064	0.946528	0.3167198	0.100446425	
7	0.21084797	0.1844602	0.9477544	0.3422433	0.11272322	7.198673e-05
8	0.11843154	0.17855582	0.94934195	0.34707075	0.1688988	7.198673e-05
9	0.092500314	0.17605507	0.95079094	0.37305927	0.2109375	7.198673e-05
10	0.14028865	0.17195079	0.9519452	0.39094123	0.2596726	7.198673e-05
11	0.16025826	0.16818789	0.95274997	0.40434027	0.2950149	7.198673e-05
12	0.10886824	0.1654379	0.9548608	0.41370288	0.31956846	7.198673e-05
13	0.13288689	0.16446544	0.95499486	0.4309772	0.33668154	7.198673e-05
14	0.07987858	0.16541772	0.9556976	0.44523808	0.38578868	0.0001661035
15	0.086155586	0.1678846	0.9555927	0.45130563	0.3924851	0.0001661035
16	0.10963208	0.17144975	0.9552861	0.4711779	0.39732143	0.0001661035
17	0.0715779	0.17507705	0.9560783	0.4727156	0.43377978	0.0001661035
18	0.1011321	0.17996606	0.9558341	0.48798984	0.45238096	0.0001661035
19	0.08167577	0.18250127	0.9561907	0.49206084	0.46205357	0.0001661035
20	0.059247322	0.1887713	0.9557356	0.48419872	0.4862351	0.0001661035
21	0.046335805	0.19612263	0.9555396	0.46770212	0.47433037	0.00030930893
22	0.044790685	0.20262735	0.9556904	0.4859313	0.4877232	0.00030930893
23	0.07762934	0.20001732	0.9557774	0.48475942	0.45684522	0.00030930893
24	0.054713953	0.20860024	0.9548746	0.49650297	0.46391368	0.00030930893
25	0.043292936	0.21317565	0.95467544	0.49677047	0.453125	0.00030930893
26	0.09012912	0.20565605	0.9562497	0.4859818	0.4765625	0.00030930893
27	0.061605517	0.20730303	0.9554984	0.49179423	0.47135416	0.00030930893
28	0.05002809	0.21736084	0.95520574	0.48823518	0.45349702	0.00048173912
29	0.037008036	0.21381123	0.9558867	0.5126364	0.42447916	0.00048173912
30	0.042216074	0.22402892	0.95522004	0.5022817	0.4486607	0.00048173912
31	0.031856082	0.22290425	0.9546705	0.50248104	0.45424107	0.00048173912
32	0.040560152	0.22618182	0.9544093	0.4725296	0.47953868	0.00048173912
33	0.050693795	0.22477281	0.95485365	0.5002489	0.48511904	0.00048173912
34	0.038974866	0.22295217	0.9556357	0.48595965	0.47247022	0.00048173912
35	0.07252193	0.22931933	0.9545239	0.48016495	0.47730654	0.00065947644
36	0.06549962	0.22922967	0.9552872	0.5005058	0.47544643	0.00065947644
37	0.046313968	0.22116476	0.9536016	0.48344582	0.47358632	0.00065947644
38	0.052700814	0.2304364	0.95383006	0.48433515	0.48065478	0.00065947644
39	0.05049756	0.22609071	0.9538634	0.48539186	0.46502978	0.00065947644
40	0.051653657	0.23037668	0.9551117	0.50678414	0.49590772	0.00065947644
41	0.03153938	0.2386829	0.9528332	0.50165284	0.4810268	0.00065947644
42	0.040131547	0.22735614	0.9541714	0.48434755	0.47767857	0.0008178671
43	0.024287434	0.24193016	0.9538262	0.48461682	0.42857143	0.0008178671
44	0.05379286	0.23645146	0.95342255	0.48581085	0.4497768	0.0008178671
45	0.044501893	0.23086292	0.9527522	0.47343838	0.46502978	0.0008178671
46	0.030711165	0.25427473	0.9518537	0.47989565	0.44940478	0.0008178671
47	0.034940865	0.22901209	0.94461966	0.37329844	0.44159228	0.0008178671
48	0.036174517	0.22610946	0.95160955	0.44471106	0.4043899	0.0008178671
49	0.071782425	0.23677386	0.952247	0.4797619	0.4906994	0.00093494094
50	0.05425604	0.24315889	0.953465	0.47720733	0.44791666	0.00093494094
51	0.04067091	0.24070269	0.9545002	0.47679812	0.45275298	0.00093494094
52	0.038133975	0.24628867	0.9544946	0.49422744	0.46949404	0.00093494094
53	0.032441456	0.24944305	0.9523909	0.49237972	0.50855654	0.00093494094
54	0.029031886	0.24572934	0.95524704	0.48982516	0.53831846	0.00093494094
55	0.023603939	0.25700185	0.95467085	0.50718004	0.5342262	0.00093494094
56	0.026609639	0.2531136	0.95318985	0.51344866	0.53571427	0.00093494094
57	0.035817865	0.24665023	0.95349216	0.49574032	0.51525295	0.0009944587
58	0.02486033	0.25823256	0.9544915	0.48312873	0.4940476	0.0009944587
59	0.018460698	0.26088864	0.95500356	0.503714	0.4590774	0.0009944587
60	0.046772517	0.27202925	0.95396656	0.50501615	0.49702382	0.0009944587
61	0.02154983	0.2662448	0.9566865	0.5094804	0.4903274	0.0009944587
62	0.029451376	0.26445442	0.954534	0.48821658	0.48958334	0.0009944587
63	0.038885366	0.2675617	0.95374036	0.51085687	0.48846728	0.0009944587
64	0.028405635	0.27171016	0.9536529	0.5013738	0.45610118	0.0009977387
65	0.039637752	0.27749768	0.95368236	0.49744278	0.48809522	0.0009977387
66	0.03635969	0.2561784	0.9528392	0.5231496	0.48995537	0.0009977387
67	0.019919218	0.26839653	0.9526605	0.49237972	0.51376486	0.0009977387
68	0.027220191	0.26843137	0.953781	0.49277654	0.48809522	0.0009977387
69	0.053643715	0.28288424	0.953297	0.5085663	0.47730654	0.0009977387
