epoch	training_loss	validation_loss	validation_token_accuracy	metabolite_coverage_score	top_1_metabolite_score	lr-Adam
0	0.28754088	0.32072562	0.9107161	0.073177084	0.04501488	
1	0.2991262	0.27266866	0.923027	0.119603	0.0703125	
2	0.2938759	0.2450346	0.9315532	0.15601438	0.03125	
3	0.16708003	0.23087743	0.93740445	0.17879464	0.016369049	
4	0.2072734	0.21686617	0.94104326	0.24225305	0.059895832	
5	0.14100805	0.2047265	0.94510853	0.28109854	0.124255955	
6	0.19034296	0.19408317	0.94648844	0.3078311	0.093005955	
7	0.20222609	0.18622199	0.947697	0.3308966	0.071056545	7.198673e-05
8	0.18876201	0.18003629	0.9490334	0.3563802	0.16331846	7.198673e-05
9	0.1210478	0.17678203	0.95045286	0.36208457	0.18191965	7.198673e-05
10	0.19455361	0.17330694	0.9507271	0.38190106	0.20870535	7.198673e-05
11	0.11194818	0.1682868	0.9524421	0.40121529	0.27715772	7.198673e-05
12	0.1496968	0.16658148	0.95427525	0.41622025	0.30394346	7.198673e-05
13	0.155045	0.16598973	0.9535559	0.4330233	0.33333334	7.198673e-05
14	0.08865584	0.16540423	0.95471895	0.43376735	0.36793154	0.0001661035
15	0.1447212	0.16646114	0.95557165	0.43804562	0.38690478	0.0001661035
16	0.13575043	0.16901295	0.9561858	0.4607701	0.4281994	0.0001661035
17	0.08874192	0.17302638	0.95641106	0.4703807	0.4516369	0.0001661035
18	0.0825841	0.17769262	0.95593274	0.47576264	0.4233631	0.0001661035
19	0.087985046	0.17861293	0.9554206	0.4953559	0.4575893	0.0001661035
20	0.079887316	0.18981624	0.9544417	0.49154267	0.4341518	0.0001661035
21	0.06270182	0.19640623	0.9553552	0.4889695	0.44494048	0.00030930893
22	0.092532955	0.19476174	0.954954	0.48720238	0.47395834	0.00030930893
23	0.046471514	0.20716825	0.9548105	0.47359252	0.48735118	0.00030930893
24	0.04992853	0.2096791	0.95455027	0.49717617	0.41964287	0.00030930893
25	0.05520038	0.21308805	0.95526314	0.49197668	0.43489584	0.00030930893
26	0.04844318	0.21681821	0.9555193	0.5111979	0.43824404	0.00030930893
27	0.041128047	0.21360837	0.9557997	0.48819444	0.47135416	0.00030930893
28	0.052435894	0.22254384	0.9532939	0.4910156	0.46391368	0.00048173912
29	0.05108974	0.22065942	0.9536341	0.49017859	0.4858631	0.00048173912
30	0.05533005	0.2268856	0.9548781	0.49132565	0.45052084	0.00048173912
31	0.042360637	0.22218463	0.9541923	0.5023003	0.5282738	0.00048173912
32	0.02952752	0.23358576	0.95487684	0.4937872	0.4468006	0.00048173912
33	0.05250092	0.22428577	0.9545635	0.497123	0.49962798	0.00048173912
34	0.039771903	0.23309475	0.9546901	0.47883806	0.46949404	0.00048173912
35	0.06175872	0.22858058	0.9537246	0.49662697	0.5029762	0.00065947644
36	0.05581344	0.23230568	0.9546551	0.4823324	0.45386904	0.00065947644
37	0.03814359	0.23454288	0.95503837	0.4721044	0.4862351	0.00065947644
38	0.037393834	0.2298209	0.95369786	0.49921256	0.48139882	0.00065947644
39	0.049969055	0.23611273	0.9534868	0.46867293	0.44791666	0.00065947644
40	0.038136005	0.23593967	0.9535464	0.48082218	0.4654018	0.00065947644
41	0.02493023	0.2438008	0.9523698	0.48037928	0.46912202	0.00065947644
42	0.029436935	0.24154839	0.95378965	0.4870137	0.49776787	0.0008178671
43	0.037595198	0.24260154	0.95459443	0.4784483	0.5037202	0.0008178671
44	0.04730443	0.23722593	0.9519095	0.5086035	0.50074404	0.0008178671
45	0.06314522	0.24330713	0.9522389	0.49377835	0.46875	0.0008178671
46	0.06936061	0.2326312	0.9531263	0.5074874	0.49702382	0.0008178671
47	0.039580673	0.250951	0.954121	0.50417906	0.50558037	0.0008178671
48	0.036085445	0.2331267	0.9532405	0.50398064	0.5078125	0.0008178671
49	0.0439372	0.25712568	0.95402205	0.5051649	0.5063244	0.00093494094
50	0.033842307	0.24940078	0.95289624	0.49473587	0.4438244	0.00093494094
51	0.039557774	0.25693303	0.95253885	0.49504587	0.48958334	0.00093494094
52	0.030573666	0.25550273	0.9522738	0.49900174	0.4624256	0.00093494094
53	0.034004875	0.26285407	0.9530386	0.47883806	0.46763393	0.00093494094
54	0.04627882	0.25217223	0.95264196	0.49317336	0.49293154	0.00093494094
55	0.03184526	0.24616541	0.95253676	0.49598834	0.4888393	0.00093494094
56	0.042618398	0.26431602	0.9516454	0.47407615	0.46465772	0.00093494094
57	0.039404746	0.24008739	0.95276064	0.5168093	0.46465772	0.0009944587
58	0.023558171	0.2703451	0.95238143	0.4889571	0.4624256	0.0009944587
59	0.027423587	0.25878692	0.9525424	0.4843936	0.46205357	0.0009944587
60	0.04762716	0.250753	0.95422304	0.502629	0.53162205	0.0009944587
61	0.029979777	0.2729638	0.95257723	0.50501615	0.4828869	0.0009944587
62	0.02928477	0.2675006	0.9522238	0.48191965	0.48028272	0.0009944587
63	0.03942933	0.2725944	0.95295805	0.47457838	0.4780506	0.0009944587
64	0.017178545	0.26501608	0.95273376	0.48007813	0.45796132	0.0009977387
65	0.03516745	0.28103736	0.9528132	0.4749504	0.43675596	0.0009977387
66	0.03468085	0.27596247	0.9533579	0.47229043	0.47544643	0.0009977387
67	0.034272593	0.2832561	0.9518322	0.4658358	0.44419643	0.0009977387
68	0.044308826	0.2762214	0.9511614	0.47695312	0.42447916	0.0009977387
69	0.034136295	0.27307466	0.95069695	0.47245163	0.4546131	0.0009977387
70	0.037476018	0.2819466	0.95209485	0.47849083	0.5029762	0.0009977387
71	0.027223919	0.27895835	0.9524114	0.47090155	0.45796132	0.0009837922
72	0.04450862	0.2879677	0.9518672	0.4722036	0.4702381	0.0009837922
73	0.020599026	0.30191034	0.9498255	0.4594928	0.49330357	0.0009837922
74	0.021484088	0.28230628	0.9496278	0.46959946	0.46168154	0.0009837922
75	0.023682063	0.29196718	0.9513447	0.4734189	0.4706101	0.0009837922
76	0.02964744	0.2855221	0.95070434	0.46895462	0.45833334	0.0009837922
77	0.02820483	0.3019835	0.951322	0.49931175	0.46763393	0.0009837922
78	0.042108264	0.30181947	0.9512337	0.4816034	0.43675596	0.00095746084
79	0.030461377	0.3088177	0.9530451	0.48185143	0.47879463	0.00095746084
80	0.018471073	0.3105975	0.95192087	0.47131076	0.46205357	0.00095746084
81	0.04880299	0.2970571	0.9532409	0.47893724	0.4706101	0.00095746084
82	0.028233534	0.28812486	0.9533267	0.4814794	0.45200893	0.00095746084
83	0.047051076	0.30585122	0.9541299	0.47881323	0.46502978	0.00095746084
84	0.0338362	0.320489	0.9524417	0.4518415	0.4888393	0.00095746084
85	0.021128368	0.30618346	0.9526224	0.47226563	0.45572916	0.00091941847
86	0.016712226	0.30456233	0.95260835	0.48603672	0.45089287	0.00091941847
87	0.029759632	0.321807	0.9526441	0.48674974	0.43861607	0.00091941847
88	0.037094638	0.3212863	0.95248115	0.4845424	0.48177084	0.00091941847
89	0.041416842	0.31887433	0.95254743	0.4687066	0.47619048	0.00091941847
90	0.033235297	0.32175782	0.95076895	0.47155878	0.45572916	0.00091941847
91	0.036993228	0.30743682	0.95089656	0.46912822	0.44605654	0.00091941847
92	0.021203788	0.3424939	0.95265883	0.4768291	0.48139882	0.00087063905
93	0.032458052	0.3148259	0.951586	0.49280134	0.45052084	0.00087063905
94	0.013868424	0.34411097	0.9523031	0.47847843	0.45796132	0.00087063905
95	0.023189105	0.3127353	0.95094573	0.46963665	0.45982143	0.00087063905
96	0.02346776	0.32879776	0.9524134	0.4809125	0.46875	0.00087063905
97	0.021255277	0.32658464	0.95354885	0.48402157	0.4575893	0.00087063905
98	0.019902026	0.34685197	0.95296407	0.4781188	0.48660713	0.00087063905
99	0.030936236	0.33602577	0.95221287	0.47375372	0.47879463	0.0008123714
100	0.023579784	0.34477434	0.9518161	0.47188476	0.4888393	0.0008123714
101	0.019012751	0.33856195	0.95268387	0.4713887	0.49330357	0.0008123714
102	0.0190832	0.35211253	0.95346	0.4588019	0.46986607	0.0008123714
103	0.024891363	0.3360236	0.9527782	0.4775271	0.4858631	0.0008123714
104	0.025784273	0.33882663	0.95326847	0.48212427	0.49962798	0.0008123714
105	0.021191811	0.3453463	0.95278883	0.47418776	0.50074404	0.0008123714
106	0.020857858	0.3272166	0.9532048	0.47914806	0.48400298	0.0008123714
107	0.014899091	0.33815593	0.9534297	0.4702815	0.51004463	0.0007461071
108	0.021432603	0.34552267	0.9540791	0.47226563	0.48214287	0.0007461071
109	0.0133620165	0.32994062	0.9529205	0.4578187	0.48511904	0.0007461071
110	0.028756326	0.36561638	0.95376116	0.46811137	0.49181548	0.0007461071
111	0.018842414	0.35387036	0.952066	0.48399678	0.48065478	0.0007461071
112	0.02943898	0.36475924	0.9529025	0.46643725	0.50818455	0.0007461071
113	0.019053878	0.34384853	0.95222646	0.48342633	0.48400298	0.0007461071
114	0.012556484	0.36613578	0.95263296	0.47530383	0.48474702	0.0006735425
115	0.020487547	0.35839504	0.95251673	0.49022198	0.49144346	0.0006735425
116	0.020208124	0.36762652	0.9530872	0.4969184	0.5	0.0006735425
117	0.024868881	0.3710555	0.953222	0.48947793	0.48921132	0.0006735425
118	0.030007236	0.37952286	0.95249796	0.47602308	0.48697916	0.0006735425
119	0.019848665	0.3748365	0.95268065	0.49251613	0.47916666	0.0006735425
120	0.025628764	0.37618104	0.9523175	0.49751365	0.5052083	0.0006735425
121	0.029015657	0.3748714	0.95217055	0.48414558	0.49962798	0.0005965353
122	0.033288635	0.381185	0.9527383	0.4776883	0.48660713	0.0005965353
123	0.017591422	0.37070975	0.9537478	0.4839507	0.4858631	0.0005965353
124	0.021315416	0.3763195	0.9525925	0.49142486	0.5	0.0005965353
