epoch	training_loss	validation_loss	validation_token_accuracy	metabolite_coverage_score	top_1_metabolite_score	lr-Adam
0	0.30751052	0.31061676	0.91487986	0.08497378	0.078869045	
1	0.3024256	0.26135206	0.92655003	0.12992312	0.072916664	
2	0.20432466	0.23609024	0.93376803	0.16600943	0.0234375	
3	0.16335693	0.2229104	0.9396135	0.19492808	0.020833334	
4	0.16700102	0.21069252	0.94292754	0.24549586	0.084821425	
5	0.155639	0.200012	0.9448851	0.2808381	0.123883925	
6	0.16968954	0.19046128	0.94670117	0.30490807	0.0844494	
7	0.12352731	0.18322931	0.94824654	0.33882424	0.09188988	7.198673e-05
8	0.16127007	0.17724824	0.9496397	0.350729	0.1640625	7.198673e-05
9	0.11857073	0.17415968	0.9504842	0.37379447	0.1923363	7.198673e-05
10	0.20708735	0.17048024	0.9520793	0.37519222	0.24627976	7.198673e-05
11	0.13931377	0.16600169	0.9534623	0.40905258	0.2983631	7.198673e-05
12	0.10160284	0.16366479	0.9540843	0.4221354	0.33333334	7.198673e-05
13	0.08340329	0.16240266	0.95595014	0.41888642	0.36793154	7.198673e-05
14	0.09892087	0.16239437	0.9561551	0.44219992	0.39769346	0.0001661035
15	0.1145436	0.16322754	0.95597947	0.44350198	0.3921131	0.0001661035
16	0.085361175	0.16660795	0.95644546	0.45305058	0.43638393	0.0001661035
17	0.0847232	0.1700073	0.955862	0.4612351	0.4125744	0.0001661035
18	0.065876044	0.1762346	0.9566788	0.4794581	0.46614584	0.0001661035
19	0.06439255	0.17873222	0.9559372	0.49161085	0.46577382	0.0001661035
20	0.09144378	0.18628249	0.9554367	0.49137878	0.44270834	0.0001661035
21	0.061312098	0.18840845	0.9558188	0.49792022	0.45833334	0.00030930893
22	0.046448633	0.19186966	0.95488656	0.4808691	0.44270834	0.00030930893
23	0.07479656	0.19638117	0.95435417	0.47685125	0.4330357	0.00030930893
24	0.07495379	0.1988136	0.9549955	0.49855265	0.44308037	0.00030930893
25	0.05125014	0.20623717	0.956016	0.5017113	0.47916666	0.00030930893
26	0.03937512	0.20994638	0.9567651	0.48661068	0.48363096	0.00030930893
27	0.023146283	0.21289194	0.95520806	0.49585813	0.5115327	0.00030930893
28	0.047462754	0.22426726	0.9547243	0.4842882	0.4888393	0.00048173912
29	0.07146158	0.21571738	0.95457387	0.46968627	0.4981399	0.00048173912
30	0.049424753	0.22013566	0.95529735	0.4865487	0.5063244	0.00048173912
31	0.0503701	0.22162302	0.95512205	0.5051897	0.4858631	0.00048173912
32	0.0380398	0.22740124	0.95554477	0.5046875	0.4862351	0.00048173912
33	0.04651041	0.22131193	0.9541011	0.47926587	0.49702382	0.00048173912
34	0.035164893	0.22835545	0.9537595	0.48619527	0.4732143	0.00048173912
35	0.052104466	0.2246035	0.9537358	0.46966144	0.44642857	0.00065947644
36	0.050481074	0.22138585	0.95284384	0.48472223	0.44233632	0.00065947644
37	0.03985614	0.23622148	0.9540127	0.49346212	0.4799107	0.00065947644
38	0.050670464	0.23131007	0.9541375	0.49415302	0.48921132	0.00065947644
39	0.046845205	0.22265168	0.9543545	0.47644824	0.4468006	0.00065947644
40	0.02441265	0.24427424	0.9533565	0.4818984	0.46800596	0.00065947644
41	0.03517586	0.23808208	0.9543859	0.48850182	0.47544643	0.00065947644
42	0.06575941	0.23369306	0.9541293	0.50773543	0.47693452	0.0008178671
43	0.061234646	0.24302602	0.95262474	0.4633034	0.45238096	0.0008178671
44	0.041996866	0.24036534	0.9537869	0.5155851	0.48325893	0.0008178671
45	0.034183074	0.23350714	0.95526755	0.48721212	0.48846728	0.0008178671
46	0.03556418	0.2408256	0.9546132	0.49997875	0.4825149	0.0008178671
47	0.044659037	0.24520525	0.952893	0.46809897	0.4497768	0.0008178671
48	0.038174357	0.24652125	0.95259863	0.4865797	0.46316963	0.0008178671
49	0.062903486	0.24761276	0.9544152	0.4952195	0.50223213	0.00093494094
50	0.031662945	0.23497497	0.95341474	0.4920263	0.46502978	0.00093494094
51	0.028388599	0.24574916	0.95297223	0.487407	0.46502978	0.00093494094
52	0.045423914	0.24455628	0.9533708	0.51114565	0.48809522	0.00093494094
53	0.046215698	0.25703403	0.9526073	0.50246155	0.4799107	0.00093494094
54	0.026673676	0.26063544	0.9531599	0.49948004	0.5327381	0.00093494094
55	0.024474198	0.25470904	0.9528595	0.50072545	0.49702382	0.00093494094
56	0.027962586	0.25196457	0.9518293	0.50274676	0.4732143	0.00093494094
57	0.04095332	0.25406602	0.95347375	0.50499487	0.48474702	0.0009944587
58	0.04627797	0.25578487	0.95411366	0.4959299	0.47581846	0.0009944587
59	0.03224327	0.26663467	0.9523194	0.50048983	0.49181548	0.0009944587
60	0.042870432	0.26819322	0.95301604	0.47762632	0.52529764	0.0009944587
61	0.027609557	0.27003866	0.9517572	0.4862661	0.48809522	0.0009944587
62	0.022214739	0.27543175	0.95306885	0.49114582	0.4546131	0.0009944587
63	0.030280227	0.25812462	0.9529775	0.48197544	0.4627976	0.0009944587
64	0.025661431	0.28867102	0.9538043	0.48013127	0.47395834	0.0009977387
65	0.024308912	0.2834023	0.9530415	0.47400174	0.4940476	0.0009977387
66	0.030540558	0.27387694	0.95195657	0.48849827	0.48400298	0.0009977387
67	0.03436034	0.26842725	0.9538641	0.482165	0.49776787	0.0009977387
68	0.025327792	0.26811728	0.9532341	0.4857949	0.45238096	0.0009977387
69	0.023535907	0.2818327	0.9537904	0.49469867	0.4668899	0.0009977387
70	0.025398249	0.2818812	0.9527714	0.48242188	0.5026042	0.0009977387
