epoch	training_loss	validation_loss	validation_token_accuracy	metabolite_coverage_score	top_1_metabolite_score	lr-Adam
0	0.3317751	0.2860182	0.92679584	0.15486111	0.0874256	
1	0.26654702	0.24674414	0.9319075	0.20136409	0.12165178	
2	0.4111642	0.22869644	0.9356602	0.22341979	0.111979164	
3	0.35462913	0.21548332	0.938812	0.24598923	0.13318452	
4	0.28388408	0.20686291	0.94128233	0.27320898	0.13392857	
5	0.30845636	0.20120695	0.9441206	0.29013607	0.16145833	
6	0.2546363	0.19625077	0.9456858	0.30918634	0.18526785	
7	0.20724364	0.1917503	0.94697875	0.33138376	0.19680059	7.198673e-05
8	0.21314736	0.18720464	0.9487222	0.32791418	0.19754465	7.198673e-05
9	0.28381616	0.18300375	0.9492512	0.33647692	0.22098215	7.198673e-05
10	0.34537145	0.17979206	0.95017713	0.3561694	0.23325893	7.198673e-05
11	0.20142989	0.17680584	0.9505307	0.36189592	0.2514881	7.198673e-05
12	0.32340908	0.17454192	0.95164967	0.3988591	0.30952382	7.198673e-05
13	0.19398013	0.17209694	0.95283854	0.41191715	0.34672618	7.198673e-05
14	0.23838417	0.1706279	0.95357233	0.4143663	0.3515625	0.0001661035
15	0.18375462	0.16920212	0.9531259	0.42354292	0.36011904	0.0001661035
16	0.1927114	0.16726749	0.9542277	0.42465898	0.38244048	0.0001661035
17	0.18262815	0.16731413	0.9543201	0.41963667	0.38169643	0.0001661035
18	0.19985442	0.16723622	0.95423937	0.43702877	0.38802084	0.0001661035
19	0.172279	0.16581146	0.9555196	0.440625	0.41183037	0.0001661035
20	0.2047593	0.16857046	0.95634866	0.4544581	0.41145834	0.0001661035
21	0.19201571	0.17097442	0.9549786	0.45436507	0.40401787	0.00030930893
22	0.20595932	0.17233309	0.95478684	0.47376347	0.43266368	0.00030930893
23	0.17970262	0.16979691	0.95548785	0.46061507	0.46986607	0.00030930893
24	0.21325032	0.16952334	0.956222	0.4725358	0.43824404	0.00030930893
25	0.1409913	0.17441186	0.95480454	0.4656684	0.45349702	0.00030930893
26	0.21783906	0.17538098	0.9546323	0.46509796	0.40922618	0.00030930893
27	0.19178285	0.17818281	0.95390785	0.47802314	0.46130952	0.00030930893
28	0.17192155	0.1805847	0.95432776	0.47814715	0.50334823	0.00048173912
29	0.13632393	0.17912535	0.95576	0.47665906	0.4706101	0.00048173912
30	0.22675991	0.18446964	0.95630634	0.4787672	0.48028272	0.00048173912
31	0.23904228	0.1888723	0.9543918	0.4807017	0.45982143	0.00048173912
32	0.14035518	0.18472016	0.95548475	0.49249485	0.51116073	0.00048173912
33	0.16262689	0.18851751	0.95616806	0.49494135	0.50074404	0.00048173912
34	0.19581512	0.18751028	0.9550259	0.4737236	0.46465772	0.00048173912
35	0.15678082	0.18404719	0.955465	0.48006928	0.49627978	0.00065947644
36	0.19522841	0.1911005	0.95576155	0.508173	0.47767857	0.00065947644
37	0.15546665	0.19545737	0.9525507	0.47997627	0.47953868	0.00065947644
38	0.13577145	0.19033788	0.956027	0.47938722	0.48697916	0.00065947644
39	0.1746081	0.20018691	0.9531715	0.46560994	0.4575893	0.00065947644
40	0.23383985	0.19126861	0.95396423	0.46296504	0.5204613	0.00065947644
41	0.19071274	0.19312727	0.95420396	0.49207324	0.46614584	0.00065947644
42	0.17306979	0.20321897	0.95407826	0.4741479	0.4468006	0.0008178671
43	0.18673679	0.1958657	0.9543186	0.49805042	0.48474702	0.0008178671
44	0.1542313	0.19358675	0.9551934	0.5100455	0.4906994	0.0008178671
45	0.19052733	0.20286131	0.95546323	0.45305148	0.47433037	0.0008178671
46	0.1390912	0.1943284	0.9546081	0.48645923	0.46019346	0.0008178671
47	0.14353612	0.20192508	0.95249987	0.4711903	0.47879463	0.0008178671
48	0.12741043	0.19713452	0.95557004	0.4737546	0.4906994	0.0008178671
49	0.18580884	0.19562648	0.95367056	0.45235083	0.46502978	0.00093494094
50	0.15652639	0.20343441	0.95331335	0.4532747	0.5052083	0.00093494094
51	0.16255116	0.1970266	0.95349306	0.4776821	0.45833334	0.00093494094
52	0.1475401	0.19899504	0.9545065	0.4860748	0.48995537	0.00093494094
53	0.14395387	0.20051157	0.9520381	0.47034705	0.4862351	0.00093494094
54	0.15206717	0.2090349	0.95360446	0.47581935	0.45796132	0.00093494094
55	0.1433679	0.20926291	0.9511647	0.4514022	0.4393601	0.00093494094
56	0.13257553	0.20561658	0.9536414	0.47811967	0.44791666	0.00093494094
57	0.16044815	0.20125966	0.95282465	0.48257157	0.47581846	0.0009944587
58	0.16091563	0.20311086	0.952844	0.48841855	0.4706101	0.0009944587
59	0.19164006	0.20887443	0.9517764	0.4608144	0.47358632	0.0009944587
60	0.17121108	0.20453294	0.95377696	0.46296236	0.47879463	0.0009944587
61	0.14662272	0.2186273	0.9525947	0.46198004	0.49590772	0.0009944587
62	0.15290819	0.20924324	0.95157635	0.4566043	0.45089287	0.0009944587
63	0.2072152	0.2199801	0.9526458	0.46153983	0.45572916	0.0009944587
64	0.13985763	0.20841993	0.9515404	0.47640216	0.4642857	0.0009977387
65	0.20852844	0.20889458	0.95266545	0.4875257	0.47358632	0.0009977387
66	0.17271914	0.20759666	0.95415443	0.4858516	0.50967264	0.0009977387
67	0.16677739	0.22168656	0.9531016	0.48968962	0.45572916	0.0009977387
68	0.16761312	0.21790248	0.9530482	0.4581358	0.47619048	0.0009977387
69	0.14425561	0.22156706	0.9521494	0.45411795	0.43973213	0.0009977387
70	0.08931827	0.21657518	0.9525783	0.47012737	0.48325893	0.0009977387
71	0.1318624	0.22328252	0.95154357	0.47503808	0.44940478	0.0009837922
72	0.14130268	0.22404692	0.952531	0.48063084	0.46577382	0.0009837922
73	0.1831223	0.22793859	0.9534146	0.48268938	0.44494048	0.0009837922
74	0.1289248	0.22024216	0.9524662	0.46091005	0.45200893	0.0009837922
75	0.13398048	0.2271481	0.95250434	0.48206314	0.46875	0.0009837922
76	0.12840816	0.22522008	0.9508576	0.47270674	0.51004463	0.0009837922
77	0.17497025	0.23409806	0.95180434	0.46996617	0.46614584	0.0009837922
78	0.122755595	0.221299	0.9514467	0.47570774	0.46949404	0.00095746084
79	0.13497461	0.22031203	0.9514372	0.47423205	0.51004463	0.00095746084
80	0.14514355	0.22350474	0.9530045	0.48450255	0.52790177	0.00095746084
81	0.12377355	0.21820523	0.9513956	0.47970077	0.4668899	0.00095746084
82	0.15839581	0.23579238	0.9520495	0.46463382	0.4624256	0.00095746084
